relation_id,feature
149548@42_60-149548@42_32,INV_NGRAM_3_[Ken Wydro/Vy Higginsen]
34215@40_194-34215@40_71,INV_NGRAM_2_[set consultation]
104270@1_3-104270@1_10,LEMMA_L_2_R_2_[by :]_[andCinco Paul]
96392@43_9-96392@43_26,NGRAM_2_[beating -]
133437@0_37-133437@0_2,INV_NGRAM_2_[media be]
148797@49_113-148797@49_26,INV_NGRAM_1_[executive]
154431@2_60-154431@2_164,NGRAM_2_[state Rep.]
136165@22_131-136165@22_40,INV_LEMMA_L_1_R_1_[;]_[and]
154431@2_12-154431@2_138,NGRAM_2_[fundraiser Jim]
54369@40_100-54369@40_60,"INV_NGRAM_2_[, Kathy]"
2190@35_12-2190@35_29,NGRAM_1_[a]
71209@4_19-71209@4_28,NER_L_3_R_1_[PERSON PERSON O]_[O]
34215@40_20-34215@40_77,"NGRAM_2_[Comden ,]"
153946@38_9-153946@38_77,NGRAM_3_[Tyree Henry -lrb-]
36745@34_35-36745@34_12,"INV_NGRAM_3_[, Jack Davenport]"
148797@53_15-148797@53_6,INV_BETW_[appos Gwynne appos]
32196@18_26-32196@18_2,INV_NER_L_1_R_2_[O]_[O O]
34215@40_86-34215@40_206,NGRAM_2_[; music]
121716@2_55-121716@2_8,INV_NGRAM_2_[for Bush]
21619@29_3-21619@29_0,"INV_LEMMA_L_2_R_3_[for .]_[spokesman , say]"
84632@3_10-84632@3_20,NGRAM_3_['s young son]
121716@21_10-121716@21_48,NGRAM_3_[' desire to]
25919@37_9-25919@37_3,INV_NER_L_1_R_1_[O]_[O]
154431@2_124-154431@2_83,"INV_NGRAM_3_[Sembler , Pinellas]"
82383@26_64-82383@26_23,INV_NGRAM_2_[Richard Gilliland]
20777@20_4-20777@20_17,NGRAM_2_[ziering be]
14857@3_8-14857@3_88,NGRAM_2_['' he]
151163@31_15-151163@31_21,"LEMMA_L_2_R_2_[Luhrmann ,]_[; director]"
84645@41_34-84645@41_5,INV_NGRAM_2_[plane own]
73800@15_61-73800@15_19,INV_NGRAM_2_[by Sen.]
113255@1_55-113255@1_42,INV_NGRAM_2_[in the]
154431@2_111-154431@2_191,NGRAM_3_[Petersburg Times chairman]
153946@38_13-153946@38_168,NGRAM_3_[Henry Wadsworth Longfellow]
79572@23_19-79572@23_55,"WORD_SEQ_[, of London ; four children by Tanner : Pandora Smith of Newcastle , England ; Martin -LRB- known as Potie -RRB- , of London ; Vanessa Lindgren of Upperville , Va. ; and]"
73290@47_10-73290@47_36,NGRAM_3_[Jennifer Jason Leigh]
113853@21_11-113853@21_44,NGRAM_2_[who have]
32186@38_88-32186@38_43,INV_NGRAM_3_[visual effect supervisor]
21069@39_10-21069@39_4,"INV_NGRAM_3_[, Carmen ,]"
88390@4_9-88390@4_2,"INV_WORD_SEQ_[, it starred Hepburn and]"
70775@38_65-70775@38_23,INV_NER_L_3_R_2_[PERSON O O]_[O LOCATION]
153946@38_32-153946@38_102,"NGRAM_2_[, Marc]"
45467@27_16-45467@27_23,"NGRAM_2_[-rrb- ,]"
73800@6_0-73800@6_29,LEMMA_L_3_R_2_[_NUMBER attack .]_[as director]
148797@49_41-148797@49_107,"NGRAM_3_[Fellner , Jon]"
60823@33_26-60823@33_47,NGRAM_3_[Grayson Butterfield -rrb-]
147654@53_59-147654@53_72,"NGRAM_3_[Reagan , '']"
139195@32_30-139195@32_15,INV_NGRAM_1_[say]
67042@4_21-67042@4_13,"INV_WORD_SEQ_[-LRB- Fey -RRB- , and recruit]"
38227@15_22-38227@15_66,NGRAM_2_[Carolina senator]
34215@40_111-34215@40_59,"INV_LEMMA_L_2_R_2_[Gershwin ,]_[, Richard]"
34500@4_10-34500@4_0,INV_NER_L_2_R_3_[O O]_[O O O]
154624@33_13-154624@33_0,INV_NER_L_2_R_3_[O O]_[O O O]
149548@42_32-149548@42_35,"LEMMA_L_3_R_2_[Lane/Bonnie Comley ,]_[, William]"
153946@38_128-153946@38_41,INV_NGRAM_1_[Abraham]
82383@26_59-82383@26_79,"NGRAM_3_[, Paul Newman]"
