relation_id,feature
APW_ENG_20070917.0017.LDC2009T13_245_13-APW_ENG_20070917.0017.LDC2009T13_245_38,LEMMA_L_2_R_1_[carpet :]_[.]
19606@3_0-19606@3_22,STARTS_WITH_CAPITAL_[True_True]
eng-WL-11-174595-12968308_5_30-eng-WL-11-174595-12968308_5_8,INV_NER_L_2_R_1_[O O]_[O]
NYT_ENG_20081009.0030.LDC2009T13_89_28-NYT_ENG_20081009.0030.LDC2009T13_89_0,INV_NGRAM_1_[40]
96134@0_16-96134@0_38,"NGRAM_3_[, Amy Winehouse]"
NYT_ENG_20070611.0017.LDC2009T13_421_10-NYT_ENG_20070611.0017.LDC2009T13_421_20,"NGRAM_2_[husband ,]"
AFP_ENG_20081024.0798.LDC2009T13_122_10-AFP_ENG_20081024.0798.LDC2009T13_122_42,NGRAM_3_[Alize Cornet and]
LTW_ENG_20080822.0122.LDC2009T13_179_20-LTW_ENG_20080822.0122.LDC2009T13_179_42,NGRAM_1_[of]
93900@51_7-93900@51_17,NGRAM_1_[I]
APW_ENG_20080515.1291.LDC2009T13_342_0-APW_ENG_20080515.1291.LDC2009T13_342_10,STARTS_WITH_CAPITAL_[True_True]
45384@25_51-45384@25_39,"INV_NGRAM_2_[, and]"
eng-WL-11-174595-12967517_62_49-eng-WL-11-174595-12967517_62_19,"INV_NGRAM_3_[excite , and]"
NYT_ENG_20080117.0127.LDC2009T13_743_16-NYT_ENG_20080117.0127.LDC2009T13_743_11,"INV_LEMMA_L_3_R_3_[of photography ,]_[; music by]"
NYT_ENG_20080116.0061.LDC2009T13_725_13-NYT_ENG_20080116.0061.LDC2009T13_725_19,BETW_L_[appos prep_to prep_to]
LTW_ENG_20081213.0029.LDC2009T13_119_6-LTW_ENG_20081213.0029.LDC2009T13_119_31,NGRAM_2_[on the]
eng-WL-11-174588-12938404_2772_8-eng-WL-11-174588-12938404_2772_19,STARTS_WITH_CAPITAL_[True_True]
NYT_ENG_20081015.0044.LDC2009T13_208_54-NYT_ENG_20081015.0044.LDC2009T13_208_9,INV_NGRAM_2_[sketch-comedy program]
LTW_ENG_20080307.0093.LDC2009T13_159_24-LTW_ENG_20080307.0093.LDC2009T13_159_18,"INV_WORD_SEQ_[loyalists , Ted Danson and]"
APW_ENG_20080427.0151.LDC2009T13_368_19-APW_ENG_20080427.0151.LDC2009T13_368_25,"LEMMA_L_2_R_3_[Affleck ,]_[and Claire Danes]"
APW_ENG_20071211.1254.LDC2009T13_522_42-APW_ENG_20071211.1254.LDC2009T13_522_35,INV_NER_L_1_R_1_[O]_[O]
56239@4_13-56239@4_34,NGRAM_2_[by Simon]
APW_ENG_20070324.0400.LDC2009T13_172_10-APW_ENG_20070324.0400.LDC2009T13_172_7,INV_NER_SEQ_[O]
NYT_ENG_20080320.0147.LDC2009T13_268_2-NYT_ENG_20080320.0147.LDC2009T13_268_41,NER_L_2_R_1_[O O]_[O]
126385@37_30-126385@37_55,NGRAM_3_[Haridopolos for Senate]
XIN_ENG_19950317.0008.LDC2007T07_86_2-XIN_ENG_19950317.0008.LDC2007T07_86_11,KW_IND_[non_married]
14857@31_7-14857@31_35,STARTS_WITH_CAPITAL_[True_True]
42324@21_64-42324@21_21,INV_NGRAM_3_[the end of]
NYT_ENG_20080320.0170.LDC2009T13_304_26-NYT_ENG_20080320.0170.LDC2009T13_304_14,"INV_WORD_SEQ_[, former wife of Pro Football Hall of Fame quarterback]"
133179@25_34-133179@25_11,INV_STARTS_WITH_CAPITAL_[True_True]
APW_ENG_20070525.1738.LDC2009T13_75_41-APW_ENG_20070525.1738.LDC2009T13_75_11,"INV_NGRAM_3_[2000 , have]"
136654@95_11-136654@95_45,NGRAM_1_[cream]
49559@16_3-49559@16_30,NER_L_3_R_1_[O O O]_[O]
eng-WL-11-174594-12963405_292_59-eng-WL-11-174594-12963405_292_3,INV_NGRAM_1_[footage]
XIN_ENG_20080726.0209.LDC2009T13_87_30-XIN_ENG_20080726.0209.LDC2009T13_87_21,INV_NER_L_3_R_1_[PERSON PERSON O]_[O]
NYT_ENG_20080324.0138.LDC2009T13_556_3-NYT_ENG_20080324.0138.LDC2009T13_556_15,KW_[rcmod come parataxis congresswoman nsubj]_[appos]
NYT_ENG_20070410.0044.LDC2009T13_448_57-NYT_ENG_20070410.0044.LDC2009T13_448_68,"LEMMA_L_3_R_3_[N.J. , and]_[, of Rockville]"
10292@44_11-10292@44_22,BETW_D_[dep gay nsubj]
APW_ENG_20070810.0128.LDC2009T13_222_25-APW_ENG_20070810.0128.LDC2009T13_222_2,INV_STARTS_WITH_CAPITAL_[True_True]
APW_ENG_20080802.0037.LDC2009T13_215_21-APW_ENG_20080802.0037.LDC2009T13_215_33,NER_L_1_R_2_[TITLE]_[O O]
NYT_ENG_20070607.0131.LDC2009T13_859_2-NYT_ENG_20070607.0131.LDC2009T13_859_20,NGRAM_3_[-lrb- Mr. Stroope]
NYT_ENG_20080502.0044.LDC2009T13_927_13-NYT_ENG_20080502.0044.LDC2009T13_927_18,"NGRAM_3_[oldest son ,]"
45384@25_24-45384@25_51,NGRAM_1_[Bolton]
AFP_ENG_20080515.0368.LDC2009T13_44_31-AFP_ENG_20080515.0368.LDC2009T13_44_0,INV_NGRAM_3_[partner Elizabeth Hurley]
45384@29_4-45384@29_15,NER_SEQ_[O O O O O O O PERSON PERSON O]
LTW_ENG_20081102.0022.LDC2009T13_77_12-LTW_ENG_20081102.0022.LDC2009T13_77_5,INV_NGRAM_1_[Alaska]
APW_ENG_20081105.1649.LDC2009T13_198_6-APW_ENG_20081105.1649.LDC2009T13_198_3,INV_NER_L_3_R_3_[O O TITLE]_[O O O]
55269@24_12-55269@24_0,INV_NGRAM_3_[GOP 's NATIONAL]
NYT_ENG_20081213.0060.LDC2009T13_699_19-NYT_ENG_20081213.0060.LDC2009T13_699_59,NGRAM_3_[optimistic that she]
eng-WL-11-174594-12961370_279_0-eng-WL-11-174594-12961370_279_53,NGRAM_1_[take]
94880@17_19-94880@17_3,INV_NGRAM_1_[Martin]
AFP_ENG_20081129.0187.LDC2009T13_34_7-AFP_ENG_20081129.0187.LDC2009T13_34_16,NGRAM_2_[Jones ;]
28227@32_2-28227@32_17,NGRAM_1_[Finkelstein]
131792@96_1-131792@96_16,LEMMA_L_3_R_2_[say . and]_[say .]
APW_ENG_20080122.0135.LDC2009T13_22_22-APW_ENG_20080122.0135.LDC2009T13_22_5,INV_NER_L_2_R_2_[PERSON O]_[O O]
APW_ENG_20070320.0740.LDC2009T13_136_7-APW_ENG_20070320.0740.LDC2009T13_136_14,"LEMMA_L_2_R_1_[, with]_[.]"
eng-NG-31-142163-10038467_11_16-eng-NG-31-142163-10038467_11_20,NER_L_3_R_1_[PERSON PERSON O]_[O]
NYT_ENG_20080923.0064.LDC2009T13_683_22-NYT_ENG_20080923.0064.LDC2009T13_683_9,INV_LEMMA_L_1_R_1_[be]_[.]
NYT_ENG_20070622.0083.LDC2009T13_8_9-NYT_ENG_20070622.0083.LDC2009T13_8_5,INV_NER_SEQ_[O]
eng-NG-31-142893-10117014_1809_18-eng-NG-31-142893-10117014_1809_78,NER_L_3_R_1_[O O O]_[O]
NYT_ENG_20071125.0023.LDC2009T13_1132_2-NYT_ENG_20071125.0023.LDC2009T13_1132_22,NGRAM_1_[there]
LTW_ENG_20070912.0100.LDC2009T13_822_0-LTW_ENG_20070912.0100.LDC2009T13_822_32,NGRAM_1_[give]
AFP_ENG_20080127.0051.LDC2009T13_566_30-AFP_ENG_20080127.0051.LDC2009T13_566_7,INV_NGRAM_3_[Democrats ' liberal]
AFP_ENG_20070907.0471.LDC2009T13_43_18-AFP_ENG_20070907.0471.LDC2009T13_43_14,INV_NER_L_3_R_1_[O O TITLE]_[O]
135658@9_1-135658@9_8,BETW_D_[nsubj admonish dobj lover appos]
APW_ENG_20081215.0083.LDC2009T13_277_34-APW_ENG_20081215.0083.LDC2009T13_277_13,"INV_NGRAM_1_[,]"
AFP_ENG_20070208.0456.LDC2009T13_1273_3-AFP_ENG_20070208.0456.LDC2009T13_1273_37,NGRAM_2_[before ``]
XIN_ENG_20070710.0364.LDC2009T13_437_8-XIN_ENG_20070710.0364.LDC2009T13_437_31,NGRAM_3_[and soccer star]
APW_ENG_20080814.0440.LDC2009T13_207_13-APW_ENG_20080814.0440.LDC2009T13_207_16,KW_D_[conj_and Roosevelt appos]_[nn Roosevelt appos]
58822@4_0-58822@4_14,LEMMA_L_3_R_1_[own right .]_[have]
NYT_ENG_20080716.0019.LDC2009T13_971_18-NYT_ENG_20080716.0019.LDC2009T13_971_11,INV_KW_[appos daughter agent survive prep_in_addition_to]_[nsubjpass survive prep_in_addition_to]
APW_ENG_20071024.0009.LDC2009T13_413_13-APW_ENG_20071024.0009.LDC2009T13_413_25,"NGRAM_2_[Wilson ,]"
eng-WL-11-174643-13000308_91_32-eng-WL-11-174643-13000308_91_25,"INV_LEMMA_L_3_R_2_[the daughter of]_[, who]"
NYT_ENG_20080822.0074.LDC2009T13_330_17-NYT_ENG_20080822.0074.LDC2009T13_330_4,"INV_NGRAM_2_[soetero-ng ,]"
APW_ENG_20070915.0691.LDC2009T13_77_0-APW_ENG_20070915.0691.LDC2009T13_77_20,NGRAM_2_[literary client]
47383@9_18-47383@9_0,INV_NGRAM_3_[who suddenly have]
NYT_ENG_20080117.0127.LDC2009T13_743_16-NYT_ENG_20080117.0127.LDC2009T13_743_4,INV_NGRAM_2_[edit by]
eng-WL-11-174595-12968365_64_3-eng-WL-11-174595-12968365_64_0,INV_NER_L_1_R_1_[O]_[O]
LTW_ENG_20070208.0065.LDC2009T13_107_0-LTW_ENG_20070208.0065.LDC2009T13_107_35,NGRAM_3_[want Jennifer Hudson]
NYT_ENG_20070414.0059.LDC2009T13_709_11-NYT_ENG_20070414.0059.LDC2009T13_709_13,"WORD_SEQ_[,]"
eng-WL-11-174595-12968437_1261_0-eng-WL-11-174595-12968437_1261_53,NGRAM_3_[turn out to]
48456@4_9-48456@4_42,NGRAM_1_[Ferguson]
133034@0_6-133034@0_36,NGRAM_2_[the narrator]
NYT_ENG_20070103.0193.LDC2009T13_784_34-NYT_ENG_20070103.0193.LDC2009T13_784_18,INV_POS_SEQ_[CC NNP NNP : NNP IN NNP NNP NNP NNP : CC NNP NNP]
34215@32_3-34215@32_39,NGRAM_3_[-rrb- the wicked]
132697@22_29-132697@22_4,INV_NGRAM_1_[Wednesday]
LTW_ENG_20080910.0070.LDC2009T13_217_8-LTW_ENG_20080910.0070.LDC2009T13_217_15,NER_L_3_R_2_[O O O]_[O O]
66919@19_30-66919@19_26,"INV_LEMMA_L_3_R_2_[Melinda Dillon and]_[, newcomer]"
