relation_id,feature
NYT_ENG_20070927.0170.LDC2009T13_1343_2-NYT_ENG_20070927.0170.LDC2009T13_1343_66,NGRAM_3_[-lrb- Mildred -rrb-]
XIN_ENG_20081008.0300.LDC2009T13_307_55-XIN_ENG_20081008.0300.LDC2009T13_307_19,INV_NGRAM_1_[and]
1001@17_3-1001@17_51,W_NER_L_3_R_1_[O O O]_[O]
32186@38_62-32186@38_43,"INV_NGRAM_3_[, Bill Pope]"
eng-WL-110-174612-12991749_58_106-eng-WL-110-174612-12991749_58_29,INV_NGRAM_2_[& Mikkel]
APW_ENG_20081204.0095.LDC2009T13_452_5-APW_ENG_20081204.0095.LDC2009T13_452_36,NGRAM_2_[have be]
149548@42_16-149548@42_51,W_NER_L_1_R_1_[O]_[O]
3704@38_5-3704@38_39,NGRAM_3_['' star Audrey]
eng-WL-110-174612-12993596_67_40-eng-WL-110-174612-12993596_67_9,INV_NGRAM_3_[Johnta Austin -lrb-]
eng-WL-110-174612-12993387_15_29-eng-WL-110-174612-12993387_15_6,"INV_POS_SEQ_[POS VBG NN NN `` NNP NNP '' WDT VBZ JJ IN NNP , CC VBZ NNS IN NNP NNP -LRB-]"
APW_ENG_20080916.0404.LDC2009T13_435_27-APW_ENG_20080916.0404.LDC2009T13_435_19,INV_W_LEMMA_L_1_R_2_[that]_[because he]
eng-WL-110-174612-12992499_49_61-eng-WL-110-174612-12992499_49_95,"NGRAM_2_[, Jeannie]"
APW_ENG_20070114.0222.LDC2009T13_183_43-APW_ENG_20070114.0222.LDC2009T13_183_46,W_NER_L_2_R_1_[PERSON O]_[O]
eng-WL-11-174572-12949172_19_3-eng-WL-11-174572-12949172_19_0,INV_W_LEMMA_L_1_R_3_[.]_[be hard at]
eng-NG-31-145805-10295624_170_4-eng-NG-31-145805-10295624_170_1,INV_W_NER_L_1_R_1_[O]_[O]
NYT_ENG_20080724.0182.LDC2009T13_478_10-NYT_ENG_20080724.0182.LDC2009T13_478_0,INV_NGRAM_3_[the same Marine]
NYT_ENG_20080717.0121.LDC2009T13_1599_2-NYT_ENG_20080717.0121.LDC2009T13_1599_46,NGRAM_2_[dc comic]
eng-WL-11-174595-12968832_858_21-eng-WL-11-174595-12968832_858_0,INV_NGRAM_1_[a]
145328@30_13-145328@30_32,NGRAM_3_[constantly in the]
eng-WL-110-174612-12990969_87_57-eng-WL-110-174612-12990969_87_75,BETW_L_[dep dep]
95208@7_56-95208@7_23,INV_NGRAM_3_[for Sen. John]
APW_ENG_20070815.0838.LDC2009T13_697_38-APW_ENG_20070815.0838.LDC2009T13_697_59,"LEMMA_SEQ_[, Shane Horgan , Brian Carney , Simon best , John Hayes , Marcus Horan , Bryan Young ,]"
NYT_ENG_20070602.0029.LDC2009T13_76_49-NYT_ENG_20070602.0029.LDC2009T13_76_40,"INV_NGRAM_2_[, Gregory]"
APW_ENG_20080522.1471.LDC2009T13_261_2-APW_ENG_20080522.1471.LDC2009T13_261_20,NGRAM_2_[Adrian Jacobs]
AFP_ENG_20080916.0499.LDC2009T13_296_69-AFP_ENG_20080916.0499.LDC2009T13_296_27,INV_NGRAM_1_[Paterson]
eng-WL-110-174612-12991749_58_19-eng-WL-110-174612-12991749_58_116,NGRAM_3_[Jack Splash -lrb-]
NYT_ENG_20081121.0047.LDC2009T13_1539_63-NYT_ENG_20081121.0047.LDC2009T13_1539_20,INV_NGRAM_2_[-lrb- Doug]
NYT_ENG_20071122.0042.LDC2009T13_789_0-NYT_ENG_20071122.0042.LDC2009T13_789_11,NGRAM_1_[crowd]
AFP_ENG_20080922.0192.LDC2009T13_136_24-AFP_ENG_20080922.0192.LDC2009T13_136_51,NGRAM_3_[Murray -lrb- both]
eng-WL-110-174612-12991749_58_174-eng-WL-110-174612-12991749_58_113,INV_NGRAM_3_[-lrb- Celine Dion]
APW_ENG_20070114.0222.LDC2009T13_183_13-APW_ENG_20070114.0222.LDC2009T13_183_73,"NGRAM_3_[Mills , Brendon]"
AFP_ENG_20070902.0175.LDC2009T13_231_0-AFP_ENG_20070902.0175.LDC2009T13_231_31,"NGRAM_3_[Venus Williams ,]"
132455@2_0-132455@2_40,NGRAM_2_[paint a]
APW_ENG_20070927.0999.LDC2009T13_583_2-APW_ENG_20070927.0999.LDC2009T13_583_47,NGRAM_1_[Dan]
eng-WL-110-174612-12990925_34_22-eng-WL-110-174612-12990925_34_47,NGRAM_1_[``]
150797@9_35-150797@9_28,INV_W_NER_L_1_R_1_[O]_[O]
149838@17_0-149838@17_45,NGRAM_2_[arguably the]
NYT_ENG_20080823.0064.LDC2009T13_1451_33-NYT_ENG_20080823.0064.LDC2009T13_1451_16,INV_BETW_D_[conj_and Caldwell prep_such_as actor prep_of cast advcl be nsubj season prep_of]
eng-WL-110-174612-12993478_97_19-eng-WL-110-174612-12993478_97_46,"W_LEMMA_L_2_R_3_[Foxx ,]_[, Megan Rochell]"
APW_ENG_20070102.0013.LDC2009T13_358_31-APW_ENG_20070102.0013.LDC2009T13_358_10,INV_NGRAM_3_[and he wife]
APW_ENG_20070807.1094.LDC2009T13_455_10-APW_ENG_20070807.1094.LDC2009T13_455_20,NGRAM_3_[Foo Fighters and]
115897@18_36-115897@18_44,NGRAM_2_[who back]
eng-NG-31-139687-9848460_238_0-eng-NG-31-139687-9848460_238_21,NGRAM_3_[a reply on]
154431@2_164-154431@2_12,INV_NGRAM_1_[Republican]
AFP_ENG_20080708.0310.LDC2009T13_221_68-AFP_ENG_20080708.0310.LDC2009T13_221_22,"INV_NGRAM_3_[, Irfan Pathan]"
eng-WL-110-174612-12993170_210_71-eng-WL-110-174612-12993170_210_0,INV_NGRAM_1_[Hood]
70775@38_40-70775@38_19,"INV_POS_SEQ_[-RRB- , NNP NNP -LRB- NNP NNP -RRB- , NNP NNP -LRB- NNP NNP -RRB- , NNP NNP -LRB-]"
LTW_ENG_20070825.0109.LDC2009T13_667_21-LTW_ENG_20070825.0109.LDC2009T13_667_28,"LEMMA_SEQ_[; two other stepchild ,]"
APW_ENG_20070606.1487.LDC2009T13_141_26-APW_ENG_20070606.1487.LDC2009T13_141_8,INV_NGRAM_3_[Michael Stocklasa -lrb-]
eng-WL-110-174612-12992738_37_23-eng-WL-110-174612-12992738_37_68,NGRAM_3_[-lrb- Andrea Corr]
eng-WL-110-174612-12993547_40_59-eng-WL-110-174612-12993547_40_3,INV_NER_SEQ_[O O O PERSON PERSON O O O PERSON PERSON O O PERSON PERSON O PERSON O PERSON O O PERSON PERSON O O O PERSON O O O O PERSON PERSON O LOCATION LOCATION O O O O PERSON O PERSON O O O ORGANIZATION ORGANIZATION ORGANIZATION O PERSON PERSON O PERSON O O]
eng-WL-11-174590-12957895_949_2-eng-WL-11-174590-12957895_949_24,BETW_[appos Wes appos]
54369@40_67-54369@40_82,"LEMMA_SEQ_[-lrb- a Groom -rrb- , Kathy McCafferty -lrb- Miss Ronberry -rrb- ,]"
NYT_ENG_20070517.0161.LDC2009T13_784_25-NYT_ENG_20070517.0161.LDC2009T13_784_64,"NGRAM_3_[, Eddie Griffin]"
32186@40_39-32186@40_12,INV_BETW_L_[nn rcmod appos appos appos]
NYT_ENG_20071114.0153.LDC2009T13_31_0-NYT_ENG_20071114.0153.LDC2009T13_31_24,"NGRAM_3_[, meet with]"
