relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
LTW_ENG_20080119.0041.LDC2009T13_92_41-LTW_ENG_20080119.0041.LDC2009T13_92_16,LTW_ENG_20080119.0041.LDC2009T13_92,Shonna Tucker-John Neff,,0.993,"{Rock,-,leaning,guitarist,Jason,Isbell,has,gone,solo,"","",founding,guitarist,and,pedal,steel,player,John,Neff,is,back,"","",soul,eminence,Spooner,Oldham,plays,piano,and,organ,on,the,new,album,-LRB-,in,stores,Tuesday,-RRB-,"","",and,bassist,Shonna,Tucker,contributes,her,first,songs,.}",41,2,16,2,2,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",INV_NGRAM_1_[piano],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{-1.42472,-1.22689,1.18724,1.17156,-1.149,0.995178}"
APW_ENG_20080825.0007.LDC2009T13_88_0-APW_ENG_20080825.0007.LDC2009T13_88_19,APW_ENG_20080825.0007.LDC2009T13_88,Asif Ali Zardari-Benazir Bhutto,t,1,"{Asif,Ali,Zardari,"","",head,of,the,Pakistan,People,'s,Party,and,widower,of,the,party,'s,assassinated,leader,Benazir,Bhutto,"","",agreed,Saturday,to,run,for,the,presidency,.}",0,3,19,2,2,"{NGRAM_1_[widower],""NGRAM_2_[widower of]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[of]}","{3.69817,2.31384,-2.15061,2.03006,-1.35882,-0.766651}"
APW_ENG_20080725.1302.LDC2009T13_21_4-APW_ENG_20080725.1302.LDC2009T13_21_7,APW_ENG_20080725.1302.LDC2009T13_21,Britney Spears-Kevin Federline,t,1,"{A,custody,settlement,between,Britney,Spears,and,Kevin,Federline,has,been,finalized,"","",including,a,$,""5,000-per-month"",increase,in,child,support,payments,for,the,pop,singer,'s,ex-husband,.}",4,2,7,2,2,"{""BETW_L_[prep_between prep_between]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]""}","{2.54425,-2.15061,2.03006,1.56175,0.724491,0.488205}"
eng-WL-11-174595-12967360_54_3-eng-WL-11-174595-12967360_54_0,eng-WL-11-174595-12967360_54,Angelina Jolie-Brad Pitt,t,1,"{Brad,Pitt,and,Angelina,Jolie,did,their,best,to,not,be,photographed,together,"","",or,at,least,pose,together,"","",but,they,were,n't,very,successful,.}",3,2,0,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
eng-WL-11-174611-12973545_17_9-eng-WL-11-174611-12973545_17_2,eng-WL-11-174611-12973545_17,Vince McMahon-Linda McMahon,t,1,"{WWE,CEO,Linda,McMahon,"","",wife,of,pro-wrestling,mogul,Vince,McMahon,"","",has,announced,her,candidacy,to,unseat,Sen.,Chris,Dodd,in,Connecticut,.}",9,2,2,2,2,"{INV_NGRAM_1_[wife],""INV_BETW_D_[prep_of DICT_married appos]"",""INV_BETW_[prep_of wife appos]"",""INV_BETW_L_[prep_of appos]"",""INV_NGRAM_2_[wife of]"",""INV_NGRAM_1_[,]""}","{3.74889,3.01185,2.08258,1.48212,1.43337,-1.42472}"
LTW_ENG_20081122.0048.LDC2009T13_474_4-LTW_ENG_20081122.0048.LDC2009T13_474_7,LTW_ENG_20081122.0048.LDC2009T13_474,Clark Gable-Carol Lombard,,0.968,"{There,are,images,of,Clark,Gable,and,Carol,Lombard,"","",one,of,Robert,Stack,playing,polo,with,Spencer,Tracy,"","",prints,of,the,Stacks,with,President,Ronald,Reagan,and,first,lady,Nancy,Reagan,"","",and,a,Life,magazine,cover,of,Rosemarie,Stack,.}",4,2,7,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],""NER_L_1_R_2_[O]_[O NUMBER]"",""NER_L_2_R_3_[O O]_[O NUMBER O]"",POS_SEQ_[CC]}","{-2.15061,2.03006,1.56175,-0.813314,0.7572,0.724491}"
NYT_ENG_20070417.0116.LDC2009T13_703_17-NYT_ENG_20070417.0116.LDC2009T13_703_11,NYT_ENG_20070417.0116.LDC2009T13_703,Alan Anton-Peter,,0.941,"{The,Timmins,siblings,--,singer,Margo,"","",guitarist,Michael,and,drummer,Peter,--,are,back,with,bassist,Alan,Anton,for,more,psychedelic,Americana,.}",17,2,11,1,1,"{INV_NGRAM_1_[with],""INV_NER_L_3_R_1_[PERSON O TITLE]_[O]"",""INV_NER_L_3_R_3_[PERSON O TITLE]_[O O O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O],""INV_NGRAM_2_[-- be]""}","{1.42247,-1.32769,-1.23975,-1.149,1.05752,0.835515}"
NYT_ENG_20070705.0137.LDC2009T13_682_0-NYT_ENG_20070705.0137.LDC2009T13_682_19,NYT_ENG_20070705.0137.LDC2009T13_682,Will Smith-Newman,,0.913,"{Will,Smith,:,His,marriage,to,actress,Jada,Pinkett,Smith,is,going,on,10,years,now,"","",and,like,Newman,"","",his,likability,factor,is,through,the,roof,.}",0,2,19,1,1,"{NGRAM_1_[marriage],""NGRAM_2_[marriage to]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[go],""NGRAM_1_[,]""}","{2.28325,2.15837,-2.15061,2.03006,2.02914,-1.35882}"
eng-WL-11-174643-13000418_71_0-eng-WL-11-174643-13000418_71_6,eng-WL-11-174643-13000418_71,Alexandra Paressant-Tony Parker,,0.987,"{Alexandra,Paressant,claims,and,asserts,what,Tony,Parker,had,sex,with,her,in,September,"","",two,months,after,Tony,and,Eva,Longoria,got,married,.}",0,2,6,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[claim],LEMMA_L_1_R_1_[.]_[have],""NER_SEQ_[O O O O]"",""BETW_L_[nsubj ccomp nsubj]""}","{-2.15061,2.03006,1.56714,1.33173,0.61324,0.529031}"
eng-WL-11-174594-12963531_11_16-eng-WL-11-174594-12963531_11_10,eng-WL-11-174594-12963531_11,Marc Anthony-Jennifer Lopez,t,1,"{fullpost,-LCB-,display,:,inline,;,-RCB-,Super,pregnant,singer,Jennifer,Lopez,and,super,fugly,husband,Marc,Anthony,hit,New,York,for,a,diva,baby,shower,.}",16,2,10,2,2,"{INV_NGRAM_1_[husband],INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",INV_NER_L_1_R_1_[TITLE]_[O],INV_NGRAM_1_[and],""INV_NER_SEQ_[O O O O]""}","{6.02373,-1.149,1.0885,1.05752,-0.963997,0.78833}"
32766@21_0-32766@21_12,32766@21,Frank W. Smith-Adler,,0.933,"{Frank,W.,Smith,"","",a,57-year-old,Boston,businessman,and,a,client,of,Adler,'s,"","",has,been,dating,one,of,those,stars,"","",an,Academy,Award,-,winning,actress,several,years,older,than,him,"","",for,eight,months,.}",0,3,12,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_3_R_1_[DURATION DURATION O]_[O]"",NGRAM_1_[businessman],""NER_L_2_R_1_[DURATION O]_[O]""}","{-2.15061,2.03006,-1.35882,1.26729,1.17905,1.05438}"
92804@38_14-92804@38_28,92804@38,Robert Diamond-Roberta Finestone,,1,"{``,The,golf,here,is,probably,the,best,in,the,Caribbean,"","",'',said,Robert,Diamond,"","",69,"","",who,owns,a,""4,200-square-foot"",house,with,his,wife,"","",Roberta,Finestone,"","",64,"","",in,La,Cana,"","",the,resort,'s,first,community,.}",14,2,28,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[with],""NER_L_1_R_2_[O]_[O NUMBER]""}","{5.01088,-2.15061,2.03006,-1.35882,0.916859,-0.813314}"
96734@0_36-96734@0_17,96734@0,Rebecca Romijn-Jerry Maguire,,1,"{History,will,judge,whether,Jerry,O'Connell,will,be,best,remembered,as,the,cornfed,football,prospect,in,``,Jerry,Maguire,"","",'',the,awkward,chubby,kid,in,``,Stand,by,Me,"","",'',or,the,husband,of,Rebecca,Romijn,.}",36,2,17,2,2,"{INV_NGRAM_1_[husband],""INV_NGRAM_1_[,]"",""INV_NGRAM_2_[husband of]"",INV_NGRAM_1_[or],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{6.02373,-1.42472,1.30095,-1.19319,1.17156,-1.149}"
64833@1_48-64833@1_26,64833@1,Spike-Kyra Sedgwick,,0.953,"{``,Football,usually,takes,fathers,away,from,daughters,"","",but,the,emotional,elements,in,`,The,Game,Plan,',bring,them,together,"","",'',explained,co-star,Kyra,Sedgwick,when,she,arrived,with,husband,Kevin,Bacon,at,the,after-party,behind,the,El,Capitan,Theatre,"","",where,many,posed,with,Spike,"","",the,movie,'s,lovable,bulldog,.}",48,1,26,2,2,"{INV_NGRAM_1_[husband],INV_KW_IND_[non_married],INV_NGRAM_1_[Kevin],""INV_LEMMA_L_1_R_1_[co-star]_[,]"",""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with]}","{6.02373,-2.56873,-1.6104,1.56884,-1.42472,1.42247}"
AFP_ENG_20080730.0446.LDC2009T13_152_15-AFP_ENG_20080730.0446.LDC2009T13_152_30,AFP_ENG_20080730.0446.LDC2009T13_152,Hu Jia-Zeng Jinyan,t,1,"{An,article,on,the,BBC,'s,English,site,written,in,February,about,the,jailed,dissident,Hu,Jia,slipped,through,the,net,"","",but,the,Chinese,blog,of,his,wife,"","",Zeng,Jinyan,"","",is,blocked,.}",15,2,30,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NGRAM_3_[of he wife]"",NGRAM_1_[he]}","{5.01088,-2.15061,2.03006,-1.35882,0.865689,0.786486}"
AFP_ENG_20080415.0504.LDC2009T13_6_27-AFP_ENG_20080415.0504.LDC2009T13_6_4,AFP_ENG_20080415.0504.LDC2009T13_6,Ulrich Pohlmann-Helmut Kohl,,1,"{Former,conservative,German,chancellor,Helmut,Kohl,"","",regarded,as,the,architect,of,reunification,"","",is,to,marry,his,girlfriend,Maike,Richter,"","",his,office,said,on,Tuesday.Spokesman,Ulrich,Pohlmann,declined,to,say,when,Kohl,"","",78,"","",would,wed,his,43-year-old,fiance,.}",27,2,4,2,2,"{INV_NGRAM_1_[marry],INV_NGRAM_1_[girlfriend],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O],""INV_NGRAM_2_[he girlfriend]""}","{4.10193,2.98961,-1.42472,-1.149,1.05752,0.994093}"
eng-WL-11-174588-12938642_7074_11-eng-WL-11-174588-12938642_7074_14,eng-WL-11-174588-12938642_7074,John Lennon-Yoko Ono,t,1,"{The,truck,was,decked,out,to,look,like,the,hotel,rooms,John,Lennon,and,Yoko,Ono,used,for,their,1969,``,bed-in,for,peace,'',in,Amsterdam,and,"","",later,"","",Montreal,.}",11,2,14,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]"",NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,0.724491,0.488205,0.474}"
AFP_ENG_20080820.0568.LDC2009T13_108_5-AFP_ENG_20080820.0568.LDC2009T13_108_8,AFP_ENG_20080820.0568.LDC2009T13_108,Jiang Tingting-Jiang Wenwen,f,0.992,"{China,'s,twin-sister,team,of,Jiang,Tingting,and,Jiang,Wenwen,missed,out,on,a,medal,but,were,encouraged,by,their,performance,against,the,world,'s,best,and,vowed,to,come,back,stronger,.}",5,2,8,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],""NER_L_3_R_1_[O O O]_[O]"",NER_SEQ_[O]}","{-2.15061,2.03006,1.56175,0.724491,0.488205,0.474}"
AFP_ENG_20081204.0040.LDC2009T13_44_30-AFP_ENG_20081204.0040.LDC2009T13_44_0,AFP_ENG_20081204.0040.LDC2009T13_44,Dion Phaneuf-Avery,,0.999,"{Avery,was,banished,by,the,league,Tuesday,for,conduct,detrimental,to,the,league,and,the,sport,after,insulting,former,girlfriend,Elisha,Cuthbert,"","",who,is,now,dating,Calgary,Flames,defenseman,Dion,Phaneuf,.}",30,2,0,1,1,"{INV_NGRAM_1_[girlfriend],INV_LEMMA_L_1_R_1_[.]_[.],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],INV_NGRAM_1_[by]}","{2.98961,2.46408,-1.42472,-1.149,-0.963997,-0.962593}"
NYT_ENG_20080408.0138.LDC2009T13_754_14-NYT_ENG_20080408.0138.LDC2009T13_754_9,NYT_ENG_20080408.0138.LDC2009T13_754,Chris King-Eddie Marritz,,0.967,"{Directed,by,Stephen,Walker,;,director,of,photography,"","",Eddie,Marritz,;,edited,by,Chris,King,;,produced,by,Sally,George,;,released,by,Fox,Searchlight,Pictures,.}",14,2,9,2,2,"{INV_NGRAM_1_[;],""INV_BETW_[prep_by edit parataxis]"",""INV_BETW_D_[prep_by edit parataxis]"",""INV_BETW_L_[prep_by parataxis]"",""INV_LEMMA_L_1_R_1_[,]_[;]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{-3.37177,1.49654,1.49654,1.49654,-1.26648,-1.149}"
APW_ENG_20080915.0935.LDC2009T13_15_3-APW_ENG_20080915.0935.LDC2009T13_15_0,APW_ENG_20080915.0935.LDC2009T13_15,Brad Pitt-Angelina Jolie,t,0.971,"{Angelina,Jolie,and,Brad,Pitt,are,giving,back,to,Ethiopia,"","",the,country,in,which,their,3-year-old,daughter,Zahara,was,born,.}",3,2,0,2,2,"{INV_KW_IND_[non_married],INV_LEMMA_L_1_R_1_[.]_[be],INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{-2.56873,2.24697,1.68884,-1.22689,1.17156,-1.149}"
APW_ENG_20070605.0233.LDC2009T13_411_31-APW_ENG_20070605.0233.LDC2009T13_411_35,APW_ENG_20070605.0233.LDC2009T13_411,Pierre Cardin-Bono,,0.995,"{Other,recipients,of,honorary,awards,chosen,by,the,CFDA,board,of,directors,included,jewelry,designer,Robert,Lee,Morris,for,lifetime,achievement,"","",Washington,Post,fashion,critic,Robin,Givhan,"","",French,designer,Pierre,Cardin,"","",and,Bono,and,his,wife,"","",Ali,Hewson,"","",as,a,special,tribute,to,their,humanitarian,work,.}",31,2,35,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""NER_L_3_R_1_[O NATIONALITY TITLE]_[O]"",""LEMMA_SEQ_[, and]"",""WORD_SEQ_[, and]"",""NGRAM_1_[,]""}","{-2.15061,1.86495,1.537,1.47817,1.40069,-1.35882}"
79423@0_36-79423@0_39,79423@0,Pervez Musharraf-Sharif,,0.984,"{ISLAMABAD,"","",Pakistan,The,leader,of,a,major,opposition,party,"","",Nawaz,Sharif,"","",will,return,home,on,Sunday,from,exile,in,Saudi,Arabia,"","",forcing,a,new,confrontation,with,Pakistan,'s,embattled,president,"","",Gen.,Pervez,Musharraf,"","",Sharif,'s,aides,said,.}",36,2,39,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""BETW_L_[appos poss]"",""WORD_SEQ_[,]"",""LEMMA_SEQ_[,]""}","{-2.15061,2.03006,-1.35882,1.05778,0.532848,0.532848}"
APW_ENG_20080906.0220.LDC2009T13_214_8-APW_ENG_20080906.0220.LDC2009T13_214_0,APW_ENG_20080906.0220.LDC2009T13_214,Benazir Bhutto-Asif Ali Zardari,t,1,"{Asif,Ali,Zardari,"","",widower,of,ex-Prime,Minister,Benazir,Bhutto,"","",was,expected,to,win,the,presidency,in,Saturday,'s,vote,.}",8,2,0,3,3,"{INV_NGRAM_1_[widower],""INV_NGRAM_2_[widower of]"",""INV_BETW_L_[prep_of appos]"",""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{2.70046,2.41389,1.48212,-1.42472,-1.22689,1.17156}"
AFP_ENG_20070422.0516.LDC2009T13_130_11-AFP_ENG_20070422.0516.LDC2009T13_130_8,AFP_ENG_20070422.0516.LDC2009T13_130,Caroline Maes-Serena Williams,,0.954,"{Venus,Williams,beat,Flipkens,7-5,"","",6-2,and,Serena,Williams,downed,Caroline,Maes,6-1,"","",6-4,.}",11,2,8,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_2_R_2_[NUMBER O]_[NUMBER O]"",""INV_NER_L_2_R_1_[NUMBER O]_[NUMBER]"",INV_NER_L_1_R_1_[O]_[NUMBER],IS_INVERTED,""INV_NER_L_1_R_2_[O]_[NUMBER O]""}","{-1.149,1.02456,1.02456,0.92712,0.57978,0.484157}"
107031@16_0-107031@16_54,107031@16,Ullman-Larry David,,0.999,"{Ullman,does,Zellweger,and,Rita,Cosby,"","",but,she,also,has,less,familiar,targets,"","",like,Huffington,"","",a,Greek-born,former,Republican,muse,and,hostess,in,Washington,who,is,now,a,Los,Angeles,liberal,and,co-founder,of,The,Huffington,Post,-LRB-,huffingtonpost.com,-RRB-,"","",and,Laurie,David,"","",the,estranged,wife,of,the,comedian,Larry,David,and,a,prominent,and,quite,ferocious,environmentalist,and,fundraiser,in,Hollywood,.}",0,1,54,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_3_R_1_[O LOCATION O]_[O]"",""NGRAM_1_[,]"",NGRAM_1_[she]}","{5.01088,-2.15061,2.03006,-1.43775,-1.35882,1.35843}"
LTW_ENG_20070629.0010.LDC2009T13_318_33-LTW_ENG_20070629.0010.LDC2009T13_318_38,LTW_ENG_20070629.0010.LDC2009T13_318,Pat Fraley-Erika Scheimer,,0.973,"{Extras,include,the,documentary,``,Saddling,Up,With,Bravestarr,:,The,Legend,"","",'',commentary,for,``,Bravestarr,:,The,Legend,'',with,producer,Lou,Scheimer,"","",director,Tom,Sito,"","",voice,actor,Pat,Fraley,and,voice,director,Erika,Scheimer,.}",33,2,38,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""BETW_L_[prep_with prep_with]"",""POS_SEQ_[CC NN NN]"",NGRAM_1_[voice],""NER_L_3_R_1_[O TITLE TITLE]_[O]""}","{-2.15061,1.86495,0.838684,0.81059,0.498781,0.417429}"
APW_ENG_20080802.0037.LDC2009T13_215_21-APW_ENG_20080802.0037.LDC2009T13_215_14,APW_ENG_20080802.0037.LDC2009T13_215,Gwen Stefani-Bush,,0.999,"{They,include,Gavin,Rossdale,"","",the,founder,and,lead,singer,of,the,band,``,Bush,"","",'',and,husband,of,entertainer,Gwen,Stefani,;,""actor\\/model"",Boris,Kodjoe,"","",and,""actress\\/model"",Sara,Foster,"","",Haas,',girlfriend,.}",21,2,14,1,1,"{INV_NGRAM_1_[husband],""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_3_[O O O]_[O O PERSON]"",""INV_NGRAM_2_[husband of]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{6.02373,-1.42472,1.3554,1.30095,-1.22689,1.17156}"
