relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
eng-WL-107-174567-12933895_11_24-eng-WL-107-174567-12933895_11_0,eng-WL-107-174567-12933895_11,Christie-Kurt Cobain,,0.93,"{Kurt,Cobain,'s,widow,"","",Courtney,Love,"","",42,"","",says,she,plans,to,auction,off,most,of,her,late,husband,'s,belongings,@,Christie,'s,auction,house,"","",reports,AOL,Website,Spinner.com,.}",24,1,0,2,2,"{INV_NGRAM_1_[husband],INV_NGRAM_1_[widow],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[she]}","{1.50661,0.83869,-0.724749,-0.711062,-0.611938,0.602986}"
eng-WL-11-174588-12938603_3844_5-eng-WL-11-174588-12938603_3844_0,eng-WL-11-174588-12938603_3844,Laura Dern-Ben Harper,t,0.966,"{Ben,Harper,is,married,to,Laura,Dern,"","",of,course,"","",and,I,think,they,have,remained,friends,over,the,years,.}",5,2,0,2,2,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]"",""INV_NGRAM_2_[marry to]""}","{1.3141,0.944336,-0.711062,-0.611938,0.506441,0.45797}"
eng-NG-31-146450-10408799_406_16-eng-NG-31-146450-10408799_406_19,eng-NG-31-146450-10408799_406,shane deary-keri russell,t,0.93,"{He,said,their,shane,deary,and,keri,russell,spectators,subsided,a,three,of,of,the,eat,shane,deary,and,keri,russell,My,I,saw,kid,here,around,him,.}",16,2,19,2,2,"{LENGTHS_[2_2],POS_SEQ_[CC],LEMMA_SEQ_[and],NER_SEQ_[O],WORD_SEQ_[and],NGRAM_1_[and]}","{0.912737,0.534885,0.439209,0.426275,0.349422,-0.281565}"
eng-WL-11-174594-12963456_223_3-eng-WL-11-174594-12963456_223_6,eng-WL-11-174594-12963456_223,Matthew McConaughey-Camila Alves,t,0.936,"{Read,More,:,Matthew,McConaughey,&,Camila,Alves,are,Pregnant,!!!}",3,2,6,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],POS_SEQ_[CC],""BETW_L_[nsubj nsubj]"",NER_SEQ_[O],W_LEMMA_L_1_R_1_[:]_[be]}","{-1.15086,0.982253,0.534885,0.499901,0.426275,0.35692}"
APW_ENG_20081215.0026.LDC2009T13_85_17-APW_ENG_20081215.0026.LDC2009T13_85_11,APW_ENG_20081215.0026.LDC2009T13_85,Benazir Bhutto-Asif Ali Zardari,t,0.936,"{But,his,strongest,message,was,delivered,Sunday,to,Pakistan,'s,President,Asif,Ali,Zardari,"","",whose,wife,Benazir,Bhutto,died,last,year,in,an,attack,launched,by,extremists,.}",17,2,11,3,3,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_3],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]""}","{1.49919,1.05043,-0.724749,-0.711062,-0.611938,0.506441}"
APW_ENG_20080203.0578.LDC2009T13_13_2-APW_ENG_20080203.0578.LDC2009T13_13_12,APW_ENG_20080203.0578.LDC2009T13_13,Nicolas Sarkozy-Carla Bruni,t,0.944,"{French,President,Nicolas,Sarkozy,and,his,new,wife,"","",model,and,singer,Carla,Bruni,"","",spent,their,wedding,night,in,a,former,hunting,lodge,near,the,palace,at,Versailles,"","",news,reports,said,Sunday,.}",2,2,12,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],""NGRAM_1_[,]"",NGRAM_1_[he],NGRAM_1_[model]}","{1.32574,-1.15086,0.982253,-0.801364,0.374977,0.371342}"
APW_ENG_20080312.0246.LDC2009T13_661_25-APW_ENG_20080312.0246.LDC2009T13_661_17,APW_ENG_20080312.0246.LDC2009T13_661,Bill Clinton-Hillary Rodham Clinton,t,0.908,"{Shortly,before,she,became,first,lady,"","",Silda,Spitzer,told,an,interviewer,she,had,spoken,with,Sen.,Hillary,Rodham,Clinton,"","",whose,husband,former,President,Bill,Clinton,was,involved,in,a,sex,scandal,while,in,office,"","",about,how,to,maintain,a,private,sphere,for,her,family,.}",25,2,17,3,3,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_4],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NGRAM_2_[former President]""}","{1.50661,1.07041,-0.724749,-0.711062,-0.611938,0.403058}"
APW_ENG_20080101.0730.LDC2009T13_31_1-APW_ENG_20080101.0730.LDC2009T13_31_12,APW_ENG_20080101.0730.LDC2009T13_31,Gavin Newsom-Jennifer Siebel,t,0.91,"{Mayor,Gavin,Newsom,"","",40,"","",proposed,to,his,girlfriend,"","",actress,Jennifer,Siebel,"","",33,"","",while,they,vacationed,over,the,weekend,in,Hawaii,"","",and,she,accepted,"","",said,Stanlee,Gatti,"","",a,friend,of,the,couple,who,spoke,with,the,mayor,after,he,proposed,.}",1,2,12,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[girlfriend],LENGTHS_[2_3],""NGRAM_1_[,]"",""NGRAM_2_[girlfriend ,]"",NGRAM_1_[he]}","{-1.15086,0.975016,0.840363,-0.801364,0.382057,0.374977}"
APW_ENG_20071002.0066.LDC2009T13_62_0-APW_ENG_20071002.0066.LDC2009T13_62_5,APW_ENG_20071002.0066.LDC2009T13_62,Roh Moo-hyun-Kwon Yang-sook,t,0.92,"{Roh,Moo-hyun,and,his,wife,Kwon,Yang-sook,stepped,across,a,yellow,plastic,strip,marked,with,the,words,``,peace,'',and,``,prosperity,'',and,laid,across,the,Military,Demarcation,Line,that,divides,the,Koreas,in,the,middle,of,the,heavily,fortified,Demilitarized,Zone,.}",0,2,5,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""NER_SEQ_[O O O]"",NGRAM_1_[he],NGRAM_1_[and]}","{1.32574,-1.15086,0.912737,0.462411,0.374977,-0.281565}"
APW_ENG_20070706.0246.LDC2009T13_403_17-APW_ENG_20070706.0246.LDC2009T13_403_10,APW_ENG_20070706.0246.LDC2009T13_403,Hillary Rodham Clinton-Bill Clinton,t,0.976,"{WASHINGTON,--,The,White,House,made,fun,of,former,President,Bill,Clinton,and,his,wife,"","",Sen.,Hillary,Rodham,Clinton,"","",for,criticizing,President,George,W.,Bush,'s,decision,to,erase,the,prison,sentence,of,former,aide,I.,Lewis,``,Scooter,'',Libby.In,the,closing,hours,of,his,presidency,"","",Clinton,pardoned,140,people,.}",17,3,10,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[4_2],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O O O]""}","{1.49919,1.14067,-0.724749,-0.711062,-0.611938,0.495016}"
APW_ENG_20080317.0885.LDC2009T13_363_2-APW_ENG_20080317.0885.LDC2009T13_363_22,APW_ENG_20080317.0885.LDC2009T13_363,Paul McCartney-Heather Mills,t,0.932,"{LONDON,--,Paul,McCartney,arrives,at,court,to,learn,how,much,of,his,huge,fortune,he,must,hand,over,to,estranged,wife,Heather,Mills,.}",2,2,22,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[he],NGRAM_1_[of],NGRAM_1_[over]}","{1.32574,-1.15086,0.912737,0.374977,-0.338096,0.274505}"
APW_ENG_20080206.1223.LDC2009T13_455_28-APW_ENG_20080206.1223.LDC2009T13_455_2,APW_ENG_20080206.1223.LDC2009T13_455,Simon Monjack-Monique Lhuillier,,0.924,"{At,the,Monique,Lhuillier,show,"","",King,was,seated,in,the,front,row,next,to,Brittany,Murphy,"","",who,clutched,the,hand,of,her,rumpled,husband,"","",screenwriter,Simon,Monjack,.}",28,2,2,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_3],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[she]}","{1.50661,1.05043,-0.724749,-0.711062,-0.611938,0.602986}"
APW_ENG_20080105.0146.LDC2009T13_18_0-APW_ENG_20080105.0146.LDC2009T13_18_25,APW_ENG_20080105.0146.LDC2009T13_18,Britney Spears-Kevin Federline,t,0.938,"{Britney,Spears,was,derailed,yet,again,in,her,struggle,to,get,her,life,back,on,track,"","",losing,custody,of,her,two,sons,to,ex-husband,Kevin,Federline,after,being,hauled,off,to,a,hospital,for,observation,by,paramedics,and,police,.}",0,2,25,2,2,"{STARTS_WITH_CAPITAL_[True_True],KW_IND_[non_married],NGRAM_1_[ex-husband],LENGTHS_[2_3],""NGRAM_1_[,]"",NGRAM_1_[son]}","{-1.15086,-1.09802,1.01958,0.840363,-0.801364,-0.670022}"
APW_ENG_20080219.1279.LDC2009T13_17_29-APW_ENG_20080219.1279.LDC2009T13_17_10,APW_ENG_20080219.1279.LDC2009T13_17,Kevin Federline-Britney Spears,t,0.976,"{A,Superior,Court,commissioner,on,Tuesday,denied,a,request,by,Britney,Spears,',divorce,attorney,to,issue,a,gag,order,in,the,pop,star,'s,child-custody,dispute,with,ex-husband,Kevin,Federline,.}",29,2,10,2,2,"{INV_LENGTHS_[3_2],INV_NGRAM_1_[ex-husband],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[divorce],INV_NGRAM_1_[with]}","{1.00668,0.945338,-0.711062,-0.611938,0.5968,0.469734}"
APW_ENG_20070620.0962.LDC2009T13_21_2-APW_ENG_20070620.0962.LDC2009T13_21_9,APW_ENG_20070620.0962.LDC2009T13_21,Bill Clinton-Hillary Rodham Clinton,t,0.954,"{Former,President,Bill,Clinton,and,his,wife,"","",Sen.,Hillary,Rodham,Clinton,"","",will,join,Mariah,Carey,and,others,as,honorees,at,the,VH1,Save,The,Music,Foundation,'s,10th-anniversary,gala,in,September,.}",2,2,9,3,3,"{NGRAM_1_[wife],LENGTHS_[2_4],STARTS_WITH_CAPITAL_[True_True],""NGRAM_1_[,]"",""NER_SEQ_[O O O O O]"",NGRAM_1_[he]}","{1.32574,1.19064,-1.15086,-0.801364,0.410766,0.374977}"
APW_ENG_20080203.0578.LDC2009T13_13_12-APW_ENG_20080203.0578.LDC2009T13_13_2,APW_ENG_20080203.0578.LDC2009T13_13,Carla Bruni-Nicolas Sarkozy,t,0.948,"{French,President,Nicolas,Sarkozy,and,his,new,wife,"","",model,and,singer,Carla,Bruni,"","",spent,their,wedding,night,in,a,former,hunting,lodge,near,the,palace,at,Versailles,"","",news,reports,said,Sunday,.}",12,2,2,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_3],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[model]}","{1.49919,1.05043,-0.724749,-0.711062,-0.611938,0.361289}"
APW_ENG_20080508.1111.LDC2009T13_78_7-APW_ENG_20080508.1111.LDC2009T13_78_15,APW_ENG_20080508.1111.LDC2009T13_78,Cindy McCain-John McCain,t,0.958,"{My,husband,is,the,candidate,"","",'',Cindy,McCain,"","",wife,of,Republican,presidential,nominee-in-waiting,John,McCain,"","",said,in,an,interview,aired,on,NBC,'s,``,Today,'',on,Thursday,.}",7,2,15,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{1.32574,-1.15086,0.912737,0.82894,-0.801364,0.624074}"
APW_ENG_20080318.0070.LDC2009T13_64_1-APW_ENG_20080318.0070.LDC2009T13_64_4,APW_ENG_20080318.0070.LDC2009T13_64,Neil Diamond-Marcia Murphey,t,0.908,"{--,Neil,Diamond,and,Marcia,Murphey,"","",$,150,million,"","",1994,.}",1,2,4,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],POS_SEQ_[CC],LEMMA_SEQ_[and],NER_SEQ_[O],WORD_SEQ_[and]}","{-1.15086,0.912737,0.534885,0.439209,0.426275,0.349422}"
APW_ENG_20080829.0327.LDC2009T13_35_0-APW_ENG_20080829.0327.LDC2009T13_35_9,APW_ENG_20080829.0327.LDC2009T13_35,Asif Ali Zardari-Benazir Bhutto,t,0.958,"{Asif,Ali,Zardari,"","",the,widower,of,slain,leader,Benazir,Bhutto,"","",has,sought,to,assure,the,United,States,he,will,remain,committed,to,the,war,on,terrorism,.}",0,3,9,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",""NGRAM_2_[the widower]""}","{-1.15086,0.982253,0.924263,-0.801364,0.607217,0.353011}"
142216@29_0-142216@29_9,142216@29,Lillian Bendel-Henri Bendel,,0.994,"{Lillian,Bendel,"","",the,wife,of,the,fashion,retailer,Henri,Bendel,"","",was,a,chairman,of,the,membership,committee,in,the,1970s,and,early,1980s,.}",0,2,9,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{1.32574,-1.15086,0.912737,0.82894,-0.801364,0.624074}"
eng-NG-31-104877-11906318_105_5-eng-NG-31-104877-11906318_105_0,eng-NG-31-104877-11906318_105,Abigail from York-John Adams,,0.954,"{John,Adams,to,his,wife,Abigail,from,York,"","",29,June,1774,"","",from,The,Letters,of,John,and,Abigail,Adams,"","",Penguin,classics,.}",5,3,0,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[3_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]"",INV_NGRAM_1_[he]}","{1.49919,1.00668,-0.711062,-0.611938,0.506441,0.334914}"
eng-WL-107-174567-12933181_10_7-eng-WL-107-174567-12933181_10_16,eng-WL-107-174567-12933181_10,Linda Bollea-Terry Bollea,,0.988,"{Well,"","",the,word,is,out,that,Linda,Bollea,has,filed,for,divorce,from,her,hubby,Terry,Bollea,"","",who,'s,better,known,as,Hulk,Hogan,.}",7,2,16,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[hubby],LENGTHS_[2_2],NGRAM_1_[she],NGRAM_1_[divorce],""NGRAM_2_[divorce from]""}","{-1.15086,1.13012,0.912737,0.654292,0.573445,0.474012}"
eng-NG-31-141957-9980225_18_5-eng-NG-31-141957-9980225_18_18,eng-NG-31-141957-9980225_18,HEATHER Mills-Paul McCartney,t,0.934,"{March,19,"","",2008,--,HEATHER,Mills,is,n't,satisfied,with,her,$,48.6,million,divorce,settlement,from,Paul,McCartney,-,so,the,peg-legged,money-grubber,has,been,``,calling,around,British,magazines,and,television,shows,to,sell,her,exclusives,.,''}",5,2,18,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[she],NGRAM_1_[divorce],NGRAM_1_[with],""W_NER_L_2_R_3_[DATE O]_[O O O]""}","{-1.15086,0.912737,0.654292,0.573445,0.400831,0.274384}"
APW_ENG_20080206.1223.LDC2009T13_455_28-APW_ENG_20080206.1223.LDC2009T13_455_15,APW_ENG_20080206.1223.LDC2009T13_455,Simon Monjack-Brittany Murphy,t,0.924,"{At,the,Monique,Lhuillier,show,"","",King,was,seated,in,the,front,row,next,to,Brittany,Murphy,"","",who,clutched,the,hand,of,her,rumpled,husband,"","",screenwriter,Simon,Monjack,.}",28,2,15,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_3],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[she]}","{1.50661,1.05043,-0.724749,-0.711062,-0.611938,0.602986}"
APW_ENG_20080317.0885.LDC2009T13_363_22-APW_ENG_20080317.0885.LDC2009T13_363_2,APW_ENG_20080317.0885.LDC2009T13_363,Heather Mills-Paul McCartney,t,0.95,"{LONDON,--,Paul,McCartney,arrives,at,court,to,learn,how,much,of,his,huge,fortune,he,must,hand,over,to,estranged,wife,Heather,Mills,.}",22,2,2,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[he],""INV_W_NER_L_2_R_1_[CITY O]_[O]""}","{1.49919,0.944336,-0.711062,-0.611938,0.334914,0.266942}"
eng-NG-31-104877-11906318_105_0-eng-NG-31-104877-11906318_105_5,eng-NG-31-104877-11906318_105,John Adams-Abigail from York,,0.964,"{John,Adams,to,his,wife,Abigail,from,York,"","",29,June,1774,"","",from,The,Letters,of,John,and,Abigail,Adams,"","",Penguin,classics,.}",0,2,5,3,3,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],""NER_SEQ_[O O O]"",NGRAM_1_[he],""W_NER_L_1_R_2_[O]_[O DATE]""}","{1.32574,-1.15086,0.840363,0.462411,0.374977,0.216233}"
APW_ENG_20081226.0037.LDC2009T13_20_4-APW_ENG_20081226.0037.LDC2009T13_20_7,APW_ENG_20081226.0037.LDC2009T13_20,Roy Rogers-Dale Evans,t,0.932,"{1947,:,Singing,cowboy,Roy,Rogers,married,Dale,Evans,.}",4,2,7,2,2,"{NGRAM_1_[marry],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NER_SEQ_[O],POS_SEQ_[VBD],""W_NER_L_2_R_1_[O TITLE]_[O]""}","{1.25805,-1.15086,0.912737,0.426275,0.31071,0.254298}"
APW_ENG_20080829.0069.LDC2009T13_65_3-APW_ENG_20080829.0069.LDC2009T13_65_7,APW_ENG_20080829.0069.LDC2009T13_65,Kevin Bacon-Kyra Sedgwick,t,0.94,"{1988,:,Actor,Kevin,Bacon,married,actress,Kyra,Sedgwick,.}",3,2,7,2,2,"{NGRAM_1_[marry],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],W_LEMMA_L_1_R_1_[actor]_[.],NGRAM_1_[actress],""W_NER_L_3_R_1_[DATE O TITLE]_[O]""}","{1.25805,-1.15086,0.912737,0.339162,0.324854,0.278223}"
APW_ENG_20080530.0105.LDC2009T13_280_11-APW_ENG_20080530.0105.LDC2009T13_280_3,APW_ENG_20080530.0105.LDC2009T13_280,Karen Elson-Jack White,t,0.922,"{2005,:,Singer,Jack,White,of,the,White,Stripes,married,model,Karen,Elson,in,Brazil,.}",11,2,3,2,2,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[model],""INV_W_NER_L_3_R_1_[DATE O TITLE]_[O]""}","{1.3141,0.944336,-0.711062,-0.611938,0.361289,0.250522}"
APW_ENG_20081222.0540.LDC2009T13_383_19-APW_ENG_20081222.0540.LDC2009T13_383_12,APW_ENG_20081222.0540.LDC2009T13_383,Hillary Rodham Clinton-Bill Clinton,t,0.964,"{Gupta,also,spent,some,of,the,company,'s,money,on,former,President,Bill,Clinton,and,his,wife,"","",Sen.,Hillary,Rodham,Clinton,"","",the,former,Democratic,presidential,contender,.}",19,3,12,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[4_2],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O O O]""}","{1.49919,1.14067,-0.724749,-0.711062,-0.611938,0.495016}"
APW_ENG_20080725.0833.LDC2009T13_42_22-APW_ENG_20080725.0833.LDC2009T13_42_2,APW_ENG_20080725.0833.LDC2009T13_42,Guenther Beckstein-Angela Merkel,,0.904,"{German,Chancellor,Angela,Merkel,and,her,husband,"","",Joachim,Sauer,--,regular,visitors,to,the,annual,Bayreuth,festival,--,and,Bavarian,governor,Guenther,Beckstein,were,among,the,guests,who,arrived,at,the,Festspielhaus,for,an,opening,performance,of,Wagner,'s,last,major,work,"","",``,Parsifal,.,''}",22,2,2,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[3_2],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[she]}","{1.50661,1.00668,-0.724749,-0.711062,-0.611938,0.602986}"
