s?	Bl
difficulty	dif?culty
view	View
's	?s
scientific	scienti?c
fieldwor	?eldwork
k,	,
long	1ong
benefiting	bene?ting
June	Jane
com-prehensive	comprehensive
??14	l4
configuration	con?guration
subtrop-ical	subtropical
warm-tem-perate	warmtemperate
8???10	8-10
Ant-arctic	Antarctic
P	?
l	.
esitocene	Plesitocene
.At	At
filled	?lled
scientific	scienti?c
Homi-noid	Hominoid
Neo-gene	Neogene
first	?rst
re-gio	region
n,	,
Ol-igocene	O1igocene
reconstruc-tion	reconstructions
s.	.
Val-lesian	Vallesian
over-view	overview
mam-mal	mammal
Tur-ke	Turkey
y;	;
five	?ve
mol-lusk	mollusks
s;	;
wel-comed	welcomed
au-thor	author
figur	?gure
e	?
???schematic	schematic
relation-ships	relationships
re-cord	record
??data	data
gen-eralized	generalized
profiles	pro?les
present-e	presented
d.	.
reconstruc-tion	reconstructions
s,	,
five	?ve
pri-mate	primates
s.	.
over-views	overviews
Grant-e	Granted
d,	,
first	?rst
??precisely	precisely
find	?nd
's	?s
crit-ical	critical
syn-theses	syntheses
J.	I.
Flagstaf	Flagsta?
f	?
CONSER-VATIO	CONSERVATION
N,	,
avoca-tional	avocational
paleomam-malogis	paleomammalogist
t,	,
li-brar	library
y,	,
con-servatio	conservation
n.	.
ru-minants	ruminants
scientific	scienti?c
evo-lution	evolution
en-demic	endemic
Bovi-da	Bovidae
e,	,
Giraffida	Giraf?dae
e;	;
phylo-genetic	phylogenetic
affinities	af?nities
ungu-late	ungulates
s;	;
po-stcrani	postcrania
a;	;
Af-rican	African
five	?ve
do-mesticate	domesticated
d	?
's	?s
Su-matr	Sumatra
a,	,
??the	the
's	?s
vol-ume	Volume
re-searcher	researchers
s.	.
lagstaf	lagsta?
f	?
