person1_id,person2_id,sentence_id,description,is_true,relation_id,id
LTW_ENG_20070921.0005.LDC2009T13_627_19,LTW_ENG_20070921.0005.LDC2009T13_627_16,LTW_ENG_20070921.0005.LDC2009T13_627,Claire Danes-Natasha Richardson,f,LTW_ENG_20070921.0005.LDC2009T13_627_19-LTW_ENG_20070921.0005.LDC2009T13_627_16,72246
AFP_ENG_19960911.0616.LDC2007T07_217_10,AFP_ENG_19960911.0616.LDC2007T07_217_6,AFP_ENG_19960911.0616.LDC2007T07_217,Jacob-Abraham,f,AFP_ENG_19960911.0616.LDC2007T07_217_10-AFP_ENG_19960911.0616.LDC2007T07_217_6,121186
34215@40_47,34215@40_53,34215@40,Jimmy Durante-Dorothy Fields,f,34215@40_47-34215@40_53,22544
APW_ENG_20080416.1541.LDC2009T13_503_36,APW_ENG_20080416.1541.LDC2009T13_503_29,APW_ENG_20080416.1541.LDC2009T13_503,Avery Taylor-Anne Taylor Fleming,f,APW_ENG_20080416.1541.LDC2009T13_503_36-APW_ENG_20080416.1541.LDC2009T13_503_29,183503
NYT_ENG_20070318.0044.LDC2009T13_645_0,NYT_ENG_20070318.0044.LDC2009T13_645_9,NYT_ENG_20070318.0044.LDC2009T13_645,Nathaniel Benchley-Robert Benchley,f,NYT_ENG_20070318.0044.LDC2009T13_645_0-NYT_ENG_20070318.0044.LDC2009T13_645_9,212006
83443@9_14,83443@9_34,83443@9,Jane Fonda-Peter Fonda,f,83443@9_14-83443@9_34,22967
eng-NG-31-102460-10983987_18_15,eng-NG-31-102460-10983987_18_48,eng-NG-31-102460-10983987_18,Julia Roberts-Scarlett Johansson,f,eng-NG-31-102460-10983987_18_15-eng-NG-31-102460-10983987_18_48,123109
NYT_ENG_20080306.0238.LDC2009T13_237_22,NYT_ENG_20080306.0238.LDC2009T13_237_45,NYT_ENG_20080306.0238.LDC2009T13_237,Hillary Rodham Clinton-Chelsea Clinton,f,NYT_ENG_20080306.0238.LDC2009T13_237_22-NYT_ENG_20080306.0238.LDC2009T13_237_45,58185
eng-NG-31-131514-12113107_892_48,eng-NG-31-131514-12113107_892_33,eng-NG-31-131514-12113107_892,Forest Whitaker-Dennis Hopper,f,eng-NG-31-131514-12113107_892_48-eng-NG-31-131514-12113107_892_33,244660
APW_ENG_20081215.0083.LDC2009T13_277_16,APW_ENG_20081215.0083.LDC2009T13_277_20,APW_ENG_20081215.0083.LDC2009T13_277,Kathie Lee Gifford-Hoda Kotb,f,APW_ENG_20081215.0083.LDC2009T13_277_16-APW_ENG_20081215.0083.LDC2009T13_277_20,202453
82383@26_79,82383@26_53,82383@26,Michael Douglas-Val Kilmer,f,82383@26_79-82383@26_53,161103
eng-NG-31-102460-10983987_18_27,eng-NG-31-102460-10983987_18_44,eng-NG-31-102460-10983987_18,Justin Timberlake-Neil Patrick Harris,f,eng-NG-31-102460-10983987_18_27-eng-NG-31-102460-10983987_18_44,260495
145173@42_11,145173@42_20,145173@42,Mark Warner-Kay Hagan,f,145173@42_11-145173@42_20,255079
93681@30_55,93681@30_19,93681@30,Jamie-Nathan Scott,f,93681@30_55-93681@30_19,198582
82383@26_44,82383@26_50,82383@26,Randy Travis-Barry Switzer,f,82383@26_44-82383@26_50,180571
LTW_ENG_20080722.0096.LDC2009T13_5_3,LTW_ENG_20080722.0096.LDC2009T13_5_6,LTW_ENG_20080722.0096.LDC2009T13_5,Isaac-Isaac,f,LTW_ENG_20080722.0096.LDC2009T13_5_3-LTW_ENG_20080722.0096.LDC2009T13_5_6,232292
AFP_ENG_20080430.0201.LDC2009T13_11_62,AFP_ENG_20080430.0201.LDC2009T13_11_70,AFP_ENG_20080430.0201.LDC2009T13_11,Zara Phillips-Elizabeth II,f,AFP_ENG_20080430.0201.LDC2009T13_11_62-AFP_ENG_20080430.0201.LDC2009T13_11_70,266695
APW_ENG_20071030.1563.LDC2009T13_364_25,APW_ENG_20071030.1563.LDC2009T13_364_27,APW_ENG_20071030.1563.LDC2009T13_364,Isaac-Jacob,f,APW_ENG_20071030.1563.LDC2009T13_364_25-APW_ENG_20071030.1563.LDC2009T13_364_27,219515
AFP_ENG_20080710.0726.LDC2009T13_28_38,AFP_ENG_20080710.0726.LDC2009T13_28_2,AFP_ENG_20080710.0726.LDC2009T13_28,Nathan Hauritz-Ricky Ponting,f,AFP_ENG_20080710.0726.LDC2009T13_28_38-AFP_ENG_20080710.0726.LDC2009T13_28_2,124564
71209@5_16,71209@5_8,71209@5,William O. Douglas-Burton,f,71209@5_16-71209@5_8,236682
NYT_ENG_20080717.0143.LDC2009T13_1024_15,NYT_ENG_20080717.0143.LDC2009T13_1024_7,NYT_ENG_20080717.0143.LDC2009T13_1024,Bob Kane-Christopher,f,NYT_ENG_20080717.0143.LDC2009T13_1024_15-NYT_ENG_20080717.0143.LDC2009T13_1024_7,213355
APW_ENG_20080122.0917.LDC2009T13_611_18,APW_ENG_20080122.0917.LDC2009T13_611_21,APW_ENG_20080122.0917.LDC2009T13_611,Ethan Coen-Joel Coen,f,APW_ENG_20080122.0917.LDC2009T13_611_18-APW_ENG_20080122.0917.LDC2009T13_611_21,103383
NYT_ENG_20080401.0215.LDC2009T13_814_43,NYT_ENG_20080401.0215.LDC2009T13_814_28,NYT_ENG_20080401.0215.LDC2009T13_814,Sigmund Freud-Matthew Freud,f,NYT_ENG_20080401.0215.LDC2009T13_814_43-NYT_ENG_20080401.0215.LDC2009T13_814_28,212495
LTW_ENG_19960820.0031.LDC2007T07_222_47,LTW_ENG_19960820.0031.LDC2007T07_222_25,LTW_ENG_19960820.0031.LDC2007T07_222,John Standing-Shashi Kapoor,f,LTW_ENG_19960820.0031.LDC2007T07_222_47-LTW_ENG_19960820.0031.LDC2007T07_222_25,56870
eng-NG-31-141971-9990686_233_25,eng-NG-31-141971-9990686_233_37,eng-NG-31-141971-9990686_233,Kafeel Ahmed-Sabeel Ahmed,f,eng-NG-31-141971-9990686_233_25-eng-NG-31-141971-9990686_233_37,35282
APW_ENG_20071003.1358.LDC2009T13_133_34,APW_ENG_20071003.1358.LDC2009T13_133_16,APW_ENG_20071003.1358.LDC2009T13_133,Valerie Bertinelli-Scarlett Johansson,f,APW_ENG_20071003.1358.LDC2009T13_133_34-APW_ENG_20071003.1358.LDC2009T13_133_16,162687
eng-NG-31-142885-10105306_1426_4,eng-NG-31-142885-10105306_1426_9,eng-NG-31-142885-10105306_1426,Abraham-Ishmael,f,eng-NG-31-142885-10105306_1426_4-eng-NG-31-142885-10105306_1426_9,202497
NYT_ENG_20070205.0183.LDC2009T13_8_10,NYT_ENG_20070205.0183.LDC2009T13_8_21,NYT_ENG_20070205.0183.LDC2009T13_8,Brent Redstone-Redstone,f,NYT_ENG_20070205.0183.LDC2009T13_8_10-NYT_ENG_20070205.0183.LDC2009T13_8_21,130741
82383@25_70,82383@25_111,82383@25,Bette Midler-Eddie Murphy,f,82383@25_70-82383@25_111,160060
79623@20_19,79623@20_16,79623@20,Sherry Lansing-Steve Tisch,f,79623@20_19-79623@20_16,162232
56584@22_41,56584@22_11,56584@22,Sandra-Jane,f,56584@22_41-56584@22_11,101442
60823@7_8,60823@7_48,60823@7,Halsted Welles-Glenn Ford,f,60823@7_8-60823@7_48,277501
eng-NG-31-100675-11206558_385_66,eng-NG-31-100675-11206558_385_34,eng-NG-31-100675-11206558_385,Julie Halston-Bill Charlap,f,eng-NG-31-100675-11206558_385_66-eng-NG-31-100675-11206558_385_34,226193
APW_ENG_20080527.1226.LDC2009T13_294_20,APW_ENG_20080527.1226.LDC2009T13_294_51,APW_ENG_20080527.1226.LDC2009T13_294,Peter Odemwingie-Nwankwo Kanu,f,APW_ENG_20080527.1226.LDC2009T13_294_20-APW_ENG_20080527.1226.LDC2009T13_294_51,244855
NYT_ENG_20070628.0134.LDC2009T13_882_44,NYT_ENG_20070628.0134.LDC2009T13_882_9,NYT_ENG_20070628.0134.LDC2009T13_882,Mamie Gummer-Toni Collette,f,NYT_ENG_20070628.0134.LDC2009T13_882_44-NYT_ENG_20070628.0134.LDC2009T13_882_9,250744
eng-NG-31-141971-9990259_157_10,eng-NG-31-141971-9990259_157_28,eng-NG-31-141971-9990259_157,Tom Cruise-L. Ron Hubbard,f,eng-NG-31-141971-9990259_157_10-eng-NG-31-141971-9990259_157_28,52779
APW_ENG_20070524.0883.LDC2009T13_361_6,APW_ENG_20070524.0883.LDC2009T13_361_39,APW_ENG_20070524.0883.LDC2009T13_361,Matt Damon-Rosario Dawson,f,APW_ENG_20070524.0883.LDC2009T13_361_6-APW_ENG_20070524.0883.LDC2009T13_361_39,32485
eng-WL-109-174581-12950893_678_24,eng-WL-109-174581-12950893_678_21,eng-WL-109-174581-12950893_678,David Schwimmer-Willem Dafoe,f,eng-WL-109-174581-12950893_678_24-eng-WL-109-174581-12950893_678_21,14314
APW_ENG_20070405.0598.LDC2009T13_263_0,APW_ENG_20070405.0598.LDC2009T13_263_20,APW_ENG_20070405.0598.LDC2009T13_263,Michael Jackson-Michael Jackson,f,APW_ENG_20070405.0598.LDC2009T13_263_0-APW_ENG_20070405.0598.LDC2009T13_263_20,284661
AFP_ENG_20081120.0231.LDC2009T13_182_12,AFP_ENG_20081120.0231.LDC2009T13_182_6,AFP_ENG_20081120.0231.LDC2009T13_182,Sachin Tendulkar-Gautam Gambhir,f,AFP_ENG_20081120.0231.LDC2009T13_182_12-AFP_ENG_20081120.0231.LDC2009T13_182_6,13048
APW_ENG_20070516.0542.LDC2009T13_167_22,APW_ENG_20070516.0542.LDC2009T13_167_17,APW_ENG_20070516.0542.LDC2009T13_167,Dexter Scott King-Martin Luther King III,f,APW_ENG_20070516.0542.LDC2009T13_167_22-APW_ENG_20070516.0542.LDC2009T13_167_17,162812
LTW_ENG_20070301.0009.LDC2009T13_261_17,LTW_ENG_20070301.0009.LDC2009T13_261_20,LTW_ENG_20070301.0009.LDC2009T13_261,Joseph-Maria,f,LTW_ENG_20070301.0009.LDC2009T13_261_17-LTW_ENG_20070301.0009.LDC2009T13_261_20,94716
NYT_ENG_20071009.0138.LDC2009T13_1131_12,NYT_ENG_20071009.0138.LDC2009T13_1131_24,NYT_ENG_20071009.0138.LDC2009T13_1131,Deborah Curtis-Joe Anderson,f,NYT_ENG_20071009.0138.LDC2009T13_1131_12-NYT_ENG_20071009.0138.LDC2009T13_1131_24,91843
73290@20_15,73290@20_25,73290@20,Sidney Lumet-Marisa Tomei,f,73290@20_15-73290@20_25,160593
eng-WL-11-174588-12938020_3814_43,eng-WL-11-174588-12938020_3814_28,eng-WL-11-174588-12938020_3814,Jennifer Tilly-Jane Fonda,f,eng-WL-11-174588-12938020_3814_43-eng-WL-11-174588-12938020_3814_28,126837
APW_ENG_20070515.1057.LDC2009T13_133_25,APW_ENG_20070515.1057.LDC2009T13_133_56,APW_ENG_20070515.1057.LDC2009T13_133,Rupert Holmes-Laurence O'Keefe,f,APW_ENG_20070515.1057.LDC2009T13_133_25-APW_ENG_20070515.1057.LDC2009T13_133_56,246957
eng-WL-11-174595-12967910_2091_6,eng-WL-11-174595-12967910_2091_16,eng-WL-11-174595-12967910_2091,Lionel Richie-Nicole Richie,f,eng-WL-11-174595-12967910_2091_6-eng-WL-11-174595-12967910_2091_16,70570
82383@25_129,82383@25_123,82383@25,Cindy Crawford-John Cleese,f,82383@25_129-82383@25_123,140752
NYT_ENG_20070517.0161.LDC2009T13_784_64,NYT_ENG_20070517.0161.LDC2009T13_784_22,NYT_ENG_20070517.0161.LDC2009T13_784,Will Ferrell-Owen Wilson,f,NYT_ENG_20070517.0161.LDC2009T13_784_64-NYT_ENG_20070517.0161.LDC2009T13_784_22,58294
LTW_ENG_20070217.0102.LDC2009T13_147_38,LTW_ENG_20070217.0102.LDC2009T13_147_22,LTW_ENG_20070217.0102.LDC2009T13_147,Steny Hoyer-President,f,LTW_ENG_20070217.0102.LDC2009T13_147_38-LTW_ENG_20070217.0102.LDC2009T13_147_22,186919
147929@19_20,147929@19_14,147929@19,James-John,f,147929@19_20-147929@19_14,196574
eng-WL-11-174595-12967831_8_14,eng-WL-11-174595-12967831_8_37,eng-WL-11-174595-12967831_8,Matt Lauer-Kevin Federline,f,eng-WL-11-174595-12967831_8_14-eng-WL-11-174595-12967831_8_37,264053
NYT_ENG_20081014.0245.LDC2009T13_146_10,NYT_ENG_20081014.0245.LDC2009T13_146_7,NYT_ENG_20081014.0245.LDC2009T13_146,Shari Redstone-Sumner Redstone,f,NYT_ENG_20081014.0245.LDC2009T13_146_10-NYT_ENG_20081014.0245.LDC2009T13_146_7,266700
eng-WL-11-174595-12971891_665_26,eng-WL-11-174595-12971891_665_15,eng-WL-11-174595-12971891_665,CaCee Cobb-Joel Madden,f,eng-WL-11-174595-12971891_665_26-eng-WL-11-174595-12971891_665_15,11203
46984@41_23,46984@41_0,46984@41,Samberg-Andy Samberg,f,46984@41_23-46984@41_0,2741
AFP_ENG_20080828.0138.LDC2009T13_607_11,AFP_ENG_20080828.0138.LDC2009T13_607_5,AFP_ENG_20080828.0138.LDC2009T13_607,Frances McDormand-John Malkovich,f,AFP_ENG_20080828.0138.LDC2009T13_607_11-AFP_ENG_20080828.0138.LDC2009T13_607_5,246491
APW_ENG_20071110.0792.LDC2009T13_227_16,APW_ENG_20071110.0792.LDC2009T13_227_5,APW_ENG_20071110.0792.LDC2009T13_227,Katie Holmes-Victoria,f,APW_ENG_20071110.0792.LDC2009T13_227_16-APW_ENG_20071110.0792.LDC2009T13_227_5,187695
45661@24_30,45661@24_16,45661@24,Ann-Glenn Close,f,45661@24_30-45661@24_16,158801
133135@25_37,133135@25_27,133135@25,Bill Clinton-Michelle Obama,f,133135@25_37-133135@25_27,195936
72297@21_17,72297@21_26,72297@21,Stella Arroyave-Michael Clarke Duncan,f,72297@21_17-72297@21_26,80807
eng-WL-11-174643-13000463_12_0,eng-WL-11-174643-13000463_12_7,eng-WL-11-174643-13000463_12,Amy Winehouse-Winehouse,f,eng-WL-11-174643-13000463_12_0-eng-WL-11-174643-13000463_12_7,155266
eng-WL-110-174612-12992612_68_69,eng-WL-110-174612-12992612_68_15,eng-WL-110-174612-12992612_68,Dannii Minogue-Tamia,f,eng-WL-110-174612-12992612_68_69-eng-WL-110-174612-12992612_68_15,206051
NYT_ENG_20071214.0135.LDC2009T13_8_26,NYT_ENG_20071214.0135.LDC2009T13_8_11,NYT_ENG_20071214.0135.LDC2009T13_8,Maria Callas-Guillaume Apollinaire,f,NYT_ENG_20071214.0135.LDC2009T13_8_26-NYT_ENG_20071214.0135.LDC2009T13_8_11,213771
APW_ENG_20070606.1465.LDC2009T13_110_20,APW_ENG_20070606.1465.LDC2009T13_110_13,APW_ENG_20070606.1465.LDC2009T13_110,Graciela Daniele-John McColgan,f,APW_ENG_20070606.1465.LDC2009T13_110_20-APW_ENG_20070606.1465.LDC2009T13_110_13,32315
