person1_id,person2_id,sentence_id,description,is_true,relation_id,id
APW_ENG_20070430.0940.LDC2009T13_16_32,APW_ENG_20070430.0940.LDC2009T13_16_14,APW_ENG_20070430.0940.LDC2009T13_16,Mariane Pearl-Daniel Pearl,t,APW_ENG_20070430.0940.LDC2009T13_16_32-APW_ENG_20070430.0940.LDC2009T13_16_14,237995
NYT_ENG_20081017.0164.LDC2009T13_852_21,NYT_ENG_20081017.0164.LDC2009T13_852_8,NYT_ENG_20081017.0164.LDC2009T13_852,Cindy McCain-John McCain,t,NYT_ENG_20081017.0164.LDC2009T13_852_21-NYT_ENG_20081017.0164.LDC2009T13_852_8,289821
eng-NG-31-141957-9977768_102_12,eng-NG-31-141957-9977768_102_9,eng-NG-31-141957-9977768_102,Tommy Lee-Pamela Anderson,t,eng-NG-31-141957-9977768_102_12-eng-NG-31-141957-9977768_102_9,285507
NYT_ENG_20081120.0197.LDC2009T13_1000_31,NYT_ENG_20081120.0197.LDC2009T13_1000_21,NYT_ENG_20081120.0197.LDC2009T13_1000,Peter Jennings-Kati Marton,t,NYT_ENG_20081120.0197.LDC2009T13_1000_31-NYT_ENG_20081120.0197.LDC2009T13_1000_21,291247
eng-WL-107-174567-12932324_40_11,eng-WL-107-174567-12932324_40_8,eng-WL-107-174567-12932324_40,Katie Holmes-Tom Cruise,t,eng-WL-107-174567-12932324_40_11-eng-WL-107-174567-12932324_40_8,165796
XIN_ENG_20070426.0021.LDC2009T13_44_16,XIN_ENG_20070426.0021.LDC2009T13_44_23,XIN_ENG_20070426.0021.LDC2009T13_44,Jane Rosenthal-Craig Hatkoff,t,XIN_ENG_20070426.0021.LDC2009T13_44_16-XIN_ENG_20070426.0021.LDC2009T13_44_23,93700
eng-WL-11-174572-12946251_1399_15,eng-WL-11-174572-12946251_1399_18,eng-WL-11-174572-12946251_1399,Jessica Simpson-Nick Lachey,t,eng-WL-11-174572-12946251_1399_15-eng-WL-11-174572-12946251_1399_18,32529
eng-WL-11-174583-12935952_11_1,eng-WL-11-174583-12935952_11_12,eng-WL-11-174583-12935952_11,Angelina Jolie-Brad Pitt,t,eng-WL-11-174583-12935952_11_1-eng-WL-11-174583-12935952_11_12,91746
AFP_ENG_20080801.0111.LDC2009T13_10_0,AFP_ENG_20080801.0111.LDC2009T13_10_3,AFP_ENG_20080801.0111.LDC2009T13_10,Brad Pitt-Angelina Jolie,t,AFP_ENG_20080801.0111.LDC2009T13_10_0-AFP_ENG_20080801.0111.LDC2009T13_10_3,263151
eng-WL-107-174567-12932927_8_11,eng-WL-107-174567-12932927_8_7,eng-WL-107-174567-12932927_8,Dean McDermott-Tori Spelling,t,eng-WL-107-174567-12932927_8_11-eng-WL-107-174567-12932927_8_7,262776
NYT_ENG_20070829.0109.LDC2009T13_562_8,NYT_ENG_20070829.0109.LDC2009T13_562_0,NYT_ENG_20070829.0109.LDC2009T13_562,John Edwards-Elizabeth Edwards,t,NYT_ENG_20070829.0109.LDC2009T13_562_8-NYT_ENG_20070829.0109.LDC2009T13_562_0,173924
eng-WL-11-174595-12968096_356_26,eng-WL-11-174595-12968096_356_23,eng-WL-11-174595-12968096_356,Rebecca Gayheart-Eric Dane,t,eng-WL-11-174595-12968096_356_26-eng-WL-11-174595-12968096_356_23,286487
APW_ENG_20080531.0143.LDC2009T13_31_0,APW_ENG_20080531.0143.LDC2009T13_31_7,APW_ENG_20080531.0143.LDC2009T13_31,Charlie Sheen-Brooke Mueller,t,APW_ENG_20080531.0143.LDC2009T13_31_0-APW_ENG_20080531.0143.LDC2009T13_31_7,45407
APW_ENG_20081015.0536.LDC2009T13_12_3,APW_ENG_20081015.0536.LDC2009T13_12_0,APW_ENG_20081015.0536.LDC2009T13_12,Guy Ritchie-Madonna,t,APW_ENG_20081015.0536.LDC2009T13_12_3-APW_ENG_20081015.0536.LDC2009T13_12_0,183644
eng-WL-11-174574-12939049_148_12,eng-WL-11-174574-12939049_148_8,eng-WL-11-174574-12939049_148,Star Jones-Al Reynolds,t,eng-WL-11-174574-12939049_148_12-eng-WL-11-174574-12939049_148_8,48127
AFP_ENG_20070306.0611.LDC2009T13_111_26,AFP_ENG_20070306.0611.LDC2009T13_111_22,AFP_ENG_20070306.0611.LDC2009T13_111,Paul McCartney-Heather Mills,t,AFP_ENG_20070306.0611.LDC2009T13_111_26-AFP_ENG_20070306.0611.LDC2009T13_111_22,62726
NYT_ENG_20070525.0186.LDC2009T13_7_7,NYT_ENG_20070525.0186.LDC2009T13_7_3,NYT_ENG_20070525.0186.LDC2009T13_7,Hillary Rodham Clinton-Bill Clinton,t,NYT_ENG_20070525.0186.LDC2009T13_7_7-NYT_ENG_20070525.0186.LDC2009T13_7_3,135586
NYT_ENG_20071222.0038.LDC2009T13_375_15,NYT_ENG_20071222.0038.LDC2009T13_375_3,NYT_ENG_20071222.0038.LDC2009T13_375,Ike Turner-Tina Turner,t,NYT_ENG_20071222.0038.LDC2009T13_375_15-NYT_ENG_20071222.0038.LDC2009T13_375_3,210523
LTW_ENG_20081025.0052.LDC2009T13_756_3,LTW_ENG_20081025.0052.LDC2009T13_756_0,LTW_ENG_20081025.0052.LDC2009T13_756,Hugh Hefner-Barbi Benton,t,LTW_ENG_20081025.0052.LDC2009T13_756_3-LTW_ENG_20081025.0052.LDC2009T13_756_0,153857
NYT_ENG_20080707.0078.LDC2009T13_1027_21,NYT_ENG_20080707.0078.LDC2009T13_1027_18,NYT_ENG_20080707.0078.LDC2009T13_1027,Tammy Wynette-George Jones,t,NYT_ENG_20080707.0078.LDC2009T13_1027_21-NYT_ENG_20080707.0078.LDC2009T13_1027_18,133372
eng-WL-11-174595-12968435_822_39,eng-WL-11-174595-12968435_822_58,eng-WL-11-174595-12968435_822,Spencer Pratt-Heidi Montag,t,eng-WL-11-174595-12968435_822_39-eng-WL-11-174595-12968435_822_58,31668
eng-WL-11-174595-12968761_18_8,eng-WL-11-174595-12968761_18_3,eng-WL-11-174595-12968761_18,Jason Goldberg-Soleil Moon Frye,t,eng-WL-11-174595-12968761_18_8-eng-WL-11-174595-12968761_18_3,230716
NYT_ENG_20070610.0113.LDC2009T13_1043_15,NYT_ENG_20070610.0113.LDC2009T13_1043_6,NYT_ENG_20070610.0113.LDC2009T13_1043,Mark V. Olsen-Will Scheffer,t,NYT_ENG_20070610.0113.LDC2009T13_1043_15-NYT_ENG_20070610.0113.LDC2009T13_1043_6,91887
LTW_ENG_20070217.0049.LDC2009T13_652_4,LTW_ENG_20070217.0049.LDC2009T13_652_7,LTW_ENG_20070217.0049.LDC2009T13_652,Dermot Mulroney-Catherine Keener,t,LTW_ENG_20070217.0049.LDC2009T13_652_4-LTW_ENG_20070217.0049.LDC2009T13_652_7,190813
eng-NG-31-126947-12060241_13_10,eng-NG-31-126947-12060241_13_14,eng-NG-31-126947-12060241_13,Jim Bob Duggar-Michelle Duggar,t,eng-NG-31-126947-12060241_13_10-eng-NG-31-126947-12060241_13_14,248002
LTW_ENG_20080223.0068.LDC2009T13_945_8,LTW_ENG_20080223.0068.LDC2009T13_945_31,LTW_ENG_20080223.0068.LDC2009T13_945,Craig Stevens-Alexis Smith,t,LTW_ENG_20080223.0068.LDC2009T13_945_8-LTW_ENG_20080223.0068.LDC2009T13_945_31,94433
eng-NG-31-145805-10295678_82_20,eng-NG-31-145805-10295678_82_4,eng-NG-31-145805-10295678_82,Keith Urban-Nicole Kidman,t,eng-NG-31-145805-10295678_82_20-eng-NG-31-145805-10295678_82_4,70296
AFP_ENG_20080829.0027.LDC2009T13_8_20,AFP_ENG_20080829.0027.LDC2009T13_8_59,AFP_ENG_20080829.0027.LDC2009T13_8,Kirk Kerkorian-Lisa Bonder,t,AFP_ENG_20080829.0027.LDC2009T13_8_20-AFP_ENG_20080829.0027.LDC2009T13_8_59,108287
LTW_ENG_20080719.0056.LDC2009T13_845_2,LTW_ENG_20080719.0056.LDC2009T13_845_16,LTW_ENG_20080719.0056.LDC2009T13_845,Kent McCray-Susan McCray,t,LTW_ENG_20080719.0056.LDC2009T13_845_2-LTW_ENG_20080719.0056.LDC2009T13_845_16,151490
eng-WL-11-174595-12967850_509_24,eng-WL-11-174595-12967850_509_20,eng-WL-11-174595-12967850_509,Tom Mahoney-Marcia Cross,t,eng-WL-11-174595-12967850_509_24-eng-WL-11-174595-12967850_509_20,56601
eng-WL-11-174595-12967986_290_0,eng-WL-11-174595-12967986_290_13,eng-WL-11-174595-12967986_290,Victoria Beckham-David Beckham,t,eng-WL-11-174595-12967986_290_0-eng-WL-11-174595-12967986_290_13,271057
eng-WL-107-174567-12932339_42_10,eng-WL-107-174567-12932339_42_5,eng-WL-107-174567-12932339_42,Camila Alves-Matthew McConaughey,t,eng-WL-107-174567-12932339_42_10-eng-WL-107-174567-12932339_42_5,67980
AFP_ENG_20080326.0322.LDC2009T13_8_28,AFP_ENG_20080326.0322.LDC2009T13_8_25,AFP_ENG_20080326.0322.LDC2009T13_8,Carla Bruni-Nicolas Sarkozy,t,AFP_ENG_20080326.0322.LDC2009T13_8_28-AFP_ENG_20080326.0322.LDC2009T13_8_25,160099
35077@13_7,35077@13_19,35077@13,Bono-Ali Hewson,t,35077@13_7-35077@13_19,80136
APW_ENG_20071026.0075.LDC2009T13_183_37,APW_ENG_20071026.0075.LDC2009T13_183_34,APW_ENG_20071026.0075.LDC2009T13_183,Brad Pitt-Angelina Jolie,t,APW_ENG_20071026.0075.LDC2009T13_183_37-APW_ENG_20071026.0075.LDC2009T13_183_34,184729
eng-WL-107-174567-12932248_82_29,eng-WL-107-174567-12932248_82_13,eng-WL-107-174567-12932248_82,Josh Duhamel-Fergie,t,eng-WL-107-174567-12932248_82_29-eng-WL-107-174567-12932248_82_13,53446
NYT_ENG_20080507.0148.LDC2009T13_160_30,NYT_ENG_20080507.0148.LDC2009T13_160_27,NYT_ENG_20080507.0148.LDC2009T13_160,Angelina Jolie-Brad Pitt,t,NYT_ENG_20080507.0148.LDC2009T13_160_30-NYT_ENG_20080507.0148.LDC2009T13_160_27,171681
eng-WL-11-174595-12967971_1374_3,eng-WL-11-174595-12967971_1374_0,eng-WL-11-174595-12967971_1374,Tony Parker-Eva Longoria,t,eng-WL-11-174595-12967971_1374_3-eng-WL-11-174595-12967971_1374_0,171106
eng-WL-11-174594-12963452_120_3,eng-WL-11-174594-12963452_120_0,eng-WL-11-174594-12963452_120,Camila Alves-Matthew McConaughey,t,eng-WL-11-174594-12963452_120_3-eng-WL-11-174594-12963452_120_0,91780
72833@2_38,72833@2_31,72833@2,Stephen Crane-Cora Crane,t,72833@2_38-72833@2_31,201493
LTW_ENG_20080823.0070.LDC2009T13_1164_12,LTW_ENG_20080823.0070.LDC2009T13_1164_20,LTW_ENG_20080823.0070.LDC2009T13_1164,Hillary Rodham Clinton-Bill Clinton,t,LTW_ENG_20080823.0070.LDC2009T13_1164_12-LTW_ENG_20080823.0070.LDC2009T13_1164_20,134750
NYT_ENG_20080912.0042.LDC2009T13_282_9,NYT_ENG_20080912.0042.LDC2009T13_282_16,NYT_ENG_20080912.0042.LDC2009T13_282,Kevin Federline-Britney Spears,t,NYT_ENG_20080912.0042.LDC2009T13_282_9-NYT_ENG_20080912.0042.LDC2009T13_282_16,153442
eng-NG-31-100029-10769309_487_22,eng-NG-31-100029-10769309_487_19,eng-NG-31-100029-10769309_487,Kenny Chesney-Renée Zellweger,t,eng-NG-31-100029-10769309_487_22-eng-NG-31-100029-10769309_487_19,167153
NYT_ENG_20080709.0016.LDC2009T13_60_19,NYT_ENG_20080709.0016.LDC2009T13_60_5,NYT_ENG_20080709.0016.LDC2009T13_60,Ruth Greenglass-David Greenglass,t,NYT_ENG_20080709.0016.LDC2009T13_60_19-NYT_ENG_20080709.0016.LDC2009T13_60_5,232685
NYT_ENG_20070902.0173.LDC2009T13_142_19,NYT_ENG_20070902.0173.LDC2009T13_142_31,NYT_ENG_20070902.0173.LDC2009T13_142,Abraham-Sarah,t,NYT_ENG_20070902.0173.LDC2009T13_142_19-NYT_ENG_20070902.0173.LDC2009T13_142_31,114838
APW_ENG_20071209.0821.LDC2009T13_53_21,APW_ENG_20071209.0821.LDC2009T13_53_31,APW_ENG_20071209.0821.LDC2009T13_53,Hillary Rodham Clinton-Bill Clinton,t,APW_ENG_20071209.0821.LDC2009T13_53_21-APW_ENG_20071209.0821.LDC2009T13_53_31,7950
XIN_ENG_20070327.0323.LDC2009T13_304_1,XIN_ENG_20070327.0323.LDC2009T13_304_10,XIN_ENG_20070327.0323.LDC2009T13_304,Elizabeth Edwards-John Edwards,t,XIN_ENG_20070327.0323.LDC2009T13_304_1-XIN_ENG_20070327.0323.LDC2009T13_304_10,135247
APW_ENG_20081222.0540.LDC2009T13_383_12,APW_ENG_20081222.0540.LDC2009T13_383_19,APW_ENG_20081222.0540.LDC2009T13_383,Bill Clinton-Hillary Rodham Clinton,t,APW_ENG_20081222.0540.LDC2009T13_383_12-APW_ENG_20081222.0540.LDC2009T13_383_19,181970
AFP_ENG_20080515.0123.LDC2009T13_128_16,AFP_ENG_20080515.0123.LDC2009T13_128_25,AFP_ENG_20080515.0123.LDC2009T13_128,Phyllis Lyon-Del Martin,t,AFP_ENG_20080515.0123.LDC2009T13_128_16-AFP_ENG_20080515.0123.LDC2009T13_128_25,104225
eng-WL-11-174594-12963185_11_7,eng-WL-11-174594-12963185_11_32,eng-WL-11-174594-12963185_11,Melanie Brown-Stephen Belafonte,t,eng-WL-11-174594-12963185_11_7-eng-WL-11-174594-12963185_11_32,287409
NYT_ENG_20071015.0167.LDC2009T13_1222_2,NYT_ENG_20071015.0167.LDC2009T13_1222_5,NYT_ENG_20071015.0167.LDC2009T13_1222,George Burns-Gracie Allen,t,NYT_ENG_20071015.0167.LDC2009T13_1222_2-NYT_ENG_20071015.0167.LDC2009T13_1222_5,53702
NYT_ENG_20070531.0074.LDC2009T13_1009_4,NYT_ENG_20070531.0074.LDC2009T13_1009_17,NYT_ENG_20070531.0074.LDC2009T13_1009,Judd Apatow-Leslie Mann,t,NYT_ENG_20070531.0074.LDC2009T13_1009_4-NYT_ENG_20070531.0074.LDC2009T13_1009_17,212417
eng-NG-31-142156-10032391_44_6,eng-NG-31-142156-10032391_44_1,eng-NG-31-142156-10032391_44,Nicholas Tse-Cecilia Cheung,t,eng-NG-31-142156-10032391_44_6-eng-NG-31-142156-10032391_44_1,245626
eng-WL-11-174592-12943190_125_15,eng-WL-11-174592-12943190_125_20,eng-WL-11-174592-12943190_125,Ken Olin-Patricia Wettig,t,eng-WL-11-174592-12943190_125_15-eng-WL-11-174592-12943190_125_20,246780
APW_ENG_20081119.0926.LDC2009T13_26_4,APW_ENG_20081119.0926.LDC2009T13_26_7,APW_ENG_20081119.0926.LDC2009T13_26,Tom Cruise-Katie Holmes,t,APW_ENG_20081119.0926.LDC2009T13_26_4-APW_ENG_20081119.0926.LDC2009T13_26_7,103642
APW_ENG_20080822.0050.LDC2009T13_681_16,APW_ENG_20080822.0050.LDC2009T13_681_26,APW_ENG_20080822.0050.LDC2009T13_681,Hugh Hefner-Holly Madison,t,APW_ENG_20080822.0050.LDC2009T13_681_16-APW_ENG_20080822.0050.LDC2009T13_681_26,63774
15290@4_13,15290@4_32,15290@4,Bill Clinton-Hillary Rodham Clinton,t,15290@4_13-15290@4_32,235775
APW_ENG_20080707.0699.LDC2009T13_37_23,APW_ENG_20080707.0699.LDC2009T13_37_16,APW_ENG_20080707.0699.LDC2009T13_37,Nicole Kidman-Keith Urban,t,APW_ENG_20080707.0699.LDC2009T13_37_23-APW_ENG_20080707.0699.LDC2009T13_37_16,142899
APW_ENG_20070222.1481.LDC2009T13_18_7,APW_ENG_20070222.1481.LDC2009T13_18_15,APW_ENG_20070222.1481.LDC2009T13_18,Kevin Federline-Britney Spears,t,APW_ENG_20070222.1481.LDC2009T13_18_7-APW_ENG_20070222.1481.LDC2009T13_18_15,122592
APW_ENG_20080903.0144.LDC2009T13_171_37,APW_ENG_20080903.0144.LDC2009T13_171_12,APW_ENG_20080903.0144.LDC2009T13_171,Bill Clinton-Hillary Rodham Clinton,t,APW_ENG_20080903.0144.LDC2009T13_171_37-APW_ENG_20080903.0144.LDC2009T13_171_12,90914
APW_ENG_20081121.0412.LDC2009T13_11_2,APW_ENG_20081121.0412.LDC2009T13_11_0,APW_ENG_20081121.0412.LDC2009T13_11,Guy Ritchie-Madonna,t,APW_ENG_20081121.0412.LDC2009T13_11_2-APW_ENG_20081121.0412.LDC2009T13_11_0,47322
AFP_ENG_20080202.0241.LDC2009T13_8_13,AFP_ENG_20080202.0241.LDC2009T13_8_28,AFP_ENG_20080202.0241.LDC2009T13_8,Nicolas Sarkozy-Carla Bruni,t,AFP_ENG_20080202.0241.LDC2009T13_8_13-AFP_ENG_20080202.0241.LDC2009T13_8_28,87911
LTW_ENG_20080913.0030.LDC2009T13_207_26,LTW_ENG_20080913.0030.LDC2009T13_207_23,LTW_ENG_20080913.0030.LDC2009T13_207,Dale Evans-Roy Rogers,t,LTW_ENG_20080913.0030.LDC2009T13_207_26-LTW_ENG_20080913.0030.LDC2009T13_207_23,135788
LTW_ENG_20070113.0077.LDC2009T13_128_7,LTW_ENG_20070113.0077.LDC2009T13_128_14,LTW_ENG_20070113.0077.LDC2009T13_128,Tori Spelling-Dean McDermott,t,LTW_ENG_20070113.0077.LDC2009T13_128_7-LTW_ENG_20070113.0077.LDC2009T13_128_14,152022
APW_ENG_20081111.0016.LDC2009T13_10_0,APW_ENG_20081111.0016.LDC2009T13_10_17,APW_ENG_20081111.0016.LDC2009T13_10,Michelle Obama-Barack Obama,t,APW_ENG_20081111.0016.LDC2009T13_10_0-APW_ENG_20081111.0016.LDC2009T13_10_17,29284
eng-WL-11-174583-12935950_247_41,eng-WL-11-174583-12935950_247_25,eng-WL-11-174583-12935950_247,Brad Pitt-Angelina Jolie,t,eng-WL-11-174583-12935950_247_41-eng-WL-11-174583-12935950_247_25,67177
119142@0_21,119142@0_2,119142@0,Bill Clinton-Hillary Rodham Clinton,t,119142@0_21-119142@0_2,273731
XIN_ENG_20071231.0163.LDC2009T13_284_9,XIN_ENG_20071231.0163.LDC2009T13_284_6,XIN_ENG_20071231.0163.LDC2009T13_284,Deng Yingchao-Zhou Enlai,t,XIN_ENG_20071231.0163.LDC2009T13_284_9-XIN_ENG_20071231.0163.LDC2009T13_284_6,250547
LTW_ENG_20070908.0084.LDC2009T13_1_19,LTW_ENG_20070908.0084.LDC2009T13_1_8,LTW_ENG_20070908.0084.LDC2009T13_1,Adrian Pasdar-Natalie Maines,t,LTW_ENG_20070908.0084.LDC2009T13_1_19-LTW_ENG_20070908.0084.LDC2009T13_1_8,54220
eng-NG-31-149596-10592608_595_12,eng-NG-31-149596-10592608_595_2,eng-NG-31-149596-10592608_595,Rachel-Jacob,t,eng-NG-31-149596-10592608_595_12-eng-NG-31-149596-10592608_595_2,244241
APW_ENG_20080302.0071.LDC2009T13_18_22,APW_ENG_20080302.0071.LDC2009T13_18_0,APW_ENG_20080302.0071.LDC2009T13_18,Bill Clinton-Hillary Rodham Clinton,t,APW_ENG_20080302.0071.LDC2009T13_18_22-APW_ENG_20080302.0071.LDC2009T13_18_0,34467
