relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
APW_ENG_20070422.1024.LDC2009T13_148_26-APW_ENG_20070422.1024.LDC2009T13_148_23,APW_ENG_20070422.1024.LDC2009T13_148,Faith Hill-Tim McGraw,t,"{Crow,and,David,were,interviewed,before,appearing,at,a,12-campus,tour,'s,last,show,at,George,Washington,University,with,Grammy,-,winning,musicians,Tim,McGraw,"","",Faith,Hill,and,Carole,King,.}",26,2,23,2,2,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_LEMMA_L_1_R_1_[musician]_[and],""INV_LEMMA_L_2_R_2_[win musician]_[and Carole]"",""INV_LEMMA_L_2_R_3_[win musician]_[and Carole King]"",""INV_LEMMA_L_3_R_1_[- win musician]_[and]""}","{-1.42472,1.17156,1.16143,1.16143,1.16143,1.16143}"
eng-WL-11-174643-13000372_15_4-eng-WL-11-174643-13000372_15_1,eng-WL-11-174643-13000372_15,Marc Anthony-Jennifer Lopez,t,"{Now,Jennifer,Lopez,and,Marc,Anthony,have,the,first,babies,twins,.}",4,2,1,2,2,"{INV_LEMMA_SEQ_[and],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],""INV_BETW_[nsubj have nsubj]"",""INV_BETW_D_[nsubj have nsubj]"",INV_POS_SEQ_[CC]}","{1.68884,-1.149,-0.963997,0.956048,0.956048,0.821642}"
eng-WL-11-174595-12967688_475_0-eng-WL-11-174595-12967688_475_6,eng-WL-11-174595-12967688_475,Melissa Joan Hart-Mark Wilkerson,t,"{Melissa,Joan,Hart,and,her,husband,Mark,Wilkerson,unveil,the,first,official,pictures,of,their,new,baby,boy,Mason,to,People,magazine,...,and,here,they,are,:}",0,3,6,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[she],""WORD_SEQ_[and her husband]"",""LEMMA_SEQ_[and she husband]""}","{4.84841,-2.15061,2.03006,1.35843,1.33887,1.33887}"
eng-WL-11-174595-12967416_880_9-eng-WL-11-174595-12967416_880_0,eng-WL-11-174595-12967416_880,Josh Duhamel-Fergie,t,"{Fergie,also,claims,that,she,is,n't,engaged,to,Josh,Duhamel,.}",9,2,0,1,1,"{INV_LEMMA_L_1_R_1_[.]_[.],INV_NGRAM_1_[claim],INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_2_[engage to]"",""INV_NER_SEQ_[O O O O O O O O]""}","{2.46408,1.35667,1.24168,-1.149,1.08674,0.997779}"
APW_ENG_20070415.0890.LDC2009T13_14_0-APW_ENG_20070415.0890.LDC2009T13_14_7,APW_ENG_20070415.0890.LDC2009T13_14,Steffi Graf-Andre Agassi,t,"{Steffi,Graf,required,three,stitches,after,husband,Andre,Agassi,inadvertently,hit,her,in,the,face,with,his,racket,during,a,fundraiser,that,followed,the,final,of,the,U.S.,Clay,Court,Championships,on,Sunday,.}",0,2,7,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[after],NGRAM_1_[three],""NER_L_2_R_3_[DATE O]_[O O O]""}","{4.84841,-2.15061,2.03006,-0.734825,-0.524921,0.468858}"
eng-WL-11-174592-12942283_18_13-eng-WL-11-174592-12942283_18_5,eng-WL-11-174592-12942283_18,Tony Parker-Eva Longoria,t,"{``,Desperate,Housewives,'',star,Eva,Longoria,was,wiping,tears,as,her,fiance,Tony,Parker,was,handed,the,trophy,after,his,team,San,Antonio,Spurs,won,their,third,title,in,five,years,by,sweeping,Cleveland,83-82,in,Game,Four,of,the,NBA,Finals,last,night,.}",13,2,5,2,2,"{INV_NGRAM_1_[fiance],INV_NGRAM_1_[she],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{1.9203,1.24168,-1.22689,1.17156,-1.149,0.995178}"
eng-WL-11-174572-12950076_15_3-eng-WL-11-174572-12950076_15_0,eng-WL-11-174572-12950076_15,Spencer Pratt-Heidi Montag,t,"{Heidi,Montag,and,Spencer,Pratt,have,never,been,particularly,preachy,on,``,The,Hills,"","",'',but,it,seems,that,lately,the,pair,have,become,more,open,about,their,religious,beliefs,"","",discussing,them,in,detail,during,their,stint,on,``,I,'m,a,Celebrity,...,Get,Me,Out,of,Here,!,''}",3,2,0,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",""INV_BETW_D_[dep '' dep]""}","{1.68884,-1.22689,1.17156,-1.149,1.0885,-1.03721}"
NYT_ENG_20080705.0104.LDC2009T13_410_1-NYT_ENG_20080705.0104.LDC2009T13_410_25,NYT_ENG_20080705.0104.LDC2009T13_410,Christo-Jeanne-Claude,t,"{While,Christo,started,the,project,alone,in,1971,"","",by,the,time,of,its,completion,in,1995,"","",he,was,also,crediting,his,wife,"","",Jeanne-Claude,.}",1,1,25,1,1,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_3_R_1_[PERSON O O]_[O]"",NGRAM_1_[by]}","{5.01088,-2.15061,2.03006,-1.35882,-1.04654,-1.04255}"
108429@10_16-108429@10_33,108429@10,Chet Curtis-Natalie Jacobson,t,"{``,The,TV,programs,wo,n't,be,as,personality-driven,as,they,once,were,"","",'',said,Chet,Curtis,"","",who,coanchored,WCVB-TV,-LRB-,Channel,5,-RRB-,evening,news,as,a,powerhouse,team,with,Natalie,Jacobson,"","",his,former,wife,"","",and,now,works,for,NECN,.}",16,2,33,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[as],NGRAM_1_[with],NGRAM_1_[-rrb-]}","{-2.15061,2.03006,-1.35882,-1.19216,0.916859,-0.858951}"
NYT_ENG_20080505.0176.LDC2009T13_1131_0-NYT_ENG_20080505.0176.LDC2009T13_1131_13,NYT_ENG_20080505.0176.LDC2009T13_1131,Richard Loving-Mildred Loving,t,"{Richard,Loving,died,in,a,car,accident,in,1975,"","",and,his,and,Mildred,Loving,'s,son,Donald,died,in,2000,.}",0,2,13,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_1_R_3_[O]_[O O PERSON]"",""NGRAM_1_[,]"",""NGRAM_2_[he and]""}","{-2.20027,-2.15061,2.03006,-1.62449,-1.35882,1.30084}"
eng-WL-107-174567-12931953_14_19-eng-WL-107-174567-12931953_14_13,eng-WL-107-174567-12931953_14,Chris Martin-Gwyneth Paltrow,t,"{We,'ve,heard,some,rumors,and,mumbling,for,quite,some,time,now,about,Gwyneth,Paltrow,and,her,marriage,to,Chris,Martin,.}",19,2,13,2,2,"{INV_NGRAM_1_[marriage],INV_LEMMA_L_1_R_1_[about]_[.],""INV_NGRAM_2_[marriage to]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and]}","{1.87293,1.57211,1.35149,1.24168,-1.149,-0.963997}"
NYT_ENG_20080906.0015.LDC2009T13_69_10-NYT_ENG_20080906.0015.LDC2009T13_69_70,NYT_ENG_20080906.0015.LDC2009T13_69,Brad Pitt-Jennifer Aniston,t,"{Still,"","",the,star,wattage,in,attendance,remains,blinding,:,Brad,Pitt,is,on,hand,with,the,new,Coen,brothers,movie,"","",``,Burn,After,Reading,'',-,advance,word,is,that,it,'s,a,return,to,antic,Coen,snark,and,a,comedown,from,the,Olympian,heights,of,``,No,Country,for,Old,Men,'',-,and,the,gossip,columns,are,clucking,that,he,may,run,into,his,ex,"","",Jennifer,Aniston,"","",who,'s,promoting,the,romantic,comedy,``,Management,.,''}",10,2,70,2,2,"{KW_IND_[non_married],NGRAM_1_[ex],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[brother],""NGRAM_1_[,]""}","{-2.20027,2.19934,-2.15061,2.03006,-1.83191,-1.35882}"
APW_ENG_20070924.1049.LDC2009T13_928_9-APW_ENG_20070924.1049.LDC2009T13_928_31,APW_ENG_20070924.1049.LDC2009T13_928,Peter Jackson-Fran Walsh,t,"{Last,year,"","",Microsoft,reached,a,deal,in,which,Peter,Jackson,"","",the,Academy,Award-winning,director,of,the,``,Lord,of,the,Rings,'',trilogy,"","",and,his,wife,"","",screenwriter,Fran,Walsh,"","",will,help,create,two,new,video,games,"","",at,least,one,of,them,in,the,``,Halo,'',universe,.}",9,2,31,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_3_[and he wife]"",""NGRAM_1_[,]"",NGRAM_1_[he]}","{5.01088,-2.15061,2.03006,-1.68488,-1.35882,0.786486}"
AFP_ENG_20070218.0245.LDC2009T13_59_18-AFP_ENG_20070218.0245.LDC2009T13_59_3,AFP_ENG_20070218.0245.LDC2009T13_59,Pierre-Yves Hardenne-Justine Henin,t,"{She,is,now,Justine,Henin,"","",the,world,number,two,"","",because,she,has,separated,from,her,husband,Pierre-Yves,Hardenne,which,distracted,her,from,competition,entirely,during,January,.}",18,2,3,2,2,"{INV_NGRAM_1_[husband],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_2_R_1_[O DATE]_[O]"",INV_NGRAM_1_[from]}","{6.02373,-1.42472,1.24168,-1.149,0.796844,0.777667}"
eng-WL-11-174594-12963326_17_14-eng-WL-11-174594-12963326_17_45,eng-WL-11-174594-12963326_17,Jamie Lynn Spears-Casey Aldridge,t,"{fullpost,-LCB-,display,:,inline,;,-RCB-,America,'s,most,famous,pregnant,teen,"","",Jamie,Lynn,Spears,"","",who,rang,in,her,last,year,as,a,minor,on,Friday,"","",chose,to,spend,that,special,day,relaxing,with,fiancé,and,father,of,her,baby,"","",Casey,Aldridge,.}",14,3,45,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],""LEMMA_L_1_R_1_[,]_[.]"",NER_L_1_R_1_[O]_[O],NGRAM_1_[father],NGRAM_1_[fiancé]}","{-2.20027,-2.15061,-2.10794,2.03006,-1.52368,1.40777}"
eng-NG-31-142694-10079754_190_19-eng-NG-31-142694-10079754_190_27,eng-NG-31-142694-10079754_190,Bill Clinton-Hillary Rodham Clinton,t,"{Washington,'s,liberal,establishment,--,members,of,Congress,"","",fundraisers,and,commentators,--,has,coalesced,around,the,view,that,Bill,Clinton,is,soiling,his,legacy,and,wounding,Hillary,Rodham,Clinton,'s,prospects,as,he,rambles,around,the,country,in,a,peevish,"","",piece-of-my-mind,monologue,ostensibly,devoted,to,helping,her,win,the,Democratic,nomination,.}",19,2,27,3,3,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[he],""NER_SEQ_[O O O O O O]"",""NGRAM_2_[legacy and]"",""NER_L_3_R_1_[O O O]_[O]""}","{-2.15061,2.03006,0.786486,0.728228,0.52554,0.488205}"
AFP_ENG_20081105.0061.LDC2009T13_88_30-AFP_ENG_20081105.0061.LDC2009T13_88_34,AFP_ENG_20081105.0061.LDC2009T13_88,Sacha Baron Cohen-Isla Fisher,t,"{Actors,Courtney,Cox,and,David,Arquette,hosted,a,celebrity,party,late,Tuesday,to,celebrate,Obama,'s,triumph,that,included,``,Friends,'',TV,show,co-star,Jennifer,Aniston,"","",British,comedian,Sacha,Baron,Cohen,and,Isla,Fisher,.}",30,3,34,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],LEMMA_SEQ_[and],""NER_L_3_R_1_[O NATIONALITY TITLE]_[O]"",""LEMMA_L_3_R_1_[, British comedian]_[.]"",""LEMMA_L_2_R_1_[British comedian]_[.]""}","{-2.15061,1.86495,1.56175,1.537,1.48197,1.48197}"
eng-WL-110-174612-12993966_145_8-eng-WL-110-174612-12993966_145_5,eng-WL-110-174612-12993966_145,Janet Jackson-Jermaine Dupri,t,"{That,album,included,productions,from,Jermaine,Dupri,-LRB-,Janet,Jackson,"","",Usher,-RRB-,"","",Kanye,West,-LRB-,Mariah,Carey,"","",Leela,James,-RRB-,and,R.Kelly,-LRB-,Blaque,"","",Britney,Spears,-RRB-,.}",8,2,5,2,2,"{""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_LEMMA_L_1_R_1_[from]_[,]"",""INV_LEMMA_L_1_R_3_[from]_[, Usher -rrb-]"",""INV_LEMMA_L_2_R_3_[production from]_[, Usher -rrb-]"",""INV_LEMMA_L_2_R_2_[production from]_[, Usher]""}","{1.17156,-1.149,1.13183,0.678957,0.678957,0.678957}"
NYT_ENG_20070521.0188.LDC2009T13_346_31-NYT_ENG_20070521.0188.LDC2009T13_346_29,NYT_ENG_20070521.0188.LDC2009T13_346,Jeanne-Claude-Christo,t,"{Because,of,concerns,about,legal,action,by,Buchel,"","",the,museum,will,shield,all,the,huge,objects,in,the,warehouse,from,view,with,tall,plastic,tarps,"","",as,if,Christo,and,Jeanne-Claude,had,intervened,at,the,last,minute,.}",31,1,29,1,1,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
AFP_ENG_20081207.0450.LDC2009T13_295_5-AFP_ENG_20081207.0450.LDC2009T13_295_19,AFP_ENG_20081207.0450.LDC2009T13_295,Nicolas Sarkozy-Carla Bruni,t,"{Last,year,"","",French,President,Nicolas,Sarkozy,was,popular,"","",``,but,this,year,it,'s,his,wife,"","",Carla,Bruni,"","",for,which,we,have,a,lot,of,orders,from,France,"","",'',said,Barbara,.}",5,2,19,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""NER_L_3_R_1_[O NATIONALITY TITLE]_[O]"",""NGRAM_1_[,]"",""NER_L_2_R_1_[NATIONALITY TITLE]_[O]""}","{5.01088,-2.15061,1.86495,1.537,-1.35882,1.02183}"
APW_ENG_20070804.0681.LDC2009T13_406_25-APW_ENG_20070804.0681.LDC2009T13_406_1,APW_ENG_20070804.0681.LDC2009T13_406,Bill Clinton-Hillary Rodham Clinton,t,"{Sen.,Hillary,Rodham,Clinton,was,asked,what,three,lessons,she,learned,from,her,failed,health,care,reform,effort,during,the,presidency,of,her,husband,"","",Bill,Clinton,.}",25,2,1,3,3,"{INV_NGRAM_1_[husband],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_2_[of she]"",""INV_NER_L_3_R_1_[PERSON O O]_[O]""}","{6.02373,-1.42472,1.24168,-1.149,1.13873,0.993231}"
NYT_ENG_20080124.0118.LDC2009T13_16_11-NYT_ENG_20080124.0118.LDC2009T13_16_0,NYT_ENG_20080124.0118.LDC2009T13_16,David Beckham-Victoria Beckham,t,"{Victoria,Beckham,"","",perhaps,better,known,as,Posh,Spice,or,Mrs.,David,Beckham,"","",is,just,a,few,hours,from,show,time,.}",11,2,0,2,2,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",INV_NGRAM_1_[or],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{-1.42472,-1.22689,-1.19319,1.17156,-1.149,0.995178}"
APW_ENG_20081121.0488.LDC2009T13_240_16-APW_ENG_20081121.0488.LDC2009T13_240_20,APW_ENG_20081121.0488.LDC2009T13_240,Paul McCartney-Heather Mills,t,"{An,agreement,on,terms,would,avert,an,expensive,courtroom,battle,like,the,one,between,former,Beatle,Paul,McCartney,and,model,Heather,Mills,.}",16,2,20,2,2,"{""BETW_L_[prep_between prep_between]"",STARTS_WITH_CAPITAL_[True_True],""POS_SEQ_[CC NN]"",""LEMMA_L_3_R_1_[between former Beatle]_[.]"",""WORD_SEQ_[and model]"",""LEMMA_SEQ_[and model]""}","{2.54425,-2.15061,2.00568,1.47037,1.47037,1.47037}"
APW_ENG_20080426.0798.LDC2009T13_165_16-APW_ENG_20080426.0798.LDC2009T13_165_19,APW_ENG_20080426.0798.LDC2009T13_165,Ben Affleck-Jennifer Garner,t,"{The,guest,list,for,the,dinner,includes,plenty,of,VIPs,from,outside,the,Beltway,:,Actors,Ben,Affleck,"","",Jennifer,Garner,"","",John,Cusack,"","",Pamela,Anderson,and,Claire,Danes,"","",singer,Ashlee,Simpson,and,author,Salman,Rushdie,are,among,the,invitees,.}",16,2,19,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""LEMMA_L_1_R_1_[actor]_[,]"",""LEMMA_L_2_R_3_[: actor]_[, John Cusack]"",""LEMMA_L_1_R_3_[actor]_[, John Cusack]""}","{-2.15061,2.03006,-1.35882,1.22121,1.18182,1.18182}"
AFP_ENG_20081204.0047.LDC2009T13_5_8-AFP_ENG_20081204.0047.LDC2009T13_5_2,AFP_ENG_20081204.0047.LDC2009T13_5,Laura Bush-George W. Bush,t,"{US,President,George,W.,Bush,and,First,Lady,Laura,Bush,have,bought,a,home,in,one,of,the,wealthiest,areas,in,Dallas,"","",Texas,"","",where,they,will,live,after,the,White,House,"","",her,spokeswoman,said,Thursday,.}",8,2,2,3,3,"{""INV_NER_SEQ_[O ORDINAL O]"",""INV_NGRAM_2_[First Lady]"",INV_NGRAM_1_[First],INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O],INV_NGRAM_1_[Lady]}","{2.03035,1.2096,1.19457,-1.149,1.05752,0.976825}"
APW_ENG_20071107.1585.LDC2009T13_190_41-APW_ENG_20071107.1585.LDC2009T13_190_0,APW_ENG_20071107.1585.LDC2009T13_190,Kevin Federline-Britney Spears,t,"{Britney,Spears,"","",a,tabloid,fixture,thanks,to,her,public,blunders,and,turbulent,personal,life,"","",was,ordered,last,month,to,temporarily,surrender,custody,of,her,sons,"","",Sean,Preston,"","",2,"","",and,Jayden,James,"","",1,"","",to,ex-husband,Kevin,Federline,.}",41,2,0,2,2,"{INV_NGRAM_1_[ex-husband],INV_KW_IND_[non_married],INV_LEMMA_L_1_R_1_[.]_[.],INV_NGRAM_1_[custody],INV_NGRAM_1_[son],""INV_NGRAM_1_[,]""}","{3.14613,-2.56873,2.46408,2.0807,-1.94523,-1.42472}"
eng-NG-31-142885-10105306_1471_21-eng-NG-31-142885-10105306_1471_9,eng-NG-31-142885-10105306_1471,Abraham-Hagar,t,"{There,was,no,water,in,the,valley,and,although,Hagar,and,Ishmael,only,had,a,small,supply,of,water,left,"","",Abraham,left,them,there,knowing,Allah,would,take,care,of,them,.}",21,1,9,1,1,"{INV_NGRAM_1_[leave],""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{1.57148,-1.42472,-1.22689,1.17156,-1.149,0.995178}"
