relation_id,feature
NYT_ENG_20071020.0014.LDC2009T13_855_73-NYT_ENG_20071020.0014.LDC2009T13_855_19,word_between=;
LTW_ENG_20070113.0034.LDC2009T13_127_13-LTW_ENG_20070113.0034.LDC2009T13_127_4,word_between=legend
AFP_ENG_20081120.0231.LDC2009T13_182_30-AFP_ENG_20081120.0231.LDC2009T13_182_9,word_between=Yusuf
APW_ENG_20081026.0655.LDC2009T13_835_50-APW_ENG_20081026.0655.LDC2009T13_835_5,num_words_between=43
APW_ENG_20070814.0703.LDC2009T13_440_8-APW_ENG_20070814.0703.LDC2009T13_440_23,"word_between=,"
NYT_ENG_20080313.0110.LDC2009T13_924_38-NYT_ENG_20080313.0110.LDC2009T13_924_26,word_between=Dr.
NYT_ENG_20080713.0104.LDC2009T13_712_0-NYT_ENG_20080713.0104.LDC2009T13_712_20,word_between=grew
153946@38_168-153946@38_9,word_between=Mack
LTW_ENG_20081024.0083.LDC2009T13_256_64-LTW_ENG_20081024.0083.LDC2009T13_256_54,word_between=Rachael
154431@2_111-154431@2_156,word_between=Gov.
151163@31_58-151163@31_33,word_between=designer
eng-WL-110-174612-12991749_58_29-eng-WL-110-174612-12991749_58_150,word_between=Livvi
eng-WL-110-174612-12990969_87_8-eng-WL-110-174612-12990969_87_78,word_between=Blige
NYT_ENG_20070802.0200.LDC2009T13_1108_7-NYT_ENG_20070802.0200.LDC2009T13_1108_16,word_between=the
154431@2_12-154431@2_164,word_between=St.
APW_ENG_20080718.1109.LDC2009T13_376_6-APW_ENG_20080718.1109.LDC2009T13_376_23,word_between=12th
NYT_ENG_20070306.0169.LDC2009T13_1142_35-NYT_ENG_20070306.0169.LDC2009T13_1142_27,word_between=original
eng-WL-110-174612-12992150_63_55-eng-WL-110-174612-12992150_63_23,word_between=-RRB-
36745@34_83-36745@34_12,word_between=Jack
153946@38_70-153946@38_18,word_between=Moses
85993@9_7-85993@9_41,word_between=are
eng-WL-11-174595-12968570_716_64-eng-WL-11-174595-12968570_716_6,word_between=dinner
eng-WL-11-174573-12958287_422_43-eng-WL-11-174573-12958287_422_3,word_between=past
154431@2_191-154431@2_66,word_between=Stavros
eng-WL-11-174595-12968156_110_47-eng-WL-11-174595-12968156_110_8,word_between=with
eng-WL-110-174612-12990628_30_61-eng-WL-110-174612-12990628_30_34,word_between=Karlin
134252@15_18-134252@15_0,word_between=not
66919@19_34-66919@19_10,word_between=Martha
APW_ENG_20071114.1501.LDC2009T13_235_0-APW_ENG_20071114.1501.LDC2009T13_235_16,num_words_between=15
APW_ENG_20070207.1833.LDC2009T13_387_8-APW_ENG_20070207.1833.LDC2009T13_387_59,"word_between=,"
34215@40_20-34215@40_164,word_between=Zaks
135671@7_29-135671@7_6,word_between=fellow
eng-WL-109-174581-12950590_633_3-eng-WL-109-174581-12950590_633_38,word_between=themselves
34215@40_77-34215@40_135,word_between=Smith
NYT_ENG_20080524.0132.LDC2009T13_614_85-NYT_ENG_20080524.0132.LDC2009T13_614_12,word_between=row
AFP_ENG_20070830.5003.LDC2009T13_362_22-AFP_ENG_20070830.5003.LDC2009T13_362_10,word_between=seed
APW_ENG_20071220.1000.LDC2009T13_627_24-APW_ENG_20071220.1000.LDC2009T13_627_21,word_between='s
70210@0_26-70210@0_67,"word_between=,"
APW_ENG_20070815.0838.LDC2009T13_792_68-APW_ENG_20070815.0838.LDC2009T13_792_84,word_between=Carlo
eng-WL-11-174592-12942220_61_3-eng-WL-11-174592-12942220_61_22,word_between=cast
eng-WL-11-174611-12980047_76_69-eng-WL-11-174611-12980047_76_48,"word_between=,"
AFP_ENG_20070226.0580.LDC2009T13_38_0-AFP_ENG_20070226.0580.LDC2009T13_38_24,word_between=in
eng-NG-31-142893-10117250_91_60-eng-NG-31-142893-10117250_91_8,word_between=because
APW_ENG_20081130.0063.LDC2009T13_277_22-APW_ENG_20081130.0063.LDC2009T13_277_41,word_between=Isaac
APW_ENG_20070323.1401.LDC2009T13_881_5-APW_ENG_20070323.1401.LDC2009T13_881_41,word_between=Kamande
eng-WL-110-174612-12993150_42_31-eng-WL-110-174612-12993150_42_79,"word_between=,"
eng-WL-110-174612-12991898_109_72-eng-WL-110-174612-12991898_109_27,word_between=Knowles
eng-WL-110-174612-12992943_70_31-eng-WL-110-174612-12992943_70_7,word_between=Jackson
NYT_ENG_20071020.0014.LDC2009T13_855_33-NYT_ENG_20071020.0014.LDC2009T13_855_55,word_between=Patti
LTW_ENG_20080815.0052.LDC2009T13_342_21-LTW_ENG_20080815.0052.LDC2009T13_342_71,word_between=of
AFP_ENG_20070814.0355.LDC2009T13_232_38-AFP_ENG_20070814.0355.LDC2009T13_232_44,"word_between=,"
AFP_ENG_20071213.0508.LDC2009T13_8_34-AFP_ENG_20071213.0508.LDC2009T13_8_54,word_between=corruption
46815@15_34-46815@15_4,word_between=foresight
23932@35_21-23932@35_0,word_between=a
AFP_ENG_20070213.0198.LDC2009T13_112_48-AFP_ENG_20070213.0198.LDC2009T13_112_12,word_between=Ouma
140774@44_49-140774@44_63,word_between=Brooklyn
LTW_ENG_20071220.0069.LDC2009T13_1117_17-LTW_ENG_20071220.0069.LDC2009T13_1117_32,word_between=Democrat
4434@12_18-4434@12_53,word_between=Saroj
AFP_ENG_20080130.0263.LDC2009T13_537_44-AFP_ENG_20080130.0263.LDC2009T13_537_15,word_between=Sergio
87699@24_1-87699@24_29,word_between=certain
70163@13_67-70163@13_55,word_between=senator
