p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end,features,weights
f90a26f3-9024-4568-b07d-4c8df8ee53d4_2_26_27,f90a26f3-9024-4568-b07d-4c8df8ee53d4_2_24_24,f90a26f3-9024-4568-b07d-4c8df8ee53d4,2,,1,"{The,51-year-old,actor,portrays,Detective,Superintendent,Leonard,``,Nipper,'',Read,in,Brian,Helgeland,'s,drama,"","",the,policeman,who,brought,down,London,gangsters,Ronnie,and,Reggie,Kray,in,1968,.}",Reggie Kray,26,27,Ronnie,24,24,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_3_R_1_[O LOCATION O]_[O]"",""INV_W_NER_L_2_R_1_[LOCATION O]_[O]"",""INV_W_NER_L_1_R_3_[O]_[O DATE O]"",INV_LENGTHS_[2_1],""INV_W_NER_L_3_R_3_[O LOCATION O]_[O DATE O]"",""INV_W_NER_L_1_R_2_[O]_[O DATE]"",""INV_W_NER_L_2_R_3_[LOCATION O]_[O DATE O]"",""INV_W_NER_L_2_R_2_[LOCATION O]_[O DATE]"",""INV_W_NER_L_3_R_2_[O LOCATION O]_[O DATE]"",INV_W_LEMMA_L_1_R_1_[gangster]_[in],""INV_W_LEMMA_L_1_R_2_[gangster]_[in _NUMBER]"",""INV_W_LEMMA_L_3_R_1_[down London gangster]_[in]"",""INV_W_LEMMA_L_3_R_3_[down London gangster]_[in _NUMBER .]"",""INV_W_LEMMA_L_2_R_2_[London gangster]_[in _NUMBER]"",""INV_W_LEMMA_L_2_R_1_[London gangster]_[in]"",""INV_W_LEMMA_L_2_R_3_[London gangster]_[in _NUMBER .]"",""INV_W_LEMMA_L_1_R_3_[gangster]_[in _NUMBER .]"",""INV_W_LEMMA_L_3_R_2_[down London gangster]_[in _NUMBER]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.334665,0.330707,0.324957,-0.282554,0.258167,0.218971,0.212359,-0.0275861,0.0170406,-0.0142628,0.0116198,-0.00945853,-0.00222628,-2.1397e-05,0,0,0,0,0,0,0,0}"
fcae2568-f740-4a05-8e68-e82d41639ed9_2_11_11,fcae2568-f740-4a05-8e68-e82d41639ed9_2_13_14,fcae2568-f740-4a05-8e68-e82d41639ed9,2,,0.993,"{He,was,born,March,3,"","",1938,in,Ravenna,"","",to,Mike,and,Thelma,Mae,-LRB-,Wheeler,-RRB-,Barchalk,.}",Mike,11,11,Thelma Mae,13,14,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],LEMMA_SEQ_[and],WORD_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],LENGTHS_[0_2],BETW_L_[conj_and],BETW_[conj_and],BETW_D_[conj_and],""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[LOCATION O O]_[O]"",""W_NER_L_1_R_2_[O]_[O PERSON]"",""W_NER_L_1_R_3_[O]_[O PERSON O]"",""W_NER_L_2_R_2_[O O]_[O PERSON]"",""W_NER_L_2_R_3_[O O]_[O PERSON O]"",""W_NER_L_3_R_3_[LOCATION O O]_[O PERSON O]"",""W_NER_L_3_R_2_[LOCATION O O]_[O PERSON]"",W_LEMMA_L_1_R_1_[to]_[-lrb-],""W_LEMMA_L_2_R_1_[, to]_[-lrb-]"",""W_LEMMA_L_2_R_2_[, to]_[-lrb- Wheeler]"",""W_LEMMA_L_3_R_1_[Ravenna , to]_[-lrb-]"",""W_LEMMA_L_1_R_2_[to]_[-lrb- Wheeler]"",""W_LEMMA_L_3_R_2_[Ravenna , to]_[-lrb- Wheeler]"",""W_LEMMA_L_1_R_3_[to]_[-lrb- Wheeler -rrb-]"",""W_LEMMA_L_3_R_3_[Ravenna , to]_[-lrb- Wheeler -rrb-]"",""W_LEMMA_L_2_R_3_[, to]_[-lrb- Wheeler -rrb-]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,-0.369112,0.329788,0.325916,0.324841,-0.144905,-0.115987,-0.112045,-0.0906607,-0.0516081,0.0501254,-0.0329722,-0.0144258,0.00830643,-1.03702e-06,0,0,0,0,0,0,0}"
16700c2d-35d0-4ae5-af57-29a6b600906a_7_12_13,16700c2d-35d0-4ae5-af57-29a6b600906a_7_9_10,16700c2d-35d0-4ae5-af57-29a6b600906a,7,,0.993,"{In,what,has,to,be,a,cruel,irony,"","",Ben,Affleck,and,Jennifer,Garner,--,who,strove,to,make,their,marriage,tabloid-proof,--,are,in,the,midst,of,a,media,maelstrom,over,their,divor,.}",Jennifer Garner,12,13,Ben Affleck,9,10,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_LENGTHS_[3_2],INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_3_[O]_[O O O]"",""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_NER_L_3_R_3_[O O O]_[O O O]"",""INV_W_LEMMA_L_1_R_1_[,]_[--]"",""INV_W_LEMMA_L_1_R_2_[,]_[-- who]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_2_R_1_[irony ,]_[--]"",""INV_W_LEMMA_L_3_R_2_[cruel irony ,]_[-- who]"",""INV_W_LEMMA_L_2_R_3_[irony ,]_[-- who strive]"",""INV_W_LEMMA_L_3_R_3_[cruel irony ,]_[-- who strive]"",""INV_W_LEMMA_L_1_R_3_[,]_[-- who strive]"",""INV_W_LEMMA_L_3_R_1_[cruel irony ,]_[--]"",""INV_W_LEMMA_L_2_R_2_[irony ,]_[-- who]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.39776,0.334665,0.330707,0.324957,-0.282554,0.240517,-0.181359,-0.156288,-0.0907332,-0.0774206,0.055645,-0.0407692,0.020562,0.00925519,0.00138261,0,0,0,0,0,0,0}"
56045df9-7c3d-48a4-8289-7bfd42e229a6_2_10_11,56045df9-7c3d-48a4-8289-7bfd42e229a6_2_13_15,56045df9-7c3d-48a4-8289-7bfd42e229a6,2,,0.994,"{Mr.,Graybeal,was,born,in,Watauga,County,to,the,late,Roy,Graybeal,and,Sarah,Wellborn,Graybeal,.}",Roy Graybeal,10,11,Sarah Wellborn Graybeal,13,15,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],LEMMA_SEQ_[and],WORD_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],BETW_L_[conj_and],BETW_[conj_and],BETW_D_[conj_and],LENGTHS_[2_4],""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",W_LEMMA_L_1_R_1_[late]_[.],""W_LEMMA_L_2_R_1_[the late]_[.]"",""W_LEMMA_L_3_R_1_[to the late]_[.]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,0.329788,0.325916,0.324841,0.199257,-0.144905,-0.141798,-0.0855662,-0.0830712,-0.00930647}"
cc3f3d74-2e7d-422c-841c-48261fe4b2ae_1_29_29,cc3f3d74-2e7d-422c-841c-48261fe4b2ae_1_26_27,cc3f3d74-2e7d-422c-841c-48261fe4b2ae,1,,0.999,"{The,Global,Citizen,Festival,is,being,held,on,New,York,'s,Central,Park,Great,Lawn,on,Saturday,"","",with,performances,by,Pearl,Jam,"","",Beyonce,"","",Ed,Sheeran,and,Coldplay,.}",Coldplay,29,29,Ed Sheeran,26,27,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_2_R_1_[PERSON O]_[O]"",INV_LENGTHS_[1_2],""INV_W_NER_L_3_R_1_[O PERSON O]_[O]"",""INV_W_LEMMA_L_1_R_1_[,]_[.]"",""INV_W_LEMMA_L_2_R_1_[Beyonce ,]_[.]"",""INV_W_LEMMA_L_3_R_1_[, Beyonce ,]_[.]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.334665,0.330707,0.324957,-0.282554,-0.20124,-0.0594608,-0.0502434,-0.000576068,0,0}"
50bd2ac0-06a3-4ecf-b803-f043971baf28_2_22_23,50bd2ac0-06a3-4ecf-b803-f043971baf28_2_20_20,50bd2ac0-06a3-4ecf-b803-f043971baf28,2,,0.988,"{Minnie,was,born,November,12,"","",1915,"","",near,Bonetraill,"","",North,Dakota,"","",the,third,of,six,children,of,Jens,and,Bena,Lund,"","",immigrants,from,Denmark,.}",Bena Lund,22,23,Jens,20,20,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_LENGTHS_[1_0],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_3_R_2_[NUMBER O O]_[O O]"",""INV_W_NER_L_1_R_3_[O]_[O O O]"",""INV_W_LEMMA_L_1_R_1_[of]_[,]"",INV_BETW_L_[nn],INV_BETW_[nn],INV_BETW_D_[nn],""INV_W_NER_L_3_R_3_[NUMBER O O]_[O O O]"",""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_NER_L_3_R_1_[NUMBER O O]_[O]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_LEMMA_L_2_R_1_[child of]_[,]"",""INV_W_LEMMA_L_3_R_3_[six child of]_[, immigrant from]"",""INV_W_LEMMA_L_2_R_3_[child of]_[, immigrant from]"",""INV_W_LEMMA_L_1_R_2_[of]_[, immigrant]"",""INV_W_LEMMA_L_1_R_3_[of]_[, immigrant from]"",""INV_W_LEMMA_L_2_R_2_[child of]_[, immigrant]"",""INV_W_LEMMA_L_3_R_2_[six child of]_[, immigrant]"",""INV_W_LEMMA_L_3_R_1_[six child of]_[,]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,-0.378807,-0.282554,0.281711,0.240517,0.23137,-0.217539,-0.217539,-0.217539,0.195473,-0.181359,0.177028,0.055645,-0.0407692,0.00925519,-0.0012993,0,0,0,0,0,0,0}"
4defc0e3-4ab4-406e-9028-6110caa40572_28_0_0,4defc0e3-4ab4-406e-9028-6110caa40572_28_2_3,4defc0e3-4ab4-406e-9028-6110caa40572,28,,0.942,"{Jeannine,and,Matt,Wachinski,were,among,about,800,people,enjoying,the,community,pool,.}",Jeannine,0,0,Matt Wachinski,2,3,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],LEMMA_SEQ_[and],WORD_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],BETW_L_[nn],BETW_D_[nn],BETW_[nn],""W_NER_L_1_R_3_[O]_[O O O]"",""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",W_LEMMA_L_1_R_1_[.]_[be],LENGTHS_[1_2],""W_NER_L_3_R_3_[O O O]_[O O O]"",""W_NER_L_2_R_2_[O O]_[O O]"",""W_NER_L_3_R_2_[O O O]_[O O]"",""W_LEMMA_L_1_R_2_[.]_[be among]"",""W_NER_L_2_R_3_[O O]_[O O O]"",""W_NER_L_1_R_2_[O]_[O O]"",""W_LEMMA_L_3_R_1_[community pool .]_[be]"",""W_LEMMA_L_1_R_3_[.]_[be among about]"",""W_LEMMA_L_2_R_3_[pool .]_[be among about]"",""W_LEMMA_L_3_R_2_[community pool .]_[be among]"",""W_LEMMA_L_2_R_2_[pool .]_[be among]"",""W_LEMMA_L_2_R_1_[pool .]_[be]"",""W_LEMMA_L_3_R_3_[community pool .]_[be among about]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,-0.224301,-0.224301,-0.224301,0.159001,-0.144905,-0.141798,-0.133804,-0.108682,-0.0915892,0.0691858,0.0456837,-0.0240545,0.0230933,-0.00337211,0,0,0,0,0,0,0}"
eea443ed-c955-4391-bb2e-adf57edc0d13_13_5_6,eea443ed-c955-4391-bb2e-adf57edc0d13_13_3_3,eea443ed-c955-4391-bb2e-adf57edc0d13,13,,0.956,"{Property,records,indicate,Brian,and,Karen,Short,bought,the,house,in,2011,for,about,$,2,million,.}",Karen Short,5,6,Brian,3,3,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_3_[O]_[O O O]"",INV_BETW_L_[nn],INV_BETW_[nn],INV_BETW_D_[nn],""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_NER_L_3_R_3_[O O O]_[O O O]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",INV_LENGTHS_[2_1],""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_2_R_1_[record indicate]_[buy]"",""INV_W_LEMMA_L_1_R_2_[indicate]_[buy the]"",""INV_W_LEMMA_L_3_R_1_[property record indicate]_[buy]"",""INV_W_LEMMA_L_2_R_2_[record indicate]_[buy the]"",""INV_W_LEMMA_L_3_R_2_[property record indicate]_[buy the]"",""INV_W_LEMMA_L_1_R_3_[indicate]_[buy the house]"",""INV_W_LEMMA_L_3_R_3_[property record indicate]_[buy the house]"",""INV_W_LEMMA_L_2_R_3_[record indicate]_[buy the house]"",INV_W_LEMMA_L_1_R_1_[indicate]_[buy]}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,-0.282554,0.240517,-0.217539,-0.217539,-0.217539,-0.181359,-0.156288,0.055645,-0.0407692,-0.0275861,0.020562,0.00925519,0.00138261,0,0,0,0,0,0,0,0,0}"
f253ed95-f543-4339-8e2c-5b666011b7c4_141_3_5,f253ed95-f543-4339-8e2c-5b666011b7c4_141_0_1,f253ed95-f543-4339-8e2c-5b666011b7c4,141,,0.995,"{E.,Onwukeme,and,O.,U.,Nanna,"","",``,Frequency,of,anti-A,and,anti-B,hemolysins,in,Nigerians,living,in,Jos,"","",'',Nigerian,Medical,Practitioner,"","",vol,.}",O. U. Nanna,3,5,E. Onwukeme,0,1,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],""INV_W_LEMMA_L_1_R_1_[.]_[,]"",INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_3_[O]_[O O O]"",INV_LENGTHS_[2_2],""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_NER_L_3_R_3_[O O O]_[O O O]"",""INV_W_LEMMA_L_3_R_1_[, vol .]_[,]"",""INV_W_LEMMA_L_2_R_1_[vol .]_[,]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_W_LEMMA_L_3_R_2_[, vol .]_[, ``]"",""INV_W_LEMMA_L_2_R_2_[vol .]_[, ``]"",""INV_W_LEMMA_L_1_R_2_[.]_[, ``]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_3_R_3_[, vol .]_[, `` frequency]"",""INV_W_LEMMA_L_2_R_3_[vol .]_[, `` frequency]"",""INV_W_LEMMA_L_1_R_3_[.]_[, `` frequency]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.460675,0.334665,0.330707,0.324957,-0.282554,0.240517,0.219782,-0.181359,-0.156288,-0.0742546,-0.0742546,0.055645,-0.0407692,0.020562,-0.0188143,-0.0188143,-0.00996363,0.00925519,0.00138261,0,0,0}"
56e4df4a-ecb1-42f6-a2db-bfa764136367_51_12_13,56e4df4a-ecb1-42f6-a2db-bfa764136367_51_9_10,56e4df4a-ecb1-42f6-a2db-bfa764136367,51,,0.983,"{The,actors,do,well,in,their,roles,"","",with,Marianna,Palka,and,Anna,Lore,being,standouts,among,the,supporting,cast,.}",Anna Lore,12,13,Marianna Palka,9,10,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_3_[O]_[O O O]"",""INV_BETW_L_[nsubj conj_and]"",""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_NER_L_3_R_3_[O O O]_[O O O]"",INV_LENGTHS_[1_2],""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_LEMMA_L_2_R_1_[, with]_[be]"",INV_W_LEMMA_L_1_R_1_[with]_[be],""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_1_R_2_[with]_[be standout]"",""INV_W_LEMMA_L_3_R_1_[role , with]_[be]"",""INV_W_LEMMA_L_2_R_3_[, with]_[be standout among]"",""INV_W_LEMMA_L_3_R_3_[role , with]_[be standout among]"",""INV_W_LEMMA_L_1_R_3_[with]_[be standout among]"",""INV_W_LEMMA_L_2_R_2_[, with]_[be standout]"",""INV_W_LEMMA_L_3_R_2_[role , with]_[be standout]"",""INV_BETW_D_[nsubj standout conj_and]"",""INV_BETW_[nsubj standout conj_and]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,-0.282554,0.240517,0.224314,-0.181359,-0.156288,-0.0594608,0.055645,-0.0407692,-0.0256067,0.0242006,0.020562,0.00925519,0.00138261,0,0,0,0,0,0,0,0,0}"
7e4a2f48-596a-43f3-b3c0-a56e5a681bb0_1_69_70,7e4a2f48-596a-43f3-b3c0-a56e5a681bb0_1_66_67,7e4a2f48-596a-43f3-b3c0-a56e5a681bb0,1,,0.994,"{World,Snap,Today,'s,News,of,India,HomeIndiaInternationalBusinessCricketSportsEntertainmentSci-TechHealthEducationLife-StyleTravelSearch,Sports,:,Live,Scores,Upcoming,Matches,Today,'s,Cricket,Matches,Sports,:,Football,Tennis,World,Snap,>,Health,>,As,mother,"","",stress,on,immunization,for,child,'s,healthy,future,:,Madhuri,DixitAs,mother,"","",stress,on,immunization,for,child,'s,healthy,future,:,Madhuri,D,it,IANS,After,lending,support,to,`,Set,Beautiful,Free,',"","",Vivek,Oberoi,and,Amruta,Fadnavis,',initiative,for,a,rehabilitation,centre,for,girl,children,born,to,sex,workers,"","",Madhuri,Dixit,Nene,pitched,for,awareness,of,routine,immunization,as,a,UNICEF,celebrity,advocate,at,the,Radio4child,a,rds,.}",Amruta Fadnavis,69,70,Vivek Oberoi,66,67,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_LENGTHS_[3_2],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_3_[O]_[O O O]"",""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_BETW_L_[dep dep]"",""INV_W_NER_L_3_R_1_[MISC O O]_[O]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_LEMMA_L_1_R_1_[,]_[']"",""INV_W_NER_L_3_R_2_[MISC O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_3_R_3_[MISC O O]_[O O O]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_LEMMA_L_2_R_3_[' ,]_[' initiative for]"",""INV_W_LEMMA_L_2_R_1_[' ,]_[']"",""INV_BETW_D_[dep rd dep]"",""INV_W_LEMMA_L_3_R_2_[Free ' ,]_[' initiative]"",""INV_W_LEMMA_L_1_R_3_[,]_[' initiative for]"",""INV_W_LEMMA_L_3_R_1_[Free ' ,]_[']"",""INV_BETW_[dep rd dep]"",""INV_W_LEMMA_L_3_R_3_[Free ' ,]_[' initiative for]"",""INV_W_LEMMA_L_2_R_2_[' ,]_[' initiative]"",""INV_W_LEMMA_L_1_R_2_[,]_[' initiative]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.39776,-0.282554,0.240517,-0.181359,0.152329,-0.0887757,0.055645,-0.0537667,-0.0508595,-0.0407692,0.0294288,0.00925519,0,0,0,0,0,0,0,0,0,0}"
c614e673-eb88-4b45-9e7d-0c7d2315250d_9_11_12,c614e673-eb88-4b45-9e7d-0c7d2315250d_9_9_9,c614e673-eb88-4b45-9e7d-0c7d2315250d,9,,0.992,"{He,was,preceded,in,death,by,his,parents,"","",Ward,and,Vera,Downey,.}",Vera Downey,11,12,Ward,9,9,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_LEMMA_SEQ_[and],INV_WORD_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],INV_LENGTHS_[2_0],""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_LEMMA_L_3_R_1_[he parent ,]_[.]"",""INV_W_LEMMA_L_2_R_1_[parent ,]_[.]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_1_R_1_[,]_[.]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.334665,0.330707,0.324957,-0.282554,-0.260218,-0.181359,-0.0123894,-0.0107471,0.00138261,-0.000576068}"
f93e20f1-b41b-488d-95b2-c894001d64fb_5_8_8,f93e20f1-b41b-488d-95b2-c894001d64fb_5_10_11,f93e20f1-b41b-488d-95b2-c894001d64fb,5,,0.983,"{--,The,basic,facts,concerning,the,lives,of,Pierre,and,Marie,Curie,are,well,known,.}",Pierre,8,8,Marie Curie,10,11,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],WORD_SEQ_[and],LEMMA_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],BETW_L_[conj_and],BETW_[conj_and],BETW_D_[conj_and],""W_NER_L_1_R_3_[O]_[O O O]"",""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",LENGTHS_[1_2],""W_NER_L_3_R_3_[O O O]_[O O O]"",""W_NER_L_2_R_2_[O O]_[O O]"",W_LEMMA_L_1_R_1_[of]_[be],""W_NER_L_3_R_2_[O O O]_[O O]"",""W_NER_L_2_R_3_[O O]_[O O O]"",""W_NER_L_1_R_2_[O]_[O O]"",""W_LEMMA_L_2_R_2_[life of]_[be well]"",""W_LEMMA_L_3_R_1_[the life of]_[be]"",""W_LEMMA_L_1_R_2_[of]_[be well]"",""W_LEMMA_L_3_R_2_[the life of]_[be well]"",""W_LEMMA_L_2_R_1_[life of]_[be]"",""W_LEMMA_L_3_R_3_[the life of]_[be well know]"",""W_LEMMA_L_2_R_3_[life of]_[be well know]"",""W_LEMMA_L_1_R_3_[of]_[be well know]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,0.329788,0.325916,0.324841,0.159001,-0.144905,-0.141798,-0.108682,-0.0915892,0.0691858,0.0515906,0.0456837,0.0230933,-0.00337211,0,0,0,0,0,0,0,0}"
0575d5f8-4ce0-42c9-8878-eee2fc836ce8_33_6_6,0575d5f8-4ce0-42c9-8878-eee2fc836ce8_33_8_9,0575d5f8-4ce0-42c9-8878-eee2fc836ce8,33,,0.961,"{Back,in,the,present,day,"","",John,and,Samantha,Ellison,are,dealing,with,the,fallout,from,their,own,mistakes,.}",John,6,6,Samantha Ellison,8,9,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],WORD_SEQ_[and],LEMMA_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],BETW_L_[nn],BETW_D_[nn],BETW_[nn],LENGTHS_[0_3],""W_NER_L_1_R_3_[O]_[O O O]"",""W_NER_L_3_R_2_[DATE DATE O]_[O O]"",""W_NER_L_2_R_1_[DATE O]_[O]"",""W_NER_L_2_R_3_[DATE O]_[O O O]"",""W_NER_L_3_R_1_[DATE DATE O]_[O]"",""W_LEMMA_L_1_R_1_[,]_[be]"",""W_NER_L_3_R_3_[DATE DATE O]_[O O O]"",""W_NER_L_2_R_2_[DATE O]_[O O]"",""W_NER_L_1_R_2_[O]_[O O]"",""W_LEMMA_L_3_R_1_[present day ,]_[be]"",""W_LEMMA_L_2_R_2_[day ,]_[be deal]"",""W_LEMMA_L_2_R_1_[day ,]_[be]"",""W_LEMMA_L_3_R_3_[present day ,]_[be deal with]"",""W_LEMMA_L_3_R_2_[present day ,]_[be deal]"",""W_LEMMA_L_1_R_3_[,]_[be deal with]"",""W_LEMMA_L_1_R_2_[,]_[be deal]"",""W_LEMMA_L_2_R_3_[day ,]_[be deal with]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,-0.224301,-0.224301,-0.224301,-0.209288,0.159001,0.149258,-0.126122,0.114007,-0.0879408,0.0446875,0.03361,0.0168856,-0.00337211,0,0,0,0,0,0,0,0}"
