relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length
134523@38_29-134523@38_20,134523@38,Flannery O'Connor-Jean Stafford,,0.016,"{Giroux,introduced,a,long,roster,of,writers,who,would,achieve,fame,"","",publishing,first,books,by,"","",among,others,"","",Jean,Stafford,"","",Robert,Lowell,"","",Bernard,Malamud,"","",Flannery,O'Connor,"","",Randall,Jarrell,"","",Peter,Taylor,"","",William,Gaddis,"","",Jack,Kerouac,and,Susan,Sontag,.}",29,2,20,2
eng-WL-11-174585-12939754_2181_18-eng-WL-11-174585-12939754_2181_12,eng-WL-11-174585-12939754_2181,Wendy Hughes-Chris Haywood,t,0.018,"{He,employs,only,the,finest,actors,&,with,many,of,them,-LRB-,Chris,Haywood,"","",Norman,Kaye,"","",Wendy,Hughes,"","",Sheila,Florence,-RRB-,he,captures,their,most,accomplished,performance,on,film,.}",18,2,12,2
AFP_ENG_20080815.0497.LDC2009T13_7_37-AFP_ENG_20080815.0497.LDC2009T13_7_56,AFP_ENG_20080815.0497.LDC2009T13_7,Chirac-Sarkozy,,0.022,"{French,President,Nicolas,Sarkozy,hosted,his,predecessor,Jacques,Chirac,for,dinner,at,the,Riviera,villa,of,first,lady,Carla,Bruni,this,week,"","",presidential,aides,said,on,Friday.Confirming,a,report,in,Le,Parisien,newspaper,"","",they,said,Chirac,and,his,wife,Bernadette,joined,the,presidential,couple,at,the,seafront,house,on,Wednesday,"","",a,day,after,Sarkozy,'s,return,from,a,mediation,trip,to,Moscow,and,Tbilisi,.}",37,1,56,1
LTW_ENG_20080328.0083.LDC2009T13_408_11-LTW_ENG_20080328.0083.LDC2009T13_408_0,LTW_ENG_20080328.0083.LDC2009T13_408,Coppola-Faithfull,,0,"{Faithfull,"","",recently,seen,as,Austrian,empress,Maria,Theresa,in,Sofia,Coppola,'s,``,Marie,Antoinette,"","",'',seems,to,have,been,truly,tickled,to,play,a,part,so,removed,from,her,image,"","",and,she,is,earnestness,herself,as,a,woman,who,so,applies,herself,to,the,task,that,she,develops,a,bad,case,of,what,'s,described,as,``,penis,elbow,.,''}",11,1,0,1
60823@7_11-60823@7_48,60823@7,Michael Brandt-Glenn Ford,,0.002,"{Directed,by,James,Mangold,from,a,script,by,Halsted,Welles,"","",Michael,Brandt,and,Derek,Haas,"","",``,3:10,to,Yuma,"","",'',which,opens,nationwide,Friday,"","",remakes,a,1957,film,of,the,same,title,-LRB-,based,on,the,same,Elmore,Leonard,story,-RRB-,"","",which,starred,Glenn,Ford,as,the,charming,baddie,and,Van,Heflin,as,the,rancher,who,risks,everything,to,escort,him,to,a,rendezvous,with,justice,.}",11,2,48,2
1938@25_4-1938@25_2,1938@25,Norman-Beatrix,,0.052,"{Even,after,Beatrix,and,Norman,become,engaged,-LRB-,over,her,parents,',objections,-RRB-,"","",they,continue,to,address,each,other,as,Miss,Potter,and,Mr.,Warne,.}",4,1,2,1
APW_ENG_20080107.1123.LDC2009T13_112_0-APW_ENG_20080107.1123.LDC2009T13_112_20,APW_ENG_20080107.1123.LDC2009T13_112,De Savary-Guy Ritchie,,0.166,"{De,Savary,"","",whose,Skibo,Castle,in,Scotland,was,chosen,as,the,spot,of,Madonna,'s,2000,wedding,to,filmmaker,Guy,Ritchie,"","",owns,resorts,and,marinas,that,have,helped,Grenada,'s,tourism-based,economy,recover,from,devastating,hurricanes,in,2004,and,2005,.}",0,2,20,2
39608@23_36-39608@23_7,39608@23,Oprah-Hillary Clinton,,0.016,"{He,declares,"","",for,instance,"","",that,Hillary,Clinton,``,had,come,to,a,prominence,unique,in,her,time,--,settling,in,a,rarefied,place,never,populated,even,by,FDR,"","",Princess,Diana,"","",Ike,"","",Oprah,or,Eleanor,Roosevelt,as,"","",in,a,great,cacophony,"","",people,from,every,station,and,walk,of,life,-LRB-,plus,talk,show,hosts,and,The,National,Enquirer,-RRB-,fulminated,"","",debated,and,screamed,at,one,another,about,her,.,''}",36,1,7,2
9287@51_26-9287@51_17,9287@51,Calderone-Andrew Dice Clay,,0.03,"{``,Dice,Undisputed,"","",'',with,which,it,will,be,paired,"","",will,find,the,leather-clad,comic,Andrew,Dice,Clay,amid,a,crew,of,hanger-ons,that,Calderone,labeled,``,a,bunch,of,misfits,"","",losers,really,.,''}",26,1,17,3
1145@50_13-1145@50_39,1145@50,Joel Fields-Joe DeOliveira,,0.004,"{Created,by,Matthew,Carnahan,;,Carnahan,"","",Courteney,Cox,"","",David,Arquette,and,Joel,Fields,"","",executive,producers,;,Chris,Long,and,Dave,Flebotte,"","",co-executive,producers,;,Sally,Robinson,"","",consulting,producer,;,Thea,Mann,"","",producer,;,Joe,DeOliveira,"","",associate,producer,.}",13,2,39,2
eng-NG-31-110105-12031699_373_9-eng-NG-31-110105-12031699_373_22,eng-NG-31-110105-12031699_373,Angel-Buffy,,0.016,"{I,always,voted,for,Firefly,"","",Buffy,"","",and,Angel,together,-,and,wondered,why,Angel,was,n't,right,up,there,with,Buffy,.}",9,1,22,1
eng-NG-31-138320-9804395_192_24-eng-NG-31-138320-9804395_192_38,eng-NG-31-138320-9804395_192,Joseph-Ronald,,0.06,"{Edna,marries,Henry,Goss,...,...,-LSB-,4,-RSB-,Clyde,Weston,Reaveley,b.,1918,in,Wyoming,+,Evelyn,...,...,...,-LSB-,5,-RSB-,Joseph,...,...,...,-LSB-,5,-RSB-,Lawrence,...,...,...,-LSB-,5,-RSB-,Ronald}",24,1,38,1
AFP_ENG_19961231.0025.LDC2007T07_37_24-AFP_ENG_19961231.0025.LDC2007T07_37_0,AFP_ENG_19961231.0025.LDC2007T07_37,Muhammad-Lim Kit Siang,,0.002,"{Lim,Kit,Siang,"","",secretary,general,of,the,Democratic,Action,Party,-LRB-,DAP,-RRB-,"","",said,there,were,contradictions,in,the,explanations,given,by,Muhammad,"","",the,chief,minister,of,Selangor,state,"","",and,what,he,told,Prime,Minister,Mahathir,Mohamad,.}",24,1,0,3
NYT_ENG_20070716.0142.LDC2009T13_2048_18-NYT_ENG_20070716.0142.LDC2009T13_2048_0,NYT_ENG_20070716.0142.LDC2009T13_2048,Michael-Laura Houk,,0.036,"{Laura,Houk,"","",with,her,sons,Jordan,"","",9,"","",left,"","",Joey,"","",10,months,"","",and,Michael,"","",11,"","",talks,about,the,road,rage,incident,on,Interstate,4,that,resulted,in,the,death,of,her,husband,.}",18,1,0,2
AFP_ENG_20070908.0252.LDC2009T13_125_16-AFP_ENG_20070908.0252.LDC2009T13_125_10,AFP_ENG_20070908.0252.LDC2009T13_125,Misbah-ul Haq-Shoaib Malik,,0.012,"{Pakistan,181-6,in,20,overs,-LRB-,Younis,Khan,37,"","",Shoaib,Malik,64,not,out,"","",Misbah-ul,Haq,22,"","",E.,Chigumbura,3-24,-RRB-,Zimbabwe,127-8,in,20,overs,-LRB-,H.,Masakadza,41,"","",Umar,Gul,3-11,"","",Shahid,Afridi,3-17,-RRB-}",16,2,10,2
eng-NG-31-142689-10072511_68_26-eng-NG-31-142689-10072511_68_15,eng-NG-31-142689-10072511_68,Kenneth Roth-Tony Judt,,0.002,"{Featuring,interviews,with,Mearsheimer,"","",geostrategist,Lawrence,Wikerson,"","",Richard,Perle,"","",historian,and,critic,Tony,Judt,"","",John,Hagee,"","",former,Congressman,Earl,Hilliard,"","",Kenneth,Roth,of,Human,Rights,Watch,"","",Michael,Massing,and,Daniel,Levy,.}",26,2,15,2
NYT_ENG_20070406.0169.LDC2009T13_125_55-NYT_ENG_20070406.0169.LDC2009T13_125_44,NYT_ENG_20070406.0169.LDC2009T13_125,Robert B. Aderholt-Frank R. Wolf,,0.016,"{The,tone,of,the,complaints,--,particularly,Vice,President,Dick,Cheney,'s,public,characterization,of,her,visit,as,``,bad,behavior,'',--,contrasts,sharply,with,the,administration,'s,silence,about,a,similar,trip,to,Damascus,a,week,ago,by,Republican,lawmakers,"","",Reps.,Frank,R.,Wolf,of,Virginia,"","",Joe,Pitts,of,Pennsylvania,and,Robert,B.,Aderholt,of,Alabama,.}",55,3,44,3
NYT_ENG_20080724.0129.LDC2009T13_102_50-NYT_ENG_20080724.0129.LDC2009T13_102_70,NYT_ENG_20080724.0129.LDC2009T13_102,Ben Whishaw-Hayley Atwell,,0.002,"{At,Brideshead,"","",Charles,Ryder,-LRB-,Matthew,Goode,-RRB-,"","",a,young,man,with,artistic,ambition,and,no,special,pedigree,"","",falls,under,the,spell,of,an,aristocratic,Roman,Catholic,family,"","",conceiving,first,a,``,romantic,friendship,'',with,the,dissolute,"","",epicene,younger,son,"","",Sebastian,Flyte,-LRB-,Ben,Whishaw,-RRB-,"","",and,then,lusting,"","",in,his,understated,English,way,"","",after,Sebastian,'s,sister,Julia,-LRB-,Hayley,Atwell,-RRB-,.}",50,2,70,2
eng-WL-11-174595-12965787_328_11-eng-WL-11-174595-12965787_328_0,eng-WL-11-174595-12965787_328,Jon Stewart-John Kerry,f,0.212,"{John,Kerry,is,going,to,appear,on,The,Daily,Show,with,Jon,Stewart,tonight,!}",11,2,0,2
APW_ENG_20080322.0683.LDC2009T13_161_33-APW_ENG_20080322.0683.LDC2009T13_161_12,APW_ENG_20080322.0683.LDC2009T13_161,Daren Powell-Marlon Samuels,,0.004,"{West,Indies,:,Chris,Gayle,"","",Devon,Smith,"","",Ramnaresh,Sarwan,"","",Marlon,Samuels,"","",Shivnarine,Chanderpaul,"","",Dwayne,Bravo,"","",Ryan,Hinds,"","",Denesh,Ramdin,"","",Jerome,Taylor,"","",Sulieman,Benn,"","",Daren,Powell,.}",33,2,12,2
APW_ENG_20080122.0104.LDC2009T13_39_7-APW_ENG_20080122.0104.LDC2009T13_39_29,APW_ENG_20080122.0104.LDC2009T13_39,Beckinsale-Nikki Blonsky,,0,"{SAG,officials,said,Monday,that,Crowe,"","",Beckinsale,and,Travolta,will,be,joined,at,Sunday,'s,awards,ceremony,by,Debra,Messing,"","",Tommy,Lee,Jones,"","",Terrence,Howard,"","",Nikki,Blonsky,and,Holly,Hunter,.}",7,1,29,2
NYT_ENG_20081010.0081.LDC2009T13_34_11-NYT_ENG_20081010.0081.LDC2009T13_34_2,NYT_ENG_20081010.0081.LDC2009T13_34,Tim Robbins-Saoirse Ronan,,0.004,"{Starring,:,Saoirse,Ronan,"","",Harry,Treadaway,"","",Bill,Murray,"","",Tim,Robbins,"","",Martin,Landau}",11,2,2,2
XIN_ENG_20080812.0252.LDC2009T13_97_18-XIN_ENG_20080812.0252.LDC2009T13_97_22,XIN_ENG_20080812.0252.LDC2009T13_97,Yan-Daniela Hantuchova,,0.014,"{And,just,seven,and,a,half,hours,after,the,impressive,victory,"","",Zheng,came,onto,the,court,with,Yan,again,to,outclass,Daniela,Hantuchova,and,Janette,Husarova,from,Slovakia,6-1,"","",7-6,-LRB-,11-9,-RRB-,in,the,first,round,of,the,women,'s,doubles,.}",18,1,22,2
AFP_ENG_20081229.0066.LDC2009T13_312_27-AFP_ENG_20081229.0066.LDC2009T13_312_4,AFP_ENG_20081229.0066.LDC2009T13_312,Javier Solana-Rice,,0,"{To,that,end,"","",Rice,spoke,to,UN,chief,Ban,Ki-Moon,"","",Israeli,Prime,Minister,Ehud,Olmert,"","",Lebanese,Prime,Minister,Fuad,Siniora,"","",EU,special,envoy,Javier,Solana,as,well,as,her,French,"","",British,"","",Canadian,"","",Egyptian,"","",Russian,"","",Saudi,"","",Turkish,and,Israeli,counterparts,"","",said,US,State,Department,spokesman,Gordon,Duguid,.}",27,2,4,1
NYT_ENG_20080413.0123.LDC2009T13_218_26-NYT_ENG_20080413.0123.LDC2009T13_218_14,NYT_ENG_20080413.0123.LDC2009T13_218,Goold-Lady Macbeth,,0.208,"{He,even,had,notes,for,Macbeth,"","",played,by,Patrick,Stewart,"","",and,for,Lady,Macbeth,"","",Kate,Fleetwood,"","",who,happens,to,be,married,to,Goold,.}",26,1,14,2
AFP_ENG_20081116.0439.LDC2009T13_82_60-AFP_ENG_20081116.0439.LDC2009T13_82_46,AFP_ENG_20081116.0439.LDC2009T13_82,Charles-Dimbleby,,0.002,"{``,There,are,now,discreet,moves,afoot,to,redefine,the,future,role,of,the,sovereign,so,that,it,would,allow,King,Charles,III,to,speak,out,on,matters,of,national,or,international,importance,in,ways,that,at,the,moment,would,be,unthinkable,"","",'',said,broadcaster,Dimbleby,"","",a,close,friend,of,the,prince,who,wrote,an,authorised,biography,of,Charles,.}",60,1,46,1
NYT_ENG_20070917.0226.LDC2009T13_582_24-NYT_ENG_20070917.0226.LDC2009T13_582_22,NYT_ENG_20070917.0226.LDC2009T13_582,Eartha Kitt-Short,,0.176,"{``,It,combines,a,class,with,still,allowing,people,to,get,down,"","",'',said,Barbara,Cook,"","",who,"","",along,with,Short,and,Eartha,Kitt,"","",has,performed,there,most,often,.}",24,2,22,1
APW_ENG_20070222.1673.LDC2009T13_176_28-APW_ENG_20070222.1673.LDC2009T13_176_36,APW_ENG_20070222.1673.LDC2009T13_176,Gil Morgan-Allen Doyle,,0.01,"{Gary,Player,won,the,inaugural,event,in,1988,"","",and,such,top,players,as,Lee,Trevino,-LRB-,1990-91,-RRB-,"","",Hale,Irwin,-LRB-,1997,"","",2002,-RRB-,"","",Gil,Morgan,-LRB-,1998,"","",2001,-RRB-,"","",Allen,Doyle,-LRB-,1999,-RRB-,"","",Lanny,Wadkins,-LRB-,2000,-RRB-,"","",Craig,Stadler,-LRB-,2004,-RRB-,and,Roberts,-LRB-,2006,-RRB-,are,past,champions,.}",28,2,36,2
APW_ENG_20070809.1490.LDC2009T13_287_7-APW_ENG_20070809.1490.LDC2009T13_287_1,APW_ENG_20070809.1490.LDC2009T13_287,Nikolay Davydenko-Novak Djokovic,,0.022,"{Third-seeded,Novak,Djokovic,of,Serbia,and,fourth-seeded,Nikolay,Davydenko,of,Russia,also,advanced,"","",while,Radek,Stepanek,of,the,Czech,Republic,upset,12th-seeded,Tommy,Haas,of,Germany,6-3,"","",2-6,"","",6-2,.}",7,2,1,2
APW_ENG_20080114.1354.LDC2009T13_16_14-APW_ENG_20080114.1354.LDC2009T13_16_3,APW_ENG_20080114.1354.LDC2009T13_16,Martin Luther King Jr.-Hillary Rodham Clinton,,0.028,"{Barack,Obama,accuses,Hillary,Rodham,Clinton,of,making,an,``,unfortunate,'',remark,about,Martin,Luther,King,Jr.,.}",14,4,3,3
APW_ENG_20080923.1444.LDC2009T13_339_14-APW_ENG_20080923.1444.LDC2009T13_339_20,APW_ENG_20080923.1444.LDC2009T13_339,Adam Foote-Scott Hannan,f,0.022,"{Budaj,definitely,has,help,in,front,of,him,with,a,dependable,defense,that,includes,Adam,Foote,"","",Ruslan,Salei,"","",Scott,Hannan,"","",John,Michael-Liles,"","",Jordan,Leopold,and,Brett,Clark,.}",14,2,20,2
LTW_ENG_20070912.0086.LDC2009T13_131_54-LTW_ENG_20070912.0086.LDC2009T13_131_49,LTW_ENG_20070912.0086.LDC2009T13_131,Anna Khitrova-Mortensen,,0,"{``,Eastern,Promises,"","",'',a,Focus,Features,release,opening,Friday,in,L.A.,and,nationwide,on,Sept.,21,"","",explores,the,fine,line,between,fragility,and,brutality,"","",humanity,and,horror,in,the,lives,of,three,Londoners,:,Russian,mob,driver,and,sometime,``,fixer,'',Nikolai,Luzhin,-LRB-,Mortensen,-RRB-,;,London,midwife,Anna,Khitrova,-LRB-,Naomi,Watts,-RRB-,"","",who,is,striving,to,unite,an,orphaned,baby,with,her,Russian,family,;,and,mob,boss,Semyon,-LRB-,Armin,Mueller-Stahl,-RRB-,"","",who,hides,his,sex,slavery,trade,behind,the,guise,of,a,grandfatherly,restaurateur,.}",54,2,49,1
NYT_ENG_20070910.0082.LDC2009T13_4309_11-NYT_ENG_20070910.0082.LDC2009T13_4309_14,NYT_ENG_20070910.0082.LDC2009T13_4309,Crispin Glover-Alison Lohman,,0.042,"{Costarring,John,Malkovich,"","",Robin,Wright,Penn,"","",Brendan,Gleeson,"","",Crispin,Glover,"","",Alison,Lohman,"","",and,Angelina,Jolie,as,-,drum,roll,"","",please,-,Grendel,'s,mother,.}",11,2,14,2
eng-NG-31-100675-11206613_530_19-eng-NG-31-100675-11206613_530_16,eng-NG-31-100675-11206613_530,Edmond Heinz Wollmann-John,,0.008,"{06,votes,Andrew,B.,Chung,05,votes,Bill,Hughes,05,votes,Gerald,Newton,04,votes,Honest,John,02,votes,Edmond,Heinz,Wollmann,02,votes,Nightbat,of,alt.astronomy,01,votes,Joseph,``,Foamy,'',Bartlo,01,votes,Steve,Chaney,00,votes,Saucerheads,of,alt.astronomy}",19,3,16,1
