relation_id,feature
XIN_ENG_20070131.0308.LDC2009T13_89_12-XIN_ENG_20070131.0308.LDC2009T13_89_28,NGRAM_2_[talk respectively]
eng-NG-31-139298-12205374_431_2-eng-NG-31-139298-12205374_431_61,NGRAM_3_[Jay Weigel -lrb-]
APW_ENG_20080902.0075.LDC2009T13_724_0-APW_ENG_20080902.0075.LDC2009T13_724_40,NGRAM_1_[Croatia]
NYT_ENG_20071008.0278.LDC2009T13_178_3-NYT_ENG_20071008.0278.LDC2009T13_178_12,"NGRAM_3_[, Ambassador Ryan]"
NYT_ENG_20070701.0078.LDC2009T13_415_27-NYT_ENG_20070701.0078.LDC2009T13_415_17,INV_NGRAM_2_[; Barry]
AFP_ENG_20070518.0415.LDC2009T13_280_2-AFP_ENG_20070518.0415.LDC2009T13_280_25,NGRAM_2_['s top]
NYT_ENG_20080305.0108.LDC2009T13_249_42-NYT_ENG_20080305.0108.LDC2009T13_249_33,INV_BETW_L_[prep_including prep_including]
APW_ENG_20070613.0259.LDC2009T13_328_13-APW_ENG_20070613.0259.LDC2009T13_328_3,INV_NGRAM_1_[allow]
APW_ENG_20070302.1456.LDC2009T13_24_8-APW_ENG_20070302.1456.LDC2009T13_24_0,INV_W_NER_L_1_R_1_[O]_[O]
AFP_ENG_20071223.0329.LDC2009T13_479_31-AFP_ENG_20071223.0329.LDC2009T13_479_11,INV_NGRAM_3_[5 wicket in]
APW_ENG_20070806.0870.LDC2009T13_401_20-APW_ENG_20070806.0870.LDC2009T13_401_35,"NGRAM_3_[Broderick , Barbara]"
NYT_ENG_20070508.0268.LDC2009T13_119_35-NYT_ENG_20070508.0268.LDC2009T13_119_10,IS_INVERTED
LTW_ENG_20080418.0121.LDC2009T13_481_69-LTW_ENG_20080418.0121.LDC2009T13_481_0,INV_NGRAM_1_[mouthier]
NYT_ENG_20081227.0031.LDC2009T13_633_13-NYT_ENG_20081227.0031.LDC2009T13_633_18,KW_[dep . dep]_[dep . dep]
APW_ENG_20080202.0905.LDC2009T13_14_2-APW_ENG_20080202.0905.LDC2009T13_14_25,W_NER_L_3_R_2_[O ORGANIZATION O]_[O DATE]
eng-WL-11-174595-12968157_11_10-eng-WL-11-174595-12968157_11_40,W_NER_L_1_R_1_[O]_[O]
eng-WL-11-174585-12938135_352_65-eng-WL-11-174585-12938135_352_0,INV_NGRAM_1_[meaning]
eng-NG-31-141960-9983901_52_5-eng-NG-31-141960-9983901_52_0,INV_W_NER_L_2_R_2_[O O]_[O PERSON]
NYT_ENG_20070730.0301.LDC2009T13_307_56-NYT_ENG_20070730.0301.LDC2009T13_307_32,INV_NGRAM_1_[and]
APW_ENG_20080125.0669.LDC2009T13_160_33-APW_ENG_20080125.0669.LDC2009T13_160_18,"INV_NGRAM_2_[, Ravi]"
eng-WL-11-174595-12968524_2125_9-eng-WL-11-174595-12968524_2125_13,W_NER_L_3_R_1_[PERSON PERSON O]_[O]
eng-NG-31-104469-11711116_52_8-eng-NG-31-104469-11711116_52_2,INV_LENGTHS_[0_0]
NYT_ENG_20080803.0049.LDC2009T13_856_13-NYT_ENG_20080803.0049.LDC2009T13_856_29,NGRAM_3_[single to Thomas]
NYT_ENG_20081119.0146.LDC2009T13_413_17-NYT_ENG_20081119.0146.LDC2009T13_413_6,INV_NGRAM_3_[Rice and you]
48456@4_16-48456@4_42,STARTS_WITH_CAPITAL_[True_True]
APW_ENG_20080127.0087.LDC2009T13_20_3-APW_ENG_20080127.0087.LDC2009T13_20_0,INV_W_LEMMA_L_2_R_3_[vote .]_[in a racially-charged]
APW_ENG_20070528.0016.LDC2009T13_52_16-APW_ENG_20070528.0016.LDC2009T13_52_11,INV_W_NER_L_1_R_3_[TITLE]_[O O O]
NYT_ENG_20080304.0269.LDC2009T13_11_0-NYT_ENG_20080304.0269.LDC2009T13_11_26,NGRAM_2_[Larry Page]
eng-WL-110-174612-12992998_70_26-eng-WL-110-174612-12992998_70_61,NGRAM_2_[no i.d.]
eng-NG-31-142884-10103822_342_46-eng-NG-31-142884-10103822_342_14,INV_NGRAM_1_[and]
95193@11_21-95193@11_8,INV_W_LEMMA_L_3_R_1_[Los Angeles with]_[to]
NYT_ENG_20070213.0053.LDC2009T13_119_23-NYT_ENG_20070213.0053.LDC2009T13_119_38,NGRAM_1_[string]
AFP_ENG_20080229.0336.LDC2009T13_8_26-AFP_ENG_20080229.0336.LDC2009T13_8_21,INV_W_NER_L_3_R_3_[O O TITLE]_[O O O]
LTW_ENG_20080808.0017.LDC2009T13_402_2-LTW_ENG_20080808.0017.LDC2009T13_402_34,"LEMMA_SEQ_[: The Power of song '' -lrb- pg -rrb- this tribute to the legendary folk singer include archival footage , interview with seeger as well as with Bob Dylan ,]"
48898@2_0-48898@2_27,NGRAM_1_[stretch]
NYT_ENG_20080414.0172.LDC2009T13_951_8-NYT_ENG_20080414.0172.LDC2009T13_951_29,"W_LEMMA_L_1_R_3_[of]_[, a dark-haired]"
AFP_ENG_20071103.0258.LDC2009T13_390_35-AFP_ENG_20071103.0258.LDC2009T13_390_5,INV_NGRAM_2_[bundle the]
eng-WL-110-174612-12992279_82_10-eng-WL-110-174612-12992279_82_47,NGRAM_3_[& Kelly Madigan]
eng-WL-110-174612-12993604_42_12-eng-WL-110-174612-12993604_42_18,"WORD_SEQ_[, Lindsay Lohan ,]"
APW_ENG_20080115.0392.LDC2009T13_44_12-APW_ENG_20080115.0392.LDC2009T13_44_7,INV_W_NER_L_3_R_1_[O NUMBER O]_[O]
NYT_ENG_20080107.0069.LDC2009T13_118_9-NYT_ENG_20080107.0069.LDC2009T13_118_7,INV_BETW_L_[prep_about prep_about]
