relation_id,feature
AFP_ENG_20080107.0177.LDC2009T13_123_0-AFP_ENG_20080107.0177.LDC2009T13_123_34,word_between=-RRB-
AFP_ENG_20070902.5006.LDC2009T13_178_33-AFP_ENG_20070902.5006.LDC2009T13_178_21,word_between=Pathan
APW_ENG_20070114.0222.LDC2009T13_183_88-APW_ENG_20070114.0222.LDC2009T13_183_70,num_words_between=16
59970@80_2-59970@80_12,word_between=he
LTW_ENG_20081205.0009.LDC2009T13_576_23-LTW_ENG_20081205.0009.LDC2009T13_576_40,word_between=Davis
APW_ENG_20080823.0319.LDC2009T13_91_23-APW_ENG_20080823.0319.LDC2009T13_91_5,word_between=Na
390@10_76-390@10_37,"word_between=,"
NYT_ENG_20071018.0224.LDC2009T13_344_54-NYT_ENG_20071018.0224.LDC2009T13_344_44,word_between=Casey
145852@12_24-145852@12_57,word_between=though
eng-WL-110-174612-12991749_58_59-eng-WL-110-174612-12991749_58_181,word_between=Douglas
APW_ENG_20081027.1220.LDC2009T13_92_28-APW_ENG_20081027.1220.LDC2009T13_92_19,word_between=Badree
eng-WL-110-174612-12991876_12_73-eng-WL-110-174612-12991876_12_6,word_between=Knowles
XIN_ENG_20081008.0300.LDC2009T13_307_19-XIN_ENG_20081008.0300.LDC2009T13_307_55,word_between=Obodo
NYT_ENG_20070412.0158.LDC2009T13_420_31-NYT_ENG_20070412.0158.LDC2009T13_420_50,"word_between=,"
93115@58_6-93115@58_0,word_between=leaning
eng-WL-110-174612-12991749_58_26-eng-WL-110-174612-12991749_58_181,word_between=Mikkel
eng-WL-11-174643-13000313_983_42-eng-WL-11-174643-13000313_983_0,word_between=whom
XIN_ENG_20071113.0484.LDC2009T13_17_3-XIN_ENG_20071113.0484.LDC2009T13_17_13,word_between=here
eng-WL-110-174612-12993547_40_16-eng-WL-110-174612-12993547_40_75,word_between=Christina
NYT_ENG_20080120.0212.LDC2009T13_435_27-NYT_ENG_20080120.0212.LDC2009T13_435_14,word_between=who
132371@20_12-132371@20_50,word_between=helping
eng-WL-11-174611-12982274_204_28-eng-WL-11-174611-12982274_204_55,word_between=Julie
eng-WL-110-174612-12993547_40_43-eng-WL-110-174612-12993547_40_24,word_between=En
APW_ENG_20070323.0908.LDC2009T13_159_35-APW_ENG_20070323.0908.LDC2009T13_159_5,word_between=Mooney
APW_ENG_20070207.0996.LDC2009T13_311_0-APW_ENG_20070207.0996.LDC2009T13_311_70,word_between=divorcing
AFP_ENG_20070213.0198.LDC2009T13_112_39-AFP_ENG_20070213.0198.LDC2009T13_112_48,word_between=Kamande
NYT_ENG_20070509.0043.LDC2009T13_525_2-NYT_ENG_20070509.0043.LDC2009T13_525_11,num_words_between=7
APW_ENG_20080228.1521.LDC2009T13_374_7-APW_ENG_20080228.1521.LDC2009T13_374_19,potential_last_name_match
LTW_ENG_20080831.0038.LDC2009T13_37_25-LTW_ENG_20080831.0038.LDC2009T13_37_28,num_words_between=2
AFP_ENG_20070908.0186.LDC2009T13_185_34-AFP_ENG_20070908.0186.LDC2009T13_185_65,word_between=Dellape
154431@1_0-154431@1_126,word_between=Former
APW_ENG_20070909.0169.LDC2009T13_181_23-APW_ENG_20070909.0169.LDC2009T13_181_62,word_between=Giancarlo
eng-WL-11-174595-12967602_1557_7-eng-WL-11-174595-12967602_1557_10,num_words_between=1
36708@14_16-36708@14_30,word_between=wife
eng-WL-110-174612-12991250_90_33-eng-WL-110-174612-12991250_90_60,word_between=Usher
29920@10_13-29920@10_0,word_between=-LRB-
APW_ENG_20080427.0111.LDC2009T13_242_15-APW_ENG_20080427.0111.LDC2009T13_242_35,word_between=Anderson
AFP_ENG_20070929.0054.LDC2009T13_57_75-AFP_ENG_20070929.0054.LDC2009T13_57_2,word_between=70
AFP_ENG_20070809.0531.LDC2009T13_234_42-AFP_ENG_20070809.0531.LDC2009T13_234_15,word_between=McMillan
eng-WL-11-174598-12965134_1404_66-eng-WL-11-174598-12965134_1404_39,word_between=name
APW_ENG_20070114.0222.LDC2009T13_183_61-APW_ENG_20070114.0222.LDC2009T13_183_31,word_between=McCullum
eng-WL-110-174612-12993184_46_6-eng-WL-110-174612-12993184_46_39,word_between=with
XIN_ENG_20071010.0337.LDC2009T13_210_34-XIN_ENG_20071010.0337.LDC2009T13_210_10,word_between=Lameck
eng-WL-11-174595-12967783_34_0-eng-WL-11-174595-12967783_34_13,word_between=husband
AFP_ENG_20071129.0486.LDC2009T13_240_27-AFP_ENG_20071129.0486.LDC2009T13_240_12,word_between=Januarie
eng-WL-11-174595-12968521_8_3-eng-WL-11-174595-12968521_8_60,word_between=a
108429@33_2-108429@33_5,num_words_between=1
APW_ENG_20070828.0077.LDC2009T13_794_2-APW_ENG_20070828.0077.LDC2009T13_794_54,"word_between=,"
AFP_ENG_20070414.0451.LDC2009T13_73_7-AFP_ENG_20070414.0451.LDC2009T13_73_32,word_between=of
