relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
APW_ENG_20080202.0645.LDC2009T13_13_6-APW_ENG_20080202.0645.LDC2009T13_13_1,APW_ENG_20080202.0645.LDC2009T13_13,Carla Bruni-Nicolas Sarkozy,t,0.95,"{President,Nicolas,Sarkozy,married,former,model,Carla,Bruni,in,a,small,ceremony,Saturday,"","",the,couple,announced,.}",6,2,1,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[marry],INV_KW_IND_[married],INV_LENGTHS_[2_3],INV_NGRAM_1_[model]}","{-1.73068,-1.55347,1.21759,1.1142,1.03189,0.581216}"
eng-WL-11-174595-12968437_296_24-eng-WL-11-174595-12968437_296_76,eng-WL-11-174595-12968437_296,Lindsay Lohan-Kevin Federline,,0.936,"{Not,only,has,the,Canterbury,Institute,decided,to,target,Britney,Spears,in,their,Do,n't,Die,ad,campaign,-LRB-,much,like,they,did,to,Lindsay,Lohan,last,month,-RRB-,which,runs,today,in,the,New,York,Daily,News,but,the,judge,'s,ruling,in,the,ongoing,Spederline,custody,battle,-LRB-,the,most,recent,hearing,was,last,Friday,-RRB-,was,released,yesterday,and,"","",unfortch,for,her,"","",Britney,did,not,win,back,custody,from,her,ex-husband,Kevin,Federline,:}",24,2,76,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[ex-husband],NGRAM_1_[she],LENGTHS_[2_3],NGRAM_1_[custody],""BETW_D_[dep : dep]""}","{-2.82352,1.46291,0.921399,0.839476,0.714168,0.55117}"
NYT_ENG_20071219.0056.LDC2009T13_92_9-NYT_ENG_20071219.0056.LDC2009T13_92_18,NYT_ENG_20071219.0056.LDC2009T13_92,Tess Gallagher-Raymond Carver,t,0.93,"{Writer-editor,relations,appear,front,and,center,these,days,because,Tess,Gallagher,"","",the,widow,of,short,story,writer,Raymond,Carver,"","",is,suggesting,that,Carver,'s,editor,"","",Gordon,Lish,"","",bowdlerized,the,Carver,oeuvre,.}",9,2,18,2,2,"{STARTS_WITH_CAPITAL_[True_True],KW_IND_[married],NGRAM_1_[widow],""BETW_D_[appos DICT_married prep_of]"",LENGTHS_[2_2],""NGRAM_2_[widow of]""}","{-2.82352,1.03371,0.786356,0.764251,0.718423,0.550942}"
97494@14_16-97494@14_10,97494@14,Jay Inslee-Trudi Inslee,t,0.924,"{``,This,is,not,an,abortion,pill,"","",'',emphasized,Trudi,Inslee,"","",wife,of,Rep.,Jay,Inslee,"","",D-Wash.,"","",and,a,board,member,of,the,NARAL,Pro-,Choice,Washington,Foundation,.}",16,2,10,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
AFP_ENG_20081029.0818.LDC2009T13_122_21-AFP_ENG_20081029.0818.LDC2009T13_122_15,AFP_ENG_20081029.0818.LDC2009T13_122,Barack Obama-Michelle Obama,t,0.982,"{``,We,ca,n't,look,back,and,think,about,what,might,have,been,"","",'',Michelle,Obama,"","",wife,of,front-runner,Barack,Obama,"","",said,Saturday,in,the,Democratic,Weekly,Radio,Address,"","",warning,listeners,not,to,get,complacent,.}",21,2,15,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
4093@3_64-4093@3_32,4093@3,Katie Holmes-Tom Cruise,t,0.902,"{Dressed,in,a,black,suit,with,a,white,shirt,and,skinny,black,tie,"","",Beckham,did,his,best,to,remind,everyone,he,is,n't,coming,to,Hollywood,to,co-star,with,his,pal,Tom,Cruise,in,the,next,Mission,Impossible,movie,or,see,his,wife,"","",Victoria,"","",the,former,Posh,Spice,of,the,Spice,Girls,"","",shop,until,she,drops,on,Rodeo,Drive,with,Katie,Holmes,.}",64,2,32,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_NGRAM_1_[she],INV_LENGTHS_[2_2]}","{-1.73068,-1.55347,1.45089,1.1142,0.904792,0.903033}"
APW_ENG_20081204.0140.LDC2009T13_440_27-APW_ENG_20081204.0140.LDC2009T13_440_0,APW_ENG_20081204.0140.LDC2009T13_440,Dion Phaneuf-Avery,,0.92,"{Avery,'s,former,girlfriend,"","",actress,Elisha,Cuthbert,of,the,television,show,``,24,'',and,the,movie,``,Old,School,"","",'',is,dating,Calgary,defenseman,Dion,Phaneuf,.}",27,2,0,1,1,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[girlfriend],INV_W_LEMMA_L_1_R_1_[.]_[.],INV_NGRAM_1_[actress],INV_NGRAM_1_[date]}","{-1.73068,-1.55347,1.5276,0.914383,0.653409,0.567319}"
APW_ENG_20070322.0750.LDC2009T13_361_18-APW_ENG_20070322.0750.LDC2009T13_361_25,APW_ENG_20070322.0750.LDC2009T13_361,Blake Edwards-Julie Andrews,t,0.934,"{Wexler,found,success,treating,clients,who,were,well-known,in,Hollywood,"","",even,sharing,a,screenplay,credit,with,director,Blake,Edwards,"","",the,husband,of,actress,Julie,Andrews,"","",for,the,movies,``,The,Man,Who,Loved,Women,'',and,``,That,'s,Life,!,''}",18,2,25,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[husband],KW_IND_[married],""BETW_D_[appos DICT_married prep_of]"",LENGTHS_[2_2],NGRAM_1_[actress]}","{-2.82352,1.26825,1.03371,0.764251,0.718423,0.681299}"
96392@47_9-96392@47_18,96392@47,Suha Arafat-Yasser Arafat,t,0.97,"{Skeptics,about,Clinton,still,recall,her,1999,embrace,of,Suha,Arafat,"","",wife,of,the,late,Palestinian,leader,Yasser,Arafat,"","",during,a,visit,to,the,West,Bank,.}",9,2,18,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]"",LENGTHS_[2_2]}","{-2.82352,1.36327,1.03371,0.764251,0.728822,0.718423}"
116204@4_16-116204@4_3,116204@4,John Kerry-Teresa Heinz Kerry,,0.936,"{In,2004,"","",Teresa,Heinz,Kerry,"","",the,wife,of,the,Democratic,presidential,nominee,"","",Sen.,John,Kerry,"","",initially,said,she,would,not,release,her,personal,income,tax,returns,"","",also,citing,family,privacy,.}",16,2,3,3,3,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_3],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,1.03189,0.781621}"
LTW_ENG_20080826.0115.LDC2009T13_5_7-LTW_ENG_20080826.0115.LDC2009T13_5_0,LTW_ENG_20080826.0115.LDC2009T13_5,John McCain-Cindy McCain,t,0.96,"{Cindy,McCain,"","",the,wife,of,Sen.,John,McCain,"","",flew,Monday,evening,to,the,Republic,of,Georgia,"","",where,a,military,confrontation,with,Russia,over,disputed,territory,has,become,an,issue,on,the,presidential,campaign,trail,.}",7,2,0,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
46984@26_2-46984@26_21,46984@26,Kevin Bacon-Kyra Sedgwick,t,0.92,"{Contenders,:,Kevin,Bacon,:,He,'s,certainly,got,the,versatility,as,an,actor,"","",he,'s,been,married,to,actress,Kyra,Sedgwick,a,good,long,time,"","",and,like,Newman,"","",he,'s,kept,his,youthful,looks,.}",2,2,21,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],KW_IND_[married],LENGTHS_[2_2],NGRAM_1_[actress],""NGRAM_1_[,]""}","{-2.82352,1.27492,1.03371,0.718423,0.681299,-0.498875}"
AFP_ENG_20080826.0147.LDC2009T13_195_8-AFP_ENG_20080826.0147.LDC2009T13_195_27,AFP_ENG_20080826.0147.LDC2009T13_195,Michelle Obama-Barack Obama,t,0.926,"{Her,visit,to,Georgia,came,a,day,after,Michelle,Obama,"","",the,wife,of,her,husband,'s,democratic,challenger,"","",pledged,to,the,Democratic,National,Convention,that,Barack,Obama,would,be,an,``,extraordinary,president,'',.}",8,2,27,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],NGRAM_1_[husband],KW_IND_[married],NGRAM_1_[she],""NGRAM_2_[wife of]""}","{-2.82352,1.36327,1.26825,1.03371,0.921399,0.728822}"
NYT_ENG_20071123.0146.LDC2009T13_441_5-NYT_ENG_20071123.0146.LDC2009T13_441_41,NYT_ENG_20071123.0146.LDC2009T13_441,Aitzaz Ahsan-Bushra Ahsan,t,0.914,"{But,by,Friday,night,"","",Aitzaz,Ahsan,"","",the,chairman,of,the,Supreme,Court,Bar,Association,"","",a,flamboyant,member,of,Parliament,and,one,of,Musharraf,'s,most,caustic,adversaries,"","",was,still,in,prison,in,Rawalpindi,"","",his,wife,"","",Bushra,Ahsan,"","",said,.}",5,2,41,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],LENGTHS_[2_2],""NGRAM_1_[,]"",NGRAM_1_[and]}","{-2.82352,1.36327,1.03371,0.718423,-0.498875,-0.381354}"
APW_ENG_20070702.1247.LDC2009T13_36_10-APW_ENG_20070702.1247.LDC2009T13_36_1,APW_ENG_20070702.1247.LDC2009T13_36,Padma Lakshmi-Salman Rushdie,t,0.934,"{``,Salman,Rushdie,has,agreed,to,divorce,his,wife,"","",Padma,Lakshmi,"","",because,of,her,desire,to,end,their,marriage,"","",'',his,representative,"","",Jin,Auh,"","",said,in,a,statement,.}",10,2,1,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_NGRAM_1_[divorce],INV_KW_IND_[married],INV_LENGTHS_[2_2]}","{-1.73068,-1.55347,1.45089,1.19991,1.1142,0.903033}"
XIN_ENG_20080315.0217.LDC2009T13_428_5-XIN_ENG_20080315.0217.LDC2009T13_428_0,XIN_ENG_20080315.0217.LDC2009T13_428,Lien Chan-Lien Fang-yu,,0.964,"{Lien,Fang-yu,"","",wife,of,Lien,Chan,"","",only,met,Hu,Jintao,three,times,when,she,accompanied,her,husband,to,the,mainland,"","",but,she,might,have,given,one,of,the,most,accurate,descriptions,of,Hu,'s,personality,.}",5,2,0,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],""INV_NGRAM_2_[wife of]"",""INV_BETW_D_[prep_of DICT_married appos]""}","{-1.73068,-1.55347,1.45089,1.1142,0.781621,0.762401}"
APW_ENG_20080114.1133.LDC2009T13_17_0-APW_ENG_20080114.1133.LDC2009T13_17_26,APW_ENG_20080114.1133.LDC2009T13_17,Britney Spears-Kevin Federline,t,0.988,"{Britney,Spears,was,nowhere,to,be,seen,Monday,as,a,court,hearing,in,Los,Angeles,convened,in,the,pop,star,'s,child,custody,battle,with,ex-husband,Kevin,Federline,.}",0,2,26,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[ex-husband],W_LEMMA_L_1_R_1_[.]_[.],LENGTHS_[2_3],NGRAM_1_[custody],W_NER_L_1_R_1_[O]_[O]}","{-2.82352,1.46291,0.908862,0.839476,0.714168,-0.343069}"
18963@36_0-18963@36_7,18963@36,Kitty Dukakis-Michael Dukakis,t,0.99,"{Kitty,Dukakis,"","",wife,of,former,governor,Michael,Dukakis,"","",has,been,outspoken,about,her,long,battle,with,depression,during,and,after,her,husband,'s,political,career,.}",0,2,7,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],LENGTHS_[2_3],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]""}","{-2.82352,1.36327,1.03371,0.839476,0.764251,0.728822}"
APW_ENG_20080708.0887.LDC2009T13_489_29-APW_ENG_20080708.0887.LDC2009T13_489_19,APW_ENG_20080708.0887.LDC2009T13_489,Benazir Bhutto-Asif Ali Zardari,t,0.95,"{The,prime,minister,has,little,clout,and,is,seen,as,subordinate,to,the,unelected,leader,of,his,party,"","",Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,.}",29,2,19,3,3,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[widower],INV_LENGTHS_[2_3],""INV_NGRAM_2_[widower of]"",""INV_NGRAM_2_[the widower]""}","{-1.73068,-1.55347,1.43559,1.03189,0.971288,0.537779}"
APW_ENG_20070601.0128.LDC2009T13_229_2-APW_ENG_20070601.0128.LDC2009T13_229_5,APW_ENG_20070601.0128.LDC2009T13_229,Jennifer Lopez-Marc Anthony,t,0.948,"{2004,:,Jennifer,Lopez,married,Marc,Anthony,at,her,home,in,Beverly,Hills,"","",California,.}",2,2,5,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],KW_IND_[married],LENGTHS_[2_2],NER_SEQ_[O],W_NER_L_1_R_1_[O]_[O]}","{-2.82352,1.27492,1.03371,0.718423,0.428218,-0.343069}"
LTW_ENG_20070814.0129.LDC2009T13_175_4-LTW_ENG_20070814.0129.LDC2009T13_175_13,LTW_ENG_20070814.0129.LDC2009T13_175,Annette de la Renta-Oscar de la Renta,t,0.954,"{The,new,guardians,became,Annette,de,la,Renta,"","",wife,of,fashion,designer,Oscar,de,la,Renta,"","",and,JP,Morgan,Chase,bank,.}",4,4,13,4,4,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]"",""BETW_[appos wife prep_of]""}","{-2.82352,1.36327,1.03371,0.764251,0.728822,0.662793}"
eng-NG-31-141957-9978085_28_15-eng-NG-31-141957-9978085_28_5,eng-NG-31-141957-9978085_28,Al Reynolds-Star Jones,t,0.996,"{No,big,shocker,here,:,Star,Jones,has,filed,for,divorce,from,her,husband,"","",Al,Reynolds,!}",15,2,5,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[husband],INV_NGRAM_1_[divorce],INV_KW_IND_[married],INV_NGRAM_1_[she]}","{-1.73068,-1.55347,1.2435,1.19991,1.1142,0.904792}"
APW_ENG_20070910.1563.LDC2009T13_143_4-APW_ENG_20070910.1563.LDC2009T13_143_12,APW_ENG_20070910.1563.LDC2009T13_143,Annette de la Renta-Oscar de la Renta,t,0.964,"{Her,court-appointed,guardian,"","",Annette,de,la,Renta,"","",wife,of,designer,Oscar,de,la,Renta,"","",disputes,that,and,wants,a,1997,will,to,be,approved,.}",4,4,12,4,4,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]"",""BETW_[appos wife prep_of]""}","{-2.82352,1.36327,1.03371,0.764251,0.728822,0.662793}"
NYT_ENG_20070115.0031.LDC2009T13_12_0-NYT_ENG_20070115.0031.LDC2009T13_12_8,NYT_ENG_20070115.0031.LDC2009T13_12,Alice Coltrane-John Coltrane,t,0.926,"{Alice,Coltrane,"","",widow,of,the,jazz,saxophonist,John,Coltrane,and,the,pianist,in,his,later,bands,"","",who,extended,her,musical,searches,into,a,vocation,as,a,spiritual,leader,"","",died,on,Friday,in,Los,Angeles,.}",0,2,8,2,2,"{STARTS_WITH_CAPITAL_[True_True],KW_IND_[married],NGRAM_1_[widow],""BETW_D_[appos DICT_married prep_of]"",LENGTHS_[2_2],""NGRAM_2_[widow of]""}","{-2.82352,1.03371,0.786356,0.764251,0.718423,0.550942}"
APW_ENG_20080220.1520.LDC2009T13_95_8-APW_ENG_20080220.1520.LDC2009T13_95_0,APW_ENG_20080220.1520.LDC2009T13_95,John McCain-Cindy McCain,t,0.96,"{Cindy,McCain,"","",wife,of,Republican,presidential,contender,John,McCain,"","",later,sought,to,capitalize,on,the,remark,"","",saying,``,I,have,"","",and,always,will,be,"","",proud,of,my,country,.,''}",8,2,0,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
AFP_ENG_20080418.0632.LDC2009T13_9_25-AFP_ENG_20080418.0632.LDC2009T13_9_4,AFP_ENG_20080418.0632.LDC2009T13_9,Kevin Federline-Britney Spears,t,0.912,"{A,judge,Thursday,ordered,Britney,Spears,to,pay,an,extra,""350,000"",dollars,in,lawyer,fees,"","",in,her,costly,legal,battle,with,ex,-,husband,Kevin,Federline,for,custody,of,their,two,children.Judge,Reva,Goetz,',decision,comes,one,month,after,another,judge,"","",Scott,Gordon,"","",ordered,Spears,',conservatorship,run,by,her,father,to,pay,""375,000"",dollars,to,Federline,'s,lawyers,.}",25,2,4,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[husband],INV_KW_IND_[married],INV_LENGTHS_[3_2],INV_NGRAM_1_[she]}","{-1.73068,-1.55347,1.2435,1.1142,1.02046,0.904792}"
LTW_ENG_20080330.0053.LDC2009T13_11_0-LTW_ENG_20080330.0053.LDC2009T13_11_10,LTW_ENG_20080330.0053.LDC2009T13_11,Elizabeth Edwards-John Edwards,t,0.976,"{Elizabeth,Edwards,"","",the,wife,of,former,Democratic,presidential,contender,John,Edwards,"","",said,she,and,John,McCain,have,one,thing,in,common,:,``,Neither,one,of,us,would,be,covered,by,his,health,policy,"","",'',she,said,.}",0,2,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],KW_IND_[married],LENGTHS_[3_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_2_[wife of]""}","{-2.82352,1.36327,1.03371,0.977436,0.764251,0.728822}"
NYT_ENG_20070712.0210.LDC2009T13_169_0-NYT_ENG_20070712.0210.LDC2009T13_169_21,NYT_ENG_20070712.0210.LDC2009T13_169,Vivien Merchant-Dempster,,0.946,"{Vivien,Merchant,"","",wife,of,the,playwright,Harold,Pinter,"","",read,about,her,husband,'s,affair,with,Lady,Antonia,Fraser,in,Dempster,'s,column,.}",0,2,21,1,1,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wife],NGRAM_1_[husband],KW_IND_[married],NGRAM_1_[she],""NGRAM_2_[wife of]""}","{-2.82352,1.36327,1.26825,1.03371,0.921399,0.728822}"
133918@25_27-133918@25_20,133918@25,John McCain-Cindy McCain,t,0.968,"{Sen.,Joseph,R.,Biden,Jr.,"","",the,Democratic,nominee,for,vice,president,"","",visited,Saakashvili,last,month,"","",as,did,Cindy,McCain,"","",the,wife,of,Sen.,John,McCain,"","",the,presumptive,Republican,nominee,.}",27,2,20,2,2,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[wife],INV_KW_IND_[married],INV_LENGTHS_[2_2],""INV_NGRAM_2_[wife of]""}","{-1.73068,-1.55347,1.45089,1.1142,0.903033,0.781621}"
AFP_ENG_20080806.0130.LDC2009T13_240_15-AFP_ENG_20080806.0130.LDC2009T13_240_6,AFP_ENG_20080806.0130.LDC2009T13_240,Benazir Bhutto-Asif Ali Zardari,t,0.972,"{The,announcement,came,as,coalition,leaders,Asif,Ali,Zardari,"","",widower,of,slain,former,premier,Benazir,Bhutto,"","",and,ex-prime,minister,Nawaz,Sharif,"","",met,for,the,second,successive,day,at,Zardari,'s,house,in,Islamabad,on,Wednesday,.}",15,2,6,3,3,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[widower],INV_LENGTHS_[2_3],""INV_NGRAM_2_[widower of]"",""INV_BETW_L_[prep_of appos]""}","{-1.73068,-1.55347,1.43559,1.03189,0.971288,0.580557}"
APW_ENG_20080402.0512.LDC2009T13_92_29-APW_ENG_20080402.0512.LDC2009T13_92_19,APW_ENG_20080402.0512.LDC2009T13_92,Benazir Bhutto-Asif Ali Zardari,t,0.994,"{Among,those,attending,were,Nawaz,Sharif,"","",who,was,ousted,as,premier,in,Musharraf,'s,1999,coup,"","",and,Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,.}",29,2,19,3,3,"{IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[widower],INV_LENGTHS_[2_3],""INV_NGRAM_2_[widower of]"",""INV_BETW_L_[prep_of appos]""}","{-1.73068,-1.55347,1.43559,1.03189,0.971288,0.580557}"
