p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end
b2f29e01-aa01-4c50-a338-89ce730ef6e1_84_4_6,b2f29e01-aa01-4c50-a338-89ce730ef6e1_84_1_2,b2f29e01-aa01-4c50-a338-89ce730ef6e1,84,,0.991,"{Neo-conservatives,Norman,Podhoretz,and,Richard,John,Neuhaus,reacted,very,negatively,to,an,article,by,a,paleo-conservative,concerned,that,such,immigration,would,eventually,lead,to,the,United,States,being,dominated,by,such,immigrants,-LRB-,see,Judis,1990,"","",p.,33,-RRB-,.}",Richard John Neuhaus,4,6,Norman Podhoretz,1,2
b0e43f70-484f-458e-94db-208c00cbcfea_59_11_11,b0e43f70-484f-458e-94db-208c00cbcfea_59_9_9,b0e43f70-484f-458e-94db-208c00cbcfea,59,,0.983,"{The,Washington,Post,delves,into,the,bad,relationship,between,Boehner,and,Cruz,.}",Cruz,11,11,Boehner,9,9
f2c64b73-47dd-4612-a2e3-d796d8ec24ce_6_14_15,f2c64b73-47dd-4612-a2e3-d796d8ec24ce_6_12_12,f2c64b73-47dd-4612-a2e3-d796d8ec24ce,6,,0.994,"{Among,the,entrepreneurs,featured,in,the,series,are,second,career,husband-and-wife,team,Claudia,and,Ken,Raessler,"","",owners,of,Saco,River,Dye,House,in,Biddeford,"","",Maine,--,an,organically,certified,yarn,dying,operation,that,has,been,offering,contract-dyeing,services,for,a,range,of,yarn,and,textile,customers,``,Ken,and,I,raised,our,children,"","",and,had,full,careers,as,a,physician,and,lawyer,"","",so,some,folks,may,have,expected,us,to,slow,down,"","",but,we,saw,an,opportunity,to,start,something,new,and,exciting,that,would,create,jobs,in,our,community,.}",Ken Raessler,14,15,Claudia,12,12
2b1f7e7b-5a3d-44dd-a921-7e091b6bc7a5_77_24_24,2b1f7e7b-5a3d-44dd-a921-7e091b6bc7a5_77_26_26,2b1f7e7b-5a3d-44dd-a921-7e091b6bc7a5,77,,0.995,"{Dennis,would,be,arriving,at,Baggage,Claim,soon,As,I,walked,toward,Baggage,Claim,Area,#,2,"","",I,noticed,the,sisters,"","",`,Nellie,and,Allie,',were,already,there,.}",Nellie,24,24,Allie,26,26
ed3a2b4c-0ec5-4af9-ab1d-9b5144af1f3f_43_10_10,ed3a2b4c-0ec5-4af9-ab1d-9b5144af1f3f_43_8_8,ed3a2b4c-0ec5-4af9-ab1d-9b5144af1f3f,43,,0.983,"{After,climbing,over,the,fence,"","",Madison,"","",Nick,and,Alicia,make,their,way,through,the,maze,that,is,their,neighbors,',backyard,-LRB-,which,is,filled,with,various,garden,fences,-RRB-,"","",and,into,the,house,.}",Alicia,10,10,Nick,8,8
54cc5e41-6ecd-4646-a3a1-0559e9ed3cad_65_15_15,54cc5e41-6ecd-4646-a3a1-0559e9ed3cad_65_13_13,54cc5e41-6ecd-4646-a3a1-0559e9ed3cad,65,,0.995,"{He,holds,them,at,gun,point,"","",planning,to,use,them,to,get,Richie,and,Santanico,--,when,he,'s,attacked,by,Rafael,.}",Santanico,15,15,Richie,13,13
8eeb608d-2938-482d-88a5-51d18ca6c2d3_2_10_10,8eeb608d-2938-482d-88a5-51d18ca6c2d3_2_8_8,8eeb608d-2938-482d-88a5-51d18ca6c2d3,2,,0.986,"{The,result,is,a,viral,video,that,shows,Jasmine,and,Leonardo,"","",a,retired,US,Marine,"","",getting,down,on,the,dance,floor,to,songs,like,Ca,n't,Touch,This,"","",Gangnam,Style,and,the,Tootsie,Roll,How,adorable,!!!}",Leonardo,10,10,Jasmine,8,8
57902d6e-e20a-4eaa-a92b-e2c5b598bb38_10_6_7,57902d6e-e20a-4eaa-a92b-e2c5b598bb38_10_3_4,57902d6e-e20a-4eaa-a92b-e2c5b598bb38,10,,0.993,"{___,8:30,a.m.,Raeann,Meier,and,Mary,Darnell,are,among,the,lucky,ones,to,land,tickets,for,Thursday,'s,papal,mass,at,the,Basilica,of,the,National,Shrine,of,the,Immaculate,Conception,Meier,"","",who,'s,from,Round,Hill,"","",Virginia,"","",won,a,pair,of,tickets,in,her,church,lottery,and,is,bringing,fellow,parishioner,Darnell,___,7:50,a.m.,.}",Mary Darnell,6,7,Raeann Meier,3,4
d6d63d59-40dc-46be-98bb-0fb0bb4c720d_73_14_15,d6d63d59-40dc-46be-98bb-0fb0bb4c720d_73_17_18,d6d63d59-40dc-46be-98bb-0fb0bb4c720d,73,,0.945,"{The,Party,at,the,Palace,concert,attracted,200,million,viewers,worldwide,and,performers,included,Paul,McCartney,"","",Shirley,Bassey,"","",Tom,Jones,and,Elton,John,.}",Paul McCartney,14,15,Shirley Bassey,17,18
3f80a405-0adc-419c-ac2c-813191f6c1c8_7_4_5,3f80a405-0adc-419c-ac2c-813191f6c1c8_7_7_8,3f80a405-0adc-419c-ac2c-813191f6c1c8,7,,0.994,"{Houston,"","",co-author,with,Michael,Floyd,and,Susan,Carnicero,of,the,best-seller,``,Spy,the,Lie,'',and,now,the,new,book,"","",``,Get,the,Truth,:,Former,CIA,Officers,Teach,You,How,to,Persuade,Anyone,to,Tell,All,'',-LRB-,St.,Martin,'s,Press,-RRB-,"","",is,n't,suggesting,that,you,treat,your,nearest,and,dearest,like,threats,to,national,security,.}",Michael Floyd,4,5,Susan Carnicero,7,8
1eb24364-3568-4143-8aa1-1f2c3cbd70ba_29_9_10,1eb24364-3568-4143-8aa1-1f2c3cbd70ba_29_6_7,1eb24364-3568-4143-8aa1-1f2c3cbd70ba,29,,0.992,"{She,dated,several,leading,hunks,including,Jake,Gyllenhaal,and,Adam,Brody,before,meeting,Garrett,on,the,set,of,On,The,Road,.}",Adam Brody,9,10,Jake Gyllenhaal,6,7
986ad771-7660-481c-b847-6288f9ed6a18_196_24_25,986ad771-7660-481c-b847-6288f9ed6a18_196_21_22,986ad771-7660-481c-b847-6288f9ed6a18,196,,0.99,"{Mandatory,evacuation,orders,remain,in,place,for,those,in,Twin,Lakes,"","",Hidden,Valley,Lake,"","",Middletown,"","",Aetna,Springs,"","",Seigler,Canyon,and,Loch,Lommond,.}",Loch Lommond,24,25,Seigler Canyon,21,22
b118e088-7e67-40e3-9e18-16032f0bdaff_16_2_2,b118e088-7e67-40e3-9e18-16032f0bdaff_16_4_4,b118e088-7e67-40e3-9e18-16032f0bdaff,16,,0.98,"{``,And,Jane,and,Kathy,are,n't,going,to,get,on,...,and,it,'s,all,quite,sparky,.,''}",Jane,2,2,Kathy,4,4
70f0bbee-835d-4ae6-a7ab-c1587f3f18cc_3_11_12,70f0bbee-835d-4ae6-a7ab-c1587f3f18cc_3_14_15,70f0bbee-835d-4ae6-a7ab-c1587f3f18cc,3,,0.99,"{The,co-main,event,will,be,followed,by,a,junior-lightweight,bout,between,Javier,Fortuna,and,Carlos,Velasquez,.}",Javier Fortuna,11,12,Carlos Velasquez,14,15
e2be6901-eb5a-476e-9c4a-3b51f9f611f0_19_15_15,e2be6901-eb5a-476e-9c4a-3b51f9f611f0_19_17_17,e2be6901-eb5a-476e-9c4a-3b51f9f611f0,19,,0.998,"{And,when,they,were,first,married,"","",in,the,depths,of,the,Great,Depression,"","",Martha,and,Bob,lived,in,a,tiny,apartment,in,Minneapolis,"","",frequently,ate,canned,beans,for,dinner,"","",and,on,weekends,Martha,would,cook,up,a,big,pot,of,spaghetti,to,feed,Bob,'s,fraternity,brothers,from,the,University,of,Minnesota,"","",who,would,contribute,to,the,cost,of,the,meal,.}",Martha,15,15,Bob,17,17
315864d6-6976-489b-8b2a-0bb7b31603d0_26_3_4,315864d6-6976-489b-8b2a-0bb7b31603d0_26_6_7,315864d6-6976-489b-8b2a-0bb7b31603d0,26,,0.902,"{Support,cast,includes,Maestro,Harrell,"","",Grace,Phipps,and,Spencer,Breslin,.}",Maestro Harrell,3,4,Grace Phipps,6,7
042d3658-84fd-45eb-8910-7c57b9245a2a_6_5_6,042d3658-84fd-45eb-8910-7c57b9245a2a_6_3_3,042d3658-84fd-45eb-8910-7c57b9245a2a,6,,1,"{In,2011,"","",Toni,and,Harold,Henthorn,were,at,their,Grand,Lake,cabin,when,a,beam,hit,Toni,Henthorn,on,the,head,"","",fracturing,her,vertebrae,"","",prosecutor,Suneeta,Hazra,told,jurors,in,opening,statements,.}",Harold Henthorn,5,6,Toni,3,3
80cfba7e-cf28-487f-ac70-652c6ad8b264_35_7_8,80cfba7e-cf28-487f-ac70-652c6ad8b264_35_10_11,80cfba7e-cf28-487f-ac70-652c6ad8b264,35,,0.993,"{Her,first,book,"","",Lucky,Stars,:,Janet,Gaynor,and,Charles,Farrell,"","",will,be,published,December,2009,.}",Janet Gaynor,7,8,Charles Farrell,10,11
85fc1acd-a82d-4c49-831f-595b8141467c_17_7_7,85fc1acd-a82d-4c49-831f-595b8141467c_17_9_9,85fc1acd-a82d-4c49-831f-595b8141467c,17,,0.989,"{Lucille,and,their,children,"","",Tim,"","",Vin,and,Lal,"","",survive,him,.}",Vin,7,7,Lal,9,9
1199efaf-86e4-4729-bc3d-faefff6d5e13_8_2_2,1199efaf-86e4-4729-bc3d-faefff6d5e13_8_0_0,1199efaf-86e4-4729-bc3d-faefff6d5e13,8,,1,"{Lucero,and,Roberts,met,in,2010,in,Modesto,"","",and,Lucero,eventually,moved,to,Sonora,.}",Roberts,2,2,Lucero,0,0
7eb617b3-bb46-4606-a359-d8d168f04b01_37_9_10,7eb617b3-bb46-4606-a359-d8d168f04b01_37_12_13,7eb617b3-bb46-4606-a359-d8d168f04b01,37,,0.989,"{All,eyes,"","",however,"","",followed,the,distance,between,Mark,Schulte,and,Jeremiah,Hurst,.}",Mark Schulte,9,10,Jeremiah Hurst,12,13
2c6c81f5-2ac4-4184-8cc7-4e272c03b6ae_14_6_7,2c6c81f5-2ac4-4184-8cc7-4e272c03b6ae_14_9_10,2c6c81f5-2ac4-4184-8cc7-4e272c03b6ae,14,,0.994,"{Debretsion,Gebremichael,-LRB-,PhD,-RRB-,"","",Azeb,Mesfin,and,Fetlework,Gebregziaber,raked,in,the,top,three,votes,.}",Azeb Mesfin,6,7,Fetlework Gebregziaber,9,10
3aa2e4e3-08ce-466b-9410-cb9315e6c761_20_14_14,3aa2e4e3-08ce-466b-9410-cb9315e6c761_20_12_12,3aa2e4e3-08ce-466b-9410-cb9315e6c761,20,,0.993,"{Beverley,is,survived,by,her,sisters,and,her,three,children,Vince,"","",Vicky,and,Babette,.}",Babette,14,14,Vicky,12,12
e56bea1c-c84d-42a4-8743-aca7b0bfa4e4_11_5_5,e56bea1c-c84d-42a4-8743-aca7b0bfa4e4_11_3_3,e56bea1c-c84d-42a4-8743-aca7b0bfa4e4,11,,0.99,"{Friends,since,childhood,Jess,and,Milly,ca,n't,remember,a,time,they,did,n't,share,everything,--,secrets,"","",clothes,"","",even,boyfriends,.}",Milly,5,5,Jess,3,3
61bb65bf-a868-481f-8a20-e129f80f735d_16_34_35,61bb65bf-a868-481f-8a20-e129f80f735d_16_32_32,61bb65bf-a868-481f-8a20-e129f80f735d,16,,0.986,"{He,is,a,genetics,professor,in,India,who,research,in,evolved,humans,Angela,Petrelli,The,last,surviving,founder,of,The,Company,and,became,the,leader,of,the,organization,"","",the,mother,of,Peter,and,Nathan,Petrelli,.}",Nathan Petrelli,34,35,Peter,32,32
21afce7c-f437-4e01-ba6d-46277b803a83_9_1_1,21afce7c-f437-4e01-ba6d-46277b803a83_9_3_3,21afce7c-f437-4e01-ba6d-46277b803a83,9,,0.975,"{amazon,Hayden,and,Jasper,'s,journey,continues,as,they,help,Dodge,search,for,the,stone,that,will,give,him,his,wings,.}",Hayden,1,1,Jasper,3,3
917a3c81-6935-4aab-9c13-2e61b2802009_5_17_17,917a3c81-6935-4aab-9c13-2e61b2802009_5_19_19,917a3c81-6935-4aab-9c13-2e61b2802009,5,,0.986,"{We,will,continue,to,be,supportive,of,each,other,in,every,way,possible,moving,forward,"","",'',Hamm,and,Westfeldt,said,.}",Hamm,17,17,Westfeldt,19,19
6e1549d1-26cb-40d9-8a1c-c095fb4884ce_10_3_3,6e1549d1-26cb-40d9-8a1c-c095fb4884ce_10_1_1,6e1549d1-26cb-40d9-8a1c-c095fb4884ce,10,,0.992,"{Both,Karlberg,and,Kaymer,came,away,with,pars,from,the,opening,playoff,hole,"","",also,at,the,18th,.}",Kaymer,3,3,Karlberg,1,1
df9d26aa-a0c3-4dfa-bbe2-d3fed4b61b16_72_9_10,df9d26aa-a0c3-4dfa-bbe2-d3fed4b61b16_72_12_13,df9d26aa-a0c3-4dfa-bbe2-d3fed4b61b16,72,,0.971,"{Musical,interludes,during,the,ceremony,were,provided,by,clarinetist,John,Bachalis,"","",Jennine,Babo,and,the,Stars,of,Tomorrow,"","",the,Woodside,Singers,"","",David,Bywater,and,Mhan,Rishi,.}",John Bachalis,9,10,Jennine Babo,12,13
68fd0b5c-f01a-40bb-883a-80ccdf119bd8_4_23_23,68fd0b5c-f01a-40bb-883a-80ccdf119bd8_4_21_21,68fd0b5c-f01a-40bb-883a-80ccdf119bd8,4,,0.958,"{Davis,"","",of,the,Rowan,County,Clerk,'s,office,"","",has,refused,to,issue,any,marriage,licenses,since,the,decision,--,Obergefell,v.,Hodges,--,came,down,.}",Hodges,23,23,Obergefell,21,21
e769be19-3ea3-4fda-98bb-19e69ebe2e6c_3_2_2,e769be19-3ea3-4fda-98bb-19e69ebe2e6c_3_0_0,e769be19-3ea3-4fda-98bb-19e69ebe2e6c,3,,0.991,"{David,and,Harper,-LRB-,image,:,Instagram,-RRB-,.}",Harper,2,2,David,0,0
6c85139d-13cb-4383-af99-b2b3966f5e49_1_22_23,6c85139d-13cb-4383-af99-b2b3966f5e49_1_19_20,6c85139d-13cb-4383-af99-b2b3966f5e49,1,,1,"{CinenewsWhy,Kamal,did,n't,cast,Manisha,Koirala,in,Thoongaa,Vana!Sep,21,"","",2015,0,Share,on,FacebookTweet,on,Twitterkamal-haasan-manisha-koira,Kamal,Haasan,and,Manisha,Koirala,have,acted,together,in,films,like,Indian,"","",Alavandhan,and,Mumbai,Express,.}",Manisha Koirala,22,23,Kamal Haasan,19,20
db23b42c-9650-4e0f-af04-fb366c310408_1_38_39,db23b42c-9650-4e0f-af04-fb366c310408_1_41_42,db23b42c-9650-4e0f-af04-fb366c310408,1,,1,"{The,team,of,Sajid,Khan,'s,``,Housefull,3,'',is,shooting,in,London,"","",U.K.,"","",at,the,moment,and,so,is,the,team,of,Karan,Johar,'s,``,Ae,Dil,Hai,Mushkil,"","",'',including,actors,Ranbir,Kapoor,and,Anushka,Sharma,.}",Ranbir Kapoor,38,39,Anushka Sharma,41,42
6eb2abc4-2915-4e85-8ece-775572e97339_6_23_23,6eb2abc4-2915-4e85-8ece-775572e97339_6_25_25,6eb2abc4-2915-4e85-8ece-775572e97339,6,,0.997,"{The,feature,was,shot,around,in,locations,around,Kansas,City,and,Peculiar,"","",Mo,Though,working,with,a,``,shoestring,budget,"","",'',Delmonte,and,Lincoln,researched,the,period,extensively,and,the,movie,employs,authentic,World,War,II,vehicles,"","",uniforms,"","",weaponry,and,clothing,.}",Delmonte,23,23,Lincoln,25,25
ce014d5b-114c-4bab-8678-9f6361bbaa7c_49_22_24,ce014d5b-114c-4bab-8678-9f6361bbaa7c_49_19_20,ce014d5b-114c-4bab-8678-9f6361bbaa7c,49,,0.999,"{Duane,was,born,Oct.,13,"","",1929,"","",at,home,on,the,TK,Wilson,family,farm,"","",to,parents,Gordon,L.,and,Florence,M.,Wilson,.}",Florence M. Wilson,22,24,Gordon L.,19,20
105357af-4913-40db-9a4f-43352f580933_2_2_3,105357af-4913-40db-9a4f-43352f580933_2_5_6,105357af-4913-40db-9a4f-43352f580933,2,,0.995,"{Former,housewife,Shereè,Whitfield,and,Shamea,Morton,will,also,join,the,cast,with,recurring,appearances,in,Season,8,.}",Shereè Whitfield,2,3,Shamea Morton,5,6
cc364dd4-00db-41b0-84f1-ec4666be90ec_5_28_28,cc364dd4-00db-41b0-84f1-ec4666be90ec_5_26_26,cc364dd4-00db-41b0-84f1-ec4666be90ec,5,,0.98,"{``,Through,this,auction,"","",I,hope,we,can,raise,as,much,money,as,possible,to,help,provide,for,his,wife,"","",-LRB-,and,daughters,-RRB-,Jane,and,Jessica,.,''}",Jessica,28,28,Jane,26,26
2f8ca217-d0d0-4d4a-b7a7-936e1a35a446_1_19_20,2f8ca217-d0d0-4d4a-b7a7-936e1a35a446_1_16_17,2f8ca217-d0d0-4d4a-b7a7-936e1a35a446,1,,0.989,"{A,12-year-old,girl,in,England,just,scored,higher,on,a,Mensa,IQ,test,than,notorious,high-IQ-havers,Albert,Einstein,and,Stephen,Hawking,.}",Stephen Hawking,19,20,Albert Einstein,16,17
c10ef88f-eb91-4f10-83bd-140bd79fe9fc_6_3_3,c10ef88f-eb91-4f10-83bd-140bd79fe9fc_6_1_1,c10ef88f-eb91-4f10-83bd-140bd79fe9fc,6,,0.984,"{Both,Simon,and,Shelley,were,identified,by,dental,records,"","",the,court,heard,.}",Shelley,3,3,Simon,1,1
48a4dbc9-0936-4179-8a7f-84d18c64f5ef_117_2_2,48a4dbc9-0936-4179-8a7f-84d18c64f5ef_117_4_4,48a4dbc9-0936-4179-8a7f-84d18c64f5ef,117,,0.985,"{His,grandchildren,Barnaby,and,Tilly,loved,hearing,his,stories,and,learning,the,songs,he,remembered,from,his,childhood,.}",Barnaby,2,2,Tilly,4,4
87390bff-e5fb-4459-b0e8-d3055a6e2f63_43_0_1,87390bff-e5fb-4459-b0e8-d3055a6e2f63_43_3_4,87390bff-e5fb-4459-b0e8-d3055a6e2f63,43,,1,"{Stella,Toepfer,and,Ted,Cooper,could,not,have,children,due,to,fertility,problems,and,Paulette,was,eventually,moved,to,the,USA,on,August,28,"","",1948,.}",Stella Toepfer,0,1,Ted Cooper,3,4
910660b5-a083-439d-98d6-a9ad45c9a0c2_13_12_12,910660b5-a083-439d-98d6-a9ad45c9a0c2_13_10_10,910660b5-a083-439d-98d6-a9ad45c9a0c2,13,,0.995,"{While,Russian,criminal,investigators,have,ruled,that,the,remains,of,Alexei,and,Maria,are,authentic,after,DNA,testing,"","",their,identity,has,not,been,accepted,by,the,Russian,Orthodox,Church,or,by,some,Romanov,descendants,.}",Maria,12,12,Alexei,10,10
b10502ab-b410-49a4-b2b0-5e3862d8dfe8_39_0_1,b10502ab-b410-49a4-b2b0-5e3862d8dfe8_39_3_4,b10502ab-b410-49a4-b2b0-5e3862d8dfe8,39,,0.994,"{Nick,Carter,and,Sharna,Burgess,Audience,members,swooned,over,boy-band,member,"","",Nick,Carter,"","",and,so,did,the,judges,.}",Nick Carter,0,1,Sharna Burgess,3,4
7c1bb0f3-c78d-4d3d-8444-4f422ca02db0_4_1_1,7c1bb0f3-c78d-4d3d-8444-4f422ca02db0_4_3_3,7c1bb0f3-c78d-4d3d-8444-4f422ca02db0,4,,0.997,"{Both,Fen,and,Nell,see,Bankson,as,a,mediating,influence,.}",Fen,1,1,Nell,3,3
9478632d-c2c3-4ab4-bde4-5e3c76dfa219_1_0_0,9478632d-c2c3-4ab4-bde4-5e3c76dfa219_1_2_3,9478632d-c2c3-4ab4-bde4-5e3c76dfa219,1,,0.927,"{Michael,and,Lauren,McAfee,``,We,believe,that,when,the,Bible,has,been,properly,applied,to,life,"","",it,makes,the,world,a,better,place,...,Not,only,has,it,changed,the,world,in,the,past,"","",but,it,has,the,power,to,change,the,world,again,"","",today,.,''}",Michael,0,0,Lauren McAfee,2,3
ce014d5b-114c-4bab-8678-9f6361bbaa7c_3_17_17,ce014d5b-114c-4bab-8678-9f6361bbaa7c_3_15_15,ce014d5b-114c-4bab-8678-9f6361bbaa7c,3,,0.994,"{Ken,was,born,in,Kenmare,"","",N.D.,"","",on,Dec.,20,"","",1962,"","",to,Darwin,and,Jackie,-LRB-,Weaver,-RRB-,Beckedahl,.}",Jackie,17,17,Darwin,15,15
302a9024-3be0-49e8-a8e6-17289d749825_150_3_4,302a9024-3be0-49e8-a8e6-17289d749825_150_6_7,302a9024-3be0-49e8-a8e6-17289d749825,150,,0.983,"{___,5:40,p.m.,Jeb,Bush,and,Donald,Trump,are,mixing,it,up,over,big-money,donors,',influence,.}",Jeb Bush,3,4,Donald Trump,6,7
beb6507a-6acb-4c59-9608-443ac76c9c4f_37_24_24,beb6507a-6acb-4c59-9608-443ac76c9c4f_37_26_26,beb6507a-6acb-4c59-9608-443ac76c9c4f,37,,0.918,"{Donald,Trump,:,Megyn,Kelly,`,Blood,',Comment,`,Was,n't,Meant,',to,be,an,In,lt,August,10,"","",2015,http://www.today.com/news/donald-trump-megyn-kelly-blood-comment,Trump,derided,Kelly,'s,job,as,a,moderator,and,said,"","",``,You,could,see,there,was,blood,coming,out,of,her,eyes,"","",blood,coming,out,of,her,--,whatever,.,''}",Trump,24,24,Kelly,26,26
ced76bc2-2b67-4eae-916d-84edbfede6b9_4_31_32,ced76bc2-2b67-4eae-916d-84edbfede6b9_4_27_29,ced76bc2-2b67-4eae-916d-84edbfede6b9,4,,0.996,"{Continue,reading,n,New,additions,:,Koala,hospital,volunteer,Anne,Walsh,and,assistant,supervisor,Barbara,Barrett,with,two,of,the,three,koalas,they,rescued,from,Walcha,"","",Emerald,Hill,Rhonda,and,Guyra,Angus,.}",Guyra Angus,31,32,Emerald Hill Rhonda,27,29
e94a4c40-49d7-4f00-92ba-2b4511b33df4_3_4_5,e94a4c40-49d7-4f00-92ba-2b4511b33df4_3_0_2,e94a4c40-49d7-4f00-92ba-2b4511b33df4,3,,0.993,"{William,Smith,Jr.,and,James,Yates,"","",a,couple,for,nearly,a,decade,"","",were,the,first,to,receive,a,marriage,license,Friday,morning,in,Rowan,County,"","",ending,a,months-long,standoff,.}",James Yates,4,5,William Smith Jr.,0,2
9cc9fa09-6fae-4993-93ea-02f9b1b82eec_36_23_23,9cc9fa09-6fae-4993-93ea-02f9b1b82eec_36_25_25,9cc9fa09-6fae-4993-93ea-02f9b1b82eec,36,,0.982,"{Robot,does,call,into,question,who,is,real,and,who,is,not,"","",though,"","",and,that,brings,me,to,Prediction,Two,:,Angela,and,Shayla,are,one,and,the,same,.}",Angela,23,23,Shayla,25,25
