relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
APW_ENG_20070816.1525.LDC2009T13_593_41-APW_ENG_20070816.1525.LDC2009T13_593_16,APW_ENG_20070816.1525.LDC2009T13_593,Hillary Rodham Clinton-Nicole Boxer,f,"{The,Rose,Garden,was,crammed,with,250,chairs,and,a,white,canopy,for,the,wedding,of,Nicole,Boxer,"","",daughter,of,Senator,Barbara,Boxer,"","",a,Democrat,from,California,"","",and,Tony,Rodham,"","",the,younger,brother,of,then,first,lady,Hillary,Rodham,Clinton,"","",now,a,senator,from,New,York,and,Democratic,presidential,hopeful,.}",41,3,16,2,2,"{INV_KW_IND_[non_married],INV_NGRAM_1_[brother],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[lady],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_NGRAM_1_[daughter]}","{-2.56873,-2.43541,-1.42472,1.41026,1.17156,-1.15946}"
LTW_ENG_20080802.0024.LDC2009T13_9_21-LTW_ENG_20080802.0024.LDC2009T13_9_0,LTW_ENG_20080802.0024.LDC2009T13_9,Wolfgang Wagner-Katharina Wagner,f,"{Katharina,Wagner,'s,first,production,at,Bayreuth,was,meant,to,show,that,she,was,ready,to,succeed,her,father,"","",88-year-old,Wolfgang,Wagner,"","",as,the,head,of,Germany,'s,most,famous,opera,festival,.}",21,2,0,2,2,"{INV_KW_IND_[non_married],INV_NGRAM_1_[father],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{-2.56873,-2.04065,-1.42472,1.24168,-1.22689,1.17156}"
NYT_ENG_20081207.0114.LDC2009T13_341_25-NYT_ENG_20081207.0114.LDC2009T13_341_9,NYT_ENG_20081207.0114.LDC2009T13_341,Howie Dorough-Susie Behm,f,"{St.,Petersburg,resident,and,NASCAR,racer,Dan,Wheldon,and,Susie,Behm,hired,Botanica,for,their,wedding,earlier,in,the,year,"","",as,did,Backstreet,Boy,Howie,Dorough,and,Leigh,Boniello,.}",25,2,9,2,2,"{INV_LEMMA_L_1_R_1_[and]_[and],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[wedding],INV_NGRAM_1_[they],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[hire]}","{-2.18174,-1.42472,1.34721,-1.21173,-1.149,-0.930195}"
APW_ENG_20080701.1360.LDC2009T13_188_10-APW_ENG_20080701.1360.LDC2009T13_188_13,APW_ENG_20080701.1360.LDC2009T13_188,George Jones-Elvis Costello,f,"{Sherrill,produced,records,by,Johnny,Cash,"","",Tammy,Wynette,"","",George,Jones,"","",Elvis,Costello,and,many,others,.}",10,2,13,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""BETW_L_[prep_by prep_by]"",""NGRAM_1_[,]"",""NER_L_3_R_2_[PERSON PERSON O]_[O O]"",""NER_L_2_R_1_[PERSON O]_[O]""}","{-2.15061,2.03006,2.00541,-1.35882,-0.979175,-0.905711}"
LTW_ENG_20080813.0047.LDC2009T13_336_78-LTW_ENG_20080813.0047.LDC2009T13_336_46,LTW_ENG_20080813.0047.LDC2009T13_336,Soon-Yi Previn-Mia Farrow,f,"{From,the,way,Allen,is,talking,"","",one,would,assume,it,'s,the,eve,of,the,release,of,one,of,his,misfires,"","",the,platoon,of,piffles,including,``,Celebrity,'',and,``,Anything,Else,'',that,followed,the,public,scandal,of,his,1992,breakup,with,Mia,Farrow,"","",the,ugly,accusations,-LRB-,denied,and,never,proved,-RRB-,of,child,abuse,and,his,later,marriage,-LRB-,now,10,years,running,-RRB-,to,Farrow,'s,adopted,daughter,"","",then-22-year-old,Soon-Yi,Previn,.}",78,2,46,2,2,"{INV_KW_IND_[non_married],INV_NGRAM_1_[marriage],""INV_NGRAM_1_[,]"",INV_LEMMA_L_1_R_1_[with]_[.],INV_NGRAM_1_[daughter],INV_STARTS_WITH_CAPITAL_[True_True]}","{-2.56873,1.87293,-1.42472,-1.26282,-1.15946,-1.149}"
LTW_ENG_20080723.0144.LDC2009T13_805_6-LTW_ENG_20080723.0144.LDC2009T13_805_18,LTW_ENG_20080723.0144.LDC2009T13_805,Sarah Churchill-Winston Churchill,f,"{Another,of,his,clients,"","",actress,Sarah,Churchill,"","",introduced,him,to,her,father,"","",British,Prime,Minister,Winston,Churchill,"","",who,retained,him,to,handle,the,American,sales,of,his,multi-volume,``,History,of,the,English-Speaking,Peoples,.,''}",6,2,18,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],NGRAM_1_[father],""NGRAM_1_[,]"",NGRAM_1_[she]}","{-2.20027,-2.15061,1.86495,-1.52368,-1.35882,1.35843}"
18124@2_9-18124@2_18,18124@2,Libby-Harry Reid,f,"{``,Now,President,Bush,must,pledge,not,to,pardon,Libby,for,his,criminal,conduct,"","",'',declared,Sen.,Harry,Reid,"","",the,Senate,majority,Leader,"","",a,stance,echoed,by,other,congressional,Democrats,"","",editorial,writers,and,bloggers,on,the,left,.}",9,1,18,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_3_[O]_[O O ORGANIZATION]"",""NER_L_2_R_3_[O O]_[O O ORGANIZATION]"",NGRAM_1_[he]}","{-2.15061,2.03006,-1.35882,-0.944199,-0.904453,0.786486}"
NYT_ENG_20081112.0224.LDC2009T13_1069_69-NYT_ENG_20081112.0224.LDC2009T13_1069_66,NYT_ENG_20081112.0224.LDC2009T13_1069,Mary-Louise Parker-Milla Jovovich,f,"{The,celebrities,in,the,Gap,campaign,include,Jon,Hamm,of,``,Mad,Men,"","",'',the,TV,series,about,advertising,in,the,1960s,"","",with,his,girlfriend,"","",the,actress,Jennifer,Westfeldt,;,cast,members,of,``,Saturday,Night,Live,'',;,the,Dixie,Chicks,;,actors,like,Jason,Bateman,"","",Jason,Biggs,"","",Freddy,Rodriguez,and,Rainn,Wilson,;,and,actresses,like,Jennifer,Hudson,"","",Milla,Jovovich,and,Mary-Louise,Parker,.}",69,2,66,2,2,"{INV_LEMMA_SEQ_[and],""INV_LEMMA_L_2_R_1_[Hudson ,]_[.]"",""INV_LEMMA_L_3_R_1_[Jennifer Hudson ,]_[.]"",""INV_LEMMA_L_1_R_1_[,]_[.]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]""}","{1.68884,-1.31542,-1.31542,-1.25667,-1.149,1.0885}"
LTW_ENG_20070106.0070.LDC2009T13_725_28-LTW_ENG_20070106.0070.LDC2009T13_725_1,LTW_ENG_20070106.0070.LDC2009T13_725,Charlie Sheen-Brad Pitt,f,"{From,Brad,Pitt,in,early,2006,to,Britney,Spears,late,in,the,year,--,with,a,list,that,included,Jennifer,Aniston,"","",Tom,Arnold,"","",Denise,Richards,"","",Charlie,Sheen,"","",Heather,Locklear,"","",Jessica,Simpson,"","",Nick,Lachey,and,Reese,Witherspoon,"","",to,name,a,few,--,2006,may,be,recalled,as,the,year,of,celebrity,divorce,.}",28,2,1,2,2,"{INV_NGRAM_1_[Tom],INV_NGRAM_1_[Jennifer],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{-2.06152,-1.63074,-1.42472,1.42247,1.17156,-1.149}"
APW_ENG_20081023.0034.LDC2009T13_653_40-APW_ENG_20081023.0034.LDC2009T13_653_91,APW_ENG_20081023.0034.LDC2009T13_653,Mary McCormack-Brad Altman,f,"{Among,the,other,famous,contributors,:,``,Point,of,No,Return,'',actress,Bridget,Fonda,-LRB-,$,200,-RRB-,;,``,One,Life,to,Live,'',actor,Jason,Tam,-LRB-,$,100,-RRB-,;,``,In,Plain,Sight,'',actress,Mary,McCormack,-LRB-,$,200,-RRB-,;,``,Good,Will,Hunting,'',director,Gus,Van,Sant,-LRB-,$,""2,500"",-RRB-,;,``,Brothers,&,Sisters,'',executive,producer,Greg,Berlanti,-LRB-,$,""5,000"",-RRB-,and,``,Star,Trek,'',actor,George,Takei,-LRB-,$,""2,600"",-RRB-,"","",who,wed,business,manager,Brad,Altman,in,September,.}",40,2,91,2,2,"{NGRAM_1_[;],KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[wed],NER_L_1_R_1_[TITLE]_[O],NGRAM_1_[sister]}","{-2.97312,-2.20027,-2.15061,2.01281,1.86495,-1.5296}"
LTW_ENG_20070505.0135.LDC2009T13_188_35-LTW_ENG_20070505.0135.LDC2009T13_188_26,LTW_ENG_20070505.0135.LDC2009T13_188,Alan Greenspan-John Warner,f,"{Also,on,hand,were,the,vice,president,'s,wife,"","",Lynne,"","",Virginia,Democratic,Gov.,Timothy,Kaine,and,his,wife,"","",Anne,Holton,;,U.S.,Sen.,John,Warner,"","",R-Va.,;,former,Federal,Reserve,chairman,Alan,Greenspan,and,his,wife,"","",NBC,'s,Andrea,Mitchell,;,and,others,.}",35,2,26,2,2,"{INV_NGRAM_1_[;],""INV_NGRAM_1_[,]"",""INV_BETW_L_[conj_and conj_and]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_LEMMA_L_1_R_1_[Sen.]_[and]}","{-3.37177,-1.42472,-1.25409,-1.149,0.995178,0.992932}"
APW_ENG_20080901.0261.LDC2009T13_219_9-APW_ENG_20080901.0261.LDC2009T13_219_22,APW_ENG_20080901.0261.LDC2009T13_219,Kofi Annan-Jonny Lee Miller,f,"{The,documentary,"","",which,also,features,former,U.N.,chief,Kofi,Annan,"","",the,Dalai,Lama,"","",Angelina,Jolie,"","",Annie,Lennox,and,Jonny,Lee,Miller,"","",charts,the,way,Peace,Day,can,be,used,as,a,focus,for,lifesaving,activity,"","",Gilley,said,.}",9,2,22,3,3,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],""NGRAM_3_[Angelina Jolie ,]"",""NGRAM_2_[Jolie ,]"",""NGRAM_1_[,]"",""NER_SEQ_[O O PERSON PERSON O PERSON PERSON O PERSON PERSON O]""}","{-2.15061,1.86495,-1.38671,-1.38671,-1.35882,0.663076}"
108555@5_23-108555@5_17,108555@5,Myrna Loy-Carole Lombard,f,"{The,actors,"","",writers,and,directors,who,made,those,old,studio,whirligigs,spin,--,Clark,Gable,and,Carole,Lombard,;,William,Powell,and,Myrna,Loy,;,Preston,Sturges,and,Frank,Capra,and,all,the,rest,--,made,it,look,easy,.}",23,2,17,2,2,"{INV_NGRAM_1_[;],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],INV_NGRAM_1_[William],""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]"",IS_INVERTED}","{-3.37177,-1.149,-0.963997,-0.811976,-0.602702,0.57978}"
NYT_ENG_20071016.0146.LDC2009T13_39_2-NYT_ENG_20071016.0146.LDC2009T13_39_8,NYT_ENG_20071016.0146.LDC2009T13_39,Casey Affleck-Morgan Freeman,f,"{Starring,:,Casey,Affleck,"","",Michelle,Monaghan,"","",Morgan,Freeman,"","",Ed,Harris,"","",Amy,Ryan,"","",Amy,Madigan,"","",John,Ashton}",2,2,8,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[Michelle],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",""NER_L_3_R_1_[PERSON O O]_[O]""}","{-2.15061,2.03006,-1.38614,-1.35882,-1.16971,-1.04654}"
APW_ENG_20080929.1098.LDC2009T13_387_17-APW_ENG_20080929.1098.LDC2009T13_387_6,APW_ENG_20080929.1098.LDC2009T13_387,DaMarcus Beasley-Jamar Beasley,f,"{The,U.S.,has,on,its,roster,Jamar,Beasley,"","",the,older,brother,of,regular,national,team,player,DaMarcus,Beasley,.}",17,2,6,2,2,"{""INV_BETW_D_[prep_of DICT_non_married appos]"",INV_KW_IND_[non_married],INV_NGRAM_1_[brother],""INV_BETW_L_[prep_of appos]"",""INV_NGRAM_1_[,]"",INV_NGRAM_1_[team]}","{-2.72515,-2.56873,-2.43541,1.48212,-1.42472,-1.29207}"
eng-WL-11-174585-12939369_912_0-eng-WL-11-174585-12939369_912_9,eng-WL-11-174585-12939369_912,Rachel Ward-Ben Mendelsohn,f,"{Rachel,Ward,-RRB-,-,Has,a,great,cast,-,Ben,Mendelsohn,"","",Bryan,Brown,"","",Rachel,Griffiths,"","",Maeve,Dermody,-,but,the,story,sounds,a,bit,on-the-nose,.}",0,2,9,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_1_R_2_[O]_[O PERSON]"",""NGRAM_2_[have a]"",""NER_L_1_R_3_[O]_[O PERSON PERSON]"",NGRAM_1_[-rrb-]}","{-2.15061,2.03006,-1.16971,1.02466,-0.986927,-0.858951}"
APW_ENG_20080122.0751.LDC2009T13_311_48-APW_ENG_20080122.0751.LDC2009T13_311_40,APW_ENG_20080122.0751.LDC2009T13_311,Julian Schnabel-Jason Reitman,f,"{The,nominees,for,best,director,were,:,Paul,Thomas,Anderson,"","",``,There,Will,Be,Blood,'',;,Ethan,Coen,and,Joel,Coen,"","",``,No,Country,for,Old,Men,'',;,Tony,Gilroy,"","",``,Michael,Clayton,'',;,Jason,Reitman,"","",``,Juno,'',;,and,Julian,Schnabel,"","",``,The,Diving,Bell,and,the,Butterfly,.,''}",48,2,40,2,2,"{INV_NGRAM_1_[;],""INV_NGRAM_2_[; and]"",""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_3_[PERSON O O]_[O O O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]""}","{-3.37177,-1.80979,-1.42472,-1.41641,-1.149,1.0885}"
eng-WL-11-174587-12961510_162_4-eng-WL-11-174587-12961510_162_15,eng-WL-11-174587-12961510_162,Spencer Pratt-Kristin Cavallari,f,"{Though,Heidi,Montag,and,Spencer,Pratt,were,nowhere,to,be,seen,-LRB-,bummer,-RRB-,castmates,Kristin,Cavallari,and,Stephanie,Pratt,partied,together,"","",looking,like,total,BFFs,!}",4,2,15,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[and]_[and],""NER_SEQ_[O O O O O O O O O]"",""NER_L_1_R_2_[O]_[O PERSON]"",""NER_L_1_R_3_[O]_[O PERSON PERSON]""}","{-2.15061,2.03006,-1.72326,1.43124,-1.16971,-0.986927}"
NYT_ENG_20080814.0286.LDC2009T13_24_5-NYT_ENG_20080814.0286.LDC2009T13_24_11,NYT_ENG_20080814.0286.LDC2009T13_24,Brian Dennehy-Michael Douglas,f,"{Starring,:,Joan,Allen,"","",Brian,Dennehy,"","",Kirk,Douglas,"","",Michael,Douglas,"","",Paul,Giamatti,"","",Dustin,Hoffman,"","",Nathan,Lane,"","",Liam,Neeson,"","",David,Strathairn,"","",Donald,Sutherland}",5,2,11,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",""NER_L_1_R_3_[O]_[O PERSON PERSON]"",""NER_L_2_R_1_[PERSON O]_[O]""}","{-2.15061,2.03006,-1.35882,-1.16971,-0.986927,-0.905711}"
NYT_ENG_20080708.0067.LDC2009T13_571_6-NYT_ENG_20080708.0067.LDC2009T13_571_9,NYT_ENG_20080708.0067.LDC2009T13_571,Ty Cobb-Joe DiMaggio,f,"{In,the,cases,of,baseball,greats,Ty,Cobb,"","",Joe,DiMaggio,"","",and,Robinson,"","",for,example,"","",records,show,the,FBI,declined,Cobb,'s,offer,to,provide,Hoover,information,about,major,leaguers,who,may,have,been,communist,sympathizers,;,investigated,hate,mail,DiMaggio,received,after,the,death,of,his,former,wife,"","",Marilyn,Monroe,;,and,monitored,whether,African-American,athletes,such,as,Robinson,were,linked,to,black,nationalist,groups,"","",which,Hoover,considered,threats,to,US,security,.}",6,2,9,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_1_R_3_[O]_[O O PERSON]"",""NGRAM_1_[,]"",""BETW_L_[dep dep]"",""WORD_SEQ_[,]""}","{-2.15061,2.03006,-1.62449,-1.35882,0.727786,0.532848}"
AFP_ENG_20080921.0096.LDC2009T13_315_2-AFP_ENG_20080921.0096.LDC2009T13_315_13,AFP_ENG_20080921.0096.LDC2009T13_315,Gudrun Burwitz-Heinrich Himmler,f,"{Appearances,by,Gudrun,Burwitz,"","",the,daughter,of,the,former,Waffen,SS,chief,Heinrich,Himmler,"","",have,also,become,more,rare,"","",she,added,.}",2,2,13,2,2,"{""BETW_D_[appos DICT_non_married prep_of]"",KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[daughter of]"",""NGRAM_1_[,]""}","{-3.08534,-2.20027,-2.15061,2.03006,-1.5664,-1.35882}"
eng-NG-31-102747-11002994_748_2-eng-NG-31-102747-11002994_748_16,eng-NG-31-102747-11002994_748,Adam-Seth,f,"{25,And,Adam,knew,his,wife,again,"","",and,she,bore,a,son,and,named,him,Seth,"","",``,For,God,has,appointed,another,seed,for,me,instead,of,Abel,"","",whom,Cain,killed,.,''}",2,1,16,1,1,"{NGRAM_1_[wife],KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[son],""NGRAM_1_[,]""}","{5.01088,-2.20027,-2.15061,2.03006,-1.99866,-1.35882}"
NYT_ENG_20070216.0094.LDC2009T13_646_11-NYT_ENG_20070216.0094.LDC2009T13_646_35,NYT_ENG_20070216.0094.LDC2009T13_646,Michael Richards-Britney Spears,f,"{Other,major,scoops,followed,"","",including,the,cellphone,camera,footage,of,Michael,Richards,',racist,rant,at,the,Laugh,Factory,"","",the,birth,certificate,of,Tom,Cruise,'s,kid,Suri,"","",and,the,breakup,of,Britney,Spears,and,Kevin,Federline,.}",11,2,35,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[Suri],""NGRAM_2_[Tom Cruise]"",NGRAM_1_[Cruise],""NGRAM_1_[,]""}","{-2.15061,2.03006,1.92146,-1.72647,-1.70257,-1.35882}"
1145@21_15-1145@21_26,1145@21,Madonna-Ben Affleck,f,"{This,kind,of,uxorious,collaboration,has,scary,precedents,:,Guy,Ritchie,directing,his,wife,"","",Madonna,"","",in,a,remake,of,``,Swept,Away,'',;,Ben,Affleck,starring,with,Jennifer,Lopez,in,``,Gigli,'',;,and,Brad,Hall,working,with,his,wife,"","",Julia,Louis-Dreyfus,"","",on,the,sitcom,``,Watching,Ellie,.,''}",15,1,26,2,2,"{NGRAM_1_[;],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_1_R_3_[O]_[O O PERSON]"",""NGRAM_1_[,]"",""LEMMA_L_1_R_1_[,]_[star]""}","{-2.97312,-2.15061,2.03006,-1.62449,-1.35882,-0.890228}"
NYT_ENG_20070423.0016.LDC2009T13_708_10-NYT_ENG_20070423.0016.LDC2009T13_708_25,NYT_ENG_20070423.0016.LDC2009T13_708,Marcus Griffin-Michael Griffin,f,"{Injuries,to,fellow,starters,"","",cornerback,Tarell,Brown,and,safety,Marcus,Griffin,"","",Michael,'s,twin,brother,"","",and,the,departure,of,Huff,"","",prompted,Michael,Griffin,to,get,away,from,his,game,.}",10,2,25,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[brother],""NGRAM_1_[,]"",""NGRAM_2_[and the]""}","{-2.20027,-2.15061,2.03006,-1.83191,-1.35882,1.1812}"
